step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.430862161348424,0,0.0,0.9060413782490743,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,10.967896329048948,0,0.0,0.8111994315949627,0,0.0
15.0,18,0,3,0,18,0,4.0,0.2222222222222222,7.172202453318336,3,4.0,0.46579380766448886,3,4.0
20.0,18,0,8,0,18,0,38.0,2.111111111111111,7.020388807463514,8,38.0,0.4032106233907969,8,38.0
25.0,23,0,9,1,24,0,80.0,3.4782608695652173,7.086797847812973,9,80.0,0.39589746026611944,9,80.0
30.0,20,0,10,4,24,0,128.0,6.4,6.357013554351193,10,128.0,0.34643528614294516,10,128.0
35.0,23,0,10,5,28,0,178.0,7.739130434782608,5.461261770553929,10,178.0,0.2689799102317876,10,178.0
40.0,26,0,8,8,34,0,150.0,5.769230769230769,7.317299323578423,8,150.0,0.4842096505394511,8,150.0
45.0,30,0,5,8,38,0,77.0,2.566666666666667,7.81823994158093,5,130.0,0.45772435555976826,5,130.0
50.0,28,0,8,12,40,0,112.0,4.0,7.420963904870445,8,112.0,0.4133400636845822,8,112.0
55.0,29,0,12,15,44,0,164.0,5.655172413793103,6.364294985886234,12,164.0,0.26148100068011776,12,164.0
60.0,23,0,14,21,44,0,230.0,10.0,4.077434147178224,14,230.0,0.21627509227805128,14,230.0
65.0,28,0,18,22,50,0,310.0,11.071428571428571,3.35957508962533,18,310.0,0.21477957956908122,18,310.0
70.0,26,0,20,24,50,0,409.0,15.73076923076923,1.7898113267034186,20,409.0,0.14092942466197272,20,409.0
75.0,38,0,25,24,62,0,523.0,13.763157894736842,4.061557508811236,25,523.0,0.28228933571596404,25,523.0
80.0,38,0,24,24,62,0,522.0,13.736842105263158,3.4539573931978715,24,522.0,0.23863611886214153,24,522.0
85.0,44,0,29,24,68,0,657.0,14.931818181818182,3.6391261870519256,29,657.0,0.18950333331060087,29,657.0
