step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,13.28861596220469,0,0.0,0.9321243662940435,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.774862578234503,0,0.0,0.8350562346335936,0,0.0
15.0,18,0,4,0,18,0,8.0,0.4444444444444444,6.7140790082678485,4,8.0,0.4088772668967604,4,8.0
20.0,18,0,9,0,18,0,50.0,2.7777777777777777,6.496114447133768,9,50.0,0.365681915706163,9,50.0
25.0,23,0,7,1,24,0,67.0,2.9130434782608696,5.901863423595977,7,74.0,0.35751708856850223,7,74.0
30.0,21,0,8,3,24,0,105.0,5.0,7.362199373582306,8,105.0,0.36829303232626975,8,105.0
35.0,25,0,7,3,28,0,105.0,4.2,7.118450107863951,7,105.0,0.3258330923698908,7,105.0
40.0,26,0,12,8,34,0,153.0,5.884615384615385,6.752163699095356,12,153.0,0.40438061661154434,12,153.0
45.0,28,0,14,10,38,0,217.0,7.75,5.030841662632637,14,217.0,0.322607617287215,14,217.0
50.0,28,0,14,12,40,0,236.0,8.428571428571429,3.479268944115154,14,269.0,0.24391706291235843,14,269.0
55.0,32,0,14,12,44,0,293.0,9.15625,5.631507571479714,14,302.0,0.30319642766800564,14,302.0
60.0,32,0,12,12,44,0,231.0,7.21875,5.394850790367272,12,298.0,0.1850144537755487,12,298.0
65.0,33,0,14,17,50,0,293.0,8.878787878787879,5.447597232503978,14,299.0,0.2525867563458172,14,299.0
70.0,31,0,13,19,50,0,327.0,10.548387096774194,5.448742857188564,13,356.0,0.24468320330640944,13,356.0
75.0,39,0,11,23,62,0,362.0,9.282051282051283,7.522727818109272,11,374.0,0.44056456747424144,11,374.0
80.0,37,0,7,25,62,0,94.0,2.5405405405405403,7.7542500975726885,7,290.0,0.45364886459957365,7,290.0
85.0,38,0,11,30,68,0,80.0,2.1052631578947367,6.721236716605619,11,88.0,0.32580771759891997,11,88.0
90.0,35,0,15,33,68,0,75.0,2.142857142857143,5.82612826607213,15,118.0,0.24900956239620162,15,118.0
95.0,34,0,17,38,72,0,153.0,4.5,5.253825509707949,17,159.0,0.2002704827269039,17,159.0
100.0,33,0,14,41,74,0,137.0,4.151515151515151,5.490525180841528,14,200.0,0.245126048796219,14,200.0
105.0,33,0,7,45,78,0,112.0,3.393939393939394,6.849407304985596,7,181.0,0.3363058807878883,7,181.0
110.0,35,0,11,49,84,0,110.0,3.142857142857143,6.207922962375685,11,179.0,0.3549348174846518,11,179.0
115.0,33,2,16,53,86,0,179.0,5.424242424242424,4.5852797018279805,16,249.0,0.262893607363371,16,249.0
120.0,34,0,16,54,88,0,208.0,6.117647058823529,3.2885209883214186,16,287.0,0.16933951812541262,16,287.0
125.0,36,2,15,56,92,0,231.0,6.416666666666667,4.42604680315131,15,293.0,0.21682374010235592,15,293.0
130.0,38,0,8,56,94,0,109.0,2.8684210526315788,5.899693896125368,8,248.0,0.28368393108925327,8,248.0
135.0,37,2,13,61,98,0,144.0,3.891891891891892,5.657238053176882,13,205.0,0.2589056516092512,13,205.0
140.0,36,0,16,64,100,0,183.0,5.083333333333333,4.7072222908247685,16,256.0,0.19579518530331574,16,256.0
145.0,38,2,12,68,106,0,210.0,5.526315789473684,5.6782821055486385,12,266.0,0.2737872050114284,12,266.0
150.0,42,0,7,70,112,0,58.0,1.380952380952381,7.181382548777991,7,225.0,0.4343655714634003,7,225.0
155.0,38,0,10,74,112,0,66.0,1.736842105263158,5.860085861124637,10,138.0,0.26788401342727614,10,138.0
160.0,41,0,15,77,118,0,87.0,2.1219512195121952,4.555322912265736,15,175.0,0.202382377713338,15,175.0
165.0,37,0,15,81,118,0,122.0,3.2972972972972974,4.506867208011361,15,209.0,0.1525935430658563,15,209.0
170.0,40,0,13,84,124,0,156.0,3.9,5.203802924056348,13,249.0,0.25434949771571136,13,249.0
175.0,38,0,19,86,124,0,244.0,6.421052631578948,3.4243137571044886,19,337.0,0.11030542021903553,19,337.0
180.0,37,0,19,91,128,0,300.0,8.108108108108109,2.503168118314249,19,407.0,0.12100397471717468,19,407.0
185.0,41,0,17,93,134,0,348.0,8.487804878048781,4.480060780871898,17,444.0,0.2434920396829545,17,444.0
190.0,45,0,9,93,138,0,250.0,5.555555555555555,5.426830105103288,9,425.0,0.29146707748314743,9,425.0
195.0,42,0,18,98,140,0,298.0,7.095238095238095,4.213650116449103,18,396.0,0.17300204112240203,18,396.0
200.0,44,0,21,100,144,0,122.0,2.772727272727273,4.121780835024277,21,362.0,0.17541108101560246,21,362.0
205.0,43,0,22,103,146,0,201.0,4.674418604651163,3.8457751474694772,22,310.0,0.11950890239297272,22,310.0
210.0,44,0,26,106,150,0,226.0,5.136363636363637,3.641732546714657,26,388.0,0.1496813799116401,26,388.0
215.0,40,0,17,110,150,0,174.0,4.35,3.5493784761154843,17,393.0,0.10931512419002833,17,393.0
220.0,50,0,14,112,162,0,183.0,3.66,7.070484692484988,14,362.0,0.3686241532904589,14,362.0
225.0,45,0,8,117,162,0,89.0,1.9777777777777779,5.865362958654122,8,348.0,0.33086437375770716,8,348.0
230.0,47,0,15,121,168,0,123.0,2.617021276595745,4.924011705303758,15,315.0,0.24299194821457845,15,315.0
235.0,44,0,20,124,168,0,177.0,4.0227272727272725,3.6731399186066342,20,366.0,0.13697398568670058,20,366.0
240.0,44,0,18,128,172,0,219.0,4.9772727272727275,4.400653747441886,18,345.0,0.16787182010058999,18,345.0
245.0,44,0,12,130,174,0,115.0,2.6136363636363638,4.574417478570169,12,335.0,0.17723866940581548,12,335.0
250.0,43,0,15,135,178,0,153.0,3.558139534883721,5.177200547081342,15,288.0,0.2493912741209017,15,288.0
255.0,46,0,18,138,184,0,198.0,4.304347826086956,4.779174686780141,18,322.0,0.21050576839357735,18,322.0
260.0,46,0,14,142,188,0,233.0,5.065217391304348,5.790976932321444,14,335.0,0.2962674616308588,14,335.0
265.0,45,0,16,145,190,0,220.0,4.888888888888889,3.4617710060148266,16,337.0,0.14702341854721276,16,337.0
270.0,46,0,25,148,194,0,326.0,7.086956521739131,3.5514044404493332,25,443.0,0.18052030486422843,25,443.0
275.0,43,0,26,151,194,0,409.0,9.511627906976743,1.8074940607113077,26,534.0,0.06796747375533928,26,534.0
280.0,47,0,23,153,200,0,463.0,9.851063829787234,3.701777151036351,23,594.0,0.1930084799395685,23,594.0
285.0,47,0,17,153,200,0,251.0,5.340425531914893,3.3551753347664026,17,583.0,0.13097708748519055,17,583.0
290.0,52,2,15,158,210,0,183.0,3.519230769230769,5.3993577947853275,15,470.0,0.31823403538340844,15,470.0
295.0,53,0,21,159,212,0,277.0,5.226415094339623,5.52208149840646,21,434.0,0.2695974097728352,21,434.0
300.0,52,2,23,162,214,0,304.0,5.846153846153846,3.438595752229771,23,491.0,0.11433811795093957,23,491.0
305.0,52,0,25,166,218,0,315.0,6.0576923076923075,3.872484074134144,25,520.0,0.12951965403416532,25,520.0
310.0,49,2,17,171,220,0,112.0,2.2857142857142856,4.538294718633246,17,470.0,0.1939400916361813,17,470.0
315.0,49,0,14,175,224,0,114.0,2.326530612244898,4.616252072791673,14,399.0,0.17881486194659368,14,399.0
320.0,47,2,16,179,226,0,150.0,3.1914893617021276,4.258103473010726,16,405.0,0.1598763376622431,16,405.0
325.0,49,2,13,183,232,0,185.0,3.7755102040816326,4.746795749528213,13,381.0,0.2017086802664878,13,381.0
330.0,47,0,12,187,234,0,183.0,3.893617021276596,4.7402342993226405,12,367.0,0.22153682433933375,12,367.0
335.0,46,0,18,192,238,0,260.0,5.6521739130434785,3.299341816571885,18,444.0,0.17219191422013463,18,444.0
340.0,46,0,25,194,240,0,323.0,7.021739130434782,2.201147544789025,25,505.0,0.105408170368368,25,505.0
345.0,48,0,21,196,244,0,379.0,7.895833333333333,2.799423350550056,21,526.0,0.1106664151581487,21,526.0
350.0,50,0,17,196,246,0,173.0,3.46,3.7784913108653497,17,505.0,0.1442424190047503,17,505.0
