#{"t_start": 1774464945.952545, "env_id": "None"}
r,l,t
-36.57,720,33.749642
-37.17,720,72.672203
-25.92,720,104.567053
-34.04,720,129.860133
-27.17,720,163.533674
-17.73,720,197.699738
-9.69,720,233.767057
-16.79,720,258.791181
-7.77,720,280.238823
-15.93,720,313.521577
-15.09,720,377.754777
-2.47,720,431.414134
-5.5,720,488.956488
-11.89,720,522.995457
-22.51,720,579.384351
-5.13,720,649.278686
-17.42,720,692.319994
-3.68,720,746.899056
-4.36,720,803.957654
-12.26,720,860.848019
-39.68,720,925.915536
-3.85,720,978.43126
-6.92,720,1038.696718
-8.76,720,1096.840988
-6.36,720,1145.961624
-3.84,720,1172.582813
-6.41,720,1225.679926
-3.01,720,1276.138528
-4.69,720,1324.384017
-3.54,720,1372.970441
-7.03,720,1427.099562
-2.59,720,1700.966614
-4.59,720,1756.170241
-5.14,720,1809.057684
-7.5,720,1860.376165
-4.09,720,1909.688901
-19.78,720,1969.359105
-7.89,720,2029.946436
-3.44,720,2080.062299
-3.2,720,2130.65859
-5.12,720,2180.325208
-5.58,720,2228.844022
-6.08,720,2281.873031
-4.68,720,2326.528748
-17.76,720,2373.342034
-6.36,720,2426.856884
-3.85,720,2476.454699
-2.58,720,2520.732536
-3.76,720,2571.275269
-4.06,720,2618.387805
-5.92,720,2663.530962
-3.25,720,2716.770201
-14.67,720,2770.392348
-2.76,720,2818.597268
-7.75,720,2874.322327
-9.01,720,2912.007657
-1.91,720,2928.93269
-6.85,720,2950.620759
-3.46,720,2970.423735
-6.31,720,2988.336887
-26.26,720,3011.251828
-339.45,720,3034.559108
-33.62,720,3062.090731
-49.62,720,3086.81294
-30.33,720,3110.77955
-20.27,720,3133.505806
-22.98,720,3160.347955
-26.03,720,3185.550974
-3.44,720,3206.176027
-2.62,720,3225.396792
-1.78,720,3241.364027
-7.55,720,3260.768303
-4.07,720,3281.863179
-13.25,720,3302.061366
-14.54,720,3323.458511
-3.25,720,3341.267717
-5.0,720,3359.466428
-6.62,720,3378.072891
-13.58,720,3398.90078
-5.1,720,3419.270507
-6.79,720,3439.908176
-5.14,720,3457.541894
-7.76,720,3477.214499
-4.91,720,3497.436989
-5.67,720,3516.328303
-3.96,720,3537.192347
-5.2,720,3556.32182
-13.55,720,3575.72532
-1.95,720,3595.698173
-22.24,720,3619.651852
-1.76,720,3639.984922
-2.76,720,3657.399314
-14.16,720,3679.30806
-0.96,720,3695.998673
-4.95,720,3712.143106
-4.83,720,3732.29514
-23.34,720,3752.633339
-20.88,720,3775.66099
-13.13,720,3798.262603
-23.82,720,3817.640465
-13.54,720,3835.529667
-4.97,720,3854.959218
-26.68,720,3874.270075
-13.33,720,3895.603334
-19.51,720,3916.368662
-26.34,720,3936.884512
-16.94,720,3957.800077
-13.22,720,3975.925386
-4.56,720,3994.332466
-6.31,720,4015.046851
-6.01,720,4034.741811
-2.14,720,4050.806871
-18.73,720,4066.817405
-15.95,720,4088.924598
-15.92,720,4108.852137
-18.01,720,4129.36307
-18.38,720,4151.713548
-26.41,720,4174.95659
-24.79,720,4198.070881
-18.19,720,4222.593255
-2.79,720,4242.962548
-18.13,720,4262.662739
-32.53,720,4283.139235
-7.21,720,4299.6798
-18.68,720,4320.10351
-0.92,720,4336.199619
-13.85,720,4353.627569
-12.15,720,4374.089867
-28.95,720,4395.242896
-21.45,720,4418.048251
-17.88,720,4437.531784
-14.76,720,4457.342138
-22.3,720,4479.220432
-23.25,720,4501.353063
-14.47,720,4521.970932
-13.06,720,4542.131409
-18.49,720,4560.602413
-4.26,720,4577.630337
