step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,12,0,0,0,12,0,0.0,0.0,12.326213007354866,0,0.0,0.9060177066727162,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.636745399042459,0,0.0,0.9288939681154317,0,0.0
15.0,18,0,1,0,18,0,1.0,0.05555555555555555,8.246167688139979,1,1.0,0.4521582670063622,1,1.0
20.0,18,0,6,0,18,0,26.0,1.4444444444444444,8.399998559764926,6,26.0,0.4558849103074047,6,26.0
25.0,20,0,6,4,24,0,56.0,2.8,6.557621096803798,6,56.0,0.3623809231066378,6,56.0
30.0,20,0,6,4,24,0,86.0,4.3,7.057889229510765,6,90.0,0.41239155179784176,6,90.0
35.0,21,0,6,7,28,0,116.0,5.523809523809524,8.119159646652495,6,116.0,0.43244465716651254,6,116.0
40.0,26,0,4,8,34,0,55.0,2.1153846153846154,9.216496056456688,4,98.0,0.553525306839054,4,98.0
45.0,25,0,5,13,38,0,80.0,3.2,8.501509996958992,5,80.0,0.4920617196150885,5,80.0
50.0,25,0,5,15,40,0,97.0,3.88,6.2876918809893425,5,104.0,0.3417622243012223,5,104.0
55.0,26,0,10,18,44,0,141.0,5.423076923076923,6.788725709193906,10,141.0,0.34457796494552345,10,141.0
60.0,25,0,6,19,44,0,123.0,4.92,7.026551868388205,6,141.0,0.2974352234463575,6,141.0
65.0,24,0,7,26,50,0,158.0,6.583333333333333,7.670981070428702,7,158.0,0.4527654605734497,7,158.0
70.0,23,0,11,27,50,0,202.0,8.782608695652174,6.692229119252525,11,202.0,0.3309771693743566,11,202.0
75.0,31,0,7,31,62,0,214.0,6.903225806451613,6.55467247674643,7,230.0,0.44332512115847006,7,230.0
80.0,29,0,8,33,62,0,254.0,8.758620689655173,8.310886411602974,8,254.0,0.5402334645320976,8,254.0
85.0,35,0,9,33,68,0,295.0,8.428571428571429,7.102978578458021,9,295.0,0.32935392903045596,9,295.0
90.0,33,0,16,35,68,0,367.0,11.121212121212121,6.481047836469378,16,367.0,0.2566536556523919,16,367.0
95.0,29,0,16,43,72,0,447.0,15.413793103448276,4.831972271947078,16,447.0,0.23202068722227856,16,447.0
100.0,28,0,14,46,74,0,450.0,16.071428571428573,4.324524961278771,14,479.0,0.25002113514852947,14,479.0
105.0,32,0,14,46,78,0,520.0,16.25,6.321561906625199,14,520.0,0.318368825222697,14,520.0
110.0,36,0,13,48,84,0,568.0,15.777777777777779,6.243624092888987,13,570.0,0.358976451150918,13,570.0
115.0,35,2,14,51,86,0,638.0,18.228571428571428,7.330377012550255,14,638.0,0.40414956270374724,14,638.0
120.0,34,0,14,54,88,0,708.0,20.823529411764707,5.451628335648365,14,708.0,0.1588836879455965,14,708.0
125.0,32,2,16,60,92,0,761.0,23.78125,5.173101157471338,16,765.0,0.2679202258173508,16,765.0
130.0,30,0,19,64,94,0,847.0,28.233333333333334,4.22273604082428,19,847.0,0.18259696850152576,19,847.0
135.0,34,2,17,64,98,0,923.0,27.147058823529413,5.15797865566231,17,930.0,0.24383583500323255,17,930.0
140.0,32,0,17,68,100,0,1008.0,31.5,5.813839798683304,17,1008.0,0.2522561000454114,17,1008.0
145.0,37,2,17,69,106,0,1093.0,29.54054054054054,6.70524605741995,17,1093.0,0.31405210943464884,17,1093.0
150.0,38,0,19,74,112,0,1187.0,31.236842105263158,6.208047637118135,19,1187.0,0.34294296410077113,19,1187.0
155.0,35,0,20,77,112,0,1284.0,36.68571428571428,3.9478832148108056,20,1284.0,0.2037494601918816,20,1284.0
160.0,37,0,24,81,118,0,1346.0,36.37837837837838,2.6414622179050595,24,1361.0,0.17777097211554738,24,1361.0
165.0,37,0,26,81,118,0,1474.0,39.83783783783784,3.48972432328224,26,1474.0,0.15142780783901436,26,1474.0
170.0,43,0,23,81,124,0,1565.0,36.395348837209305,3.9181537278083116,23,1581.0,0.181310494920459,23,1581.0
175.0,39,0,24,85,124,0,1683.0,43.15384615384615,4.398058829947431,24,1683.0,0.1771327902074603,24,1683.0
180.0,42,0,24,86,128,0,1787.0,42.54761904761905,4.449619322300673,24,1787.0,0.14716118828700225,24,1787.0
185.0,44,0,26,90,134,0,1914.0,43.5,4.907525762127757,26,1914.0,0.22634313750887214,26,1914.0
190.0,44,0,23,94,138,0,2005.0,45.56818181818182,3.553485913436616,23,2021.0,0.17728732076876463,23,2021.0
195.0,42,0,26,98,140,0,2129.0,50.69047619047619,3.8572613589103972,26,2129.0,0.16342334969513156,26,2129.0
200.0,46,0,28,98,144,0,2269.0,49.32608695652174,5.177636314451294,28,2269.0,0.16651458600695726,28,2269.0
205.0,43,0,26,103,146,0,2389.0,55.55813953488372,4.292219786399571,26,2389.0,0.17674492116534418,26,2389.0
210.0,43,0,27,107,150,0,2520.0,58.604651162790695,3.9017641821571405,27,2520.0,0.16169987474750405,27,2520.0
215.0,40,0,26,110,150,0,2649.0,66.225,3.355102975375663,26,2652.0,0.15360220273191114,26,2652.0
220.0,48,0,27,114,162,0,2781.0,57.9375,5.220011265280823,27,2781.0,0.2820928489451879,27,2781.0
225.0,48,0,29,114,162,0,2922.0,60.875,4.302913066199164,29,2922.0,0.18065568284243524,29,2922.0
230.0,50,0,29,118,168,0,2224.0,44.48,3.363830698978398,29,2648.0,0.15972932540735807,29,2648.0
235.0,46,0,31,122,168,0,2371.0,51.54347826086956,3.707627034485169,31,2375.0,0.1731294829791051,31,2375.0
240.0,49,0,30,123,172,0,2502.0,51.06122448979592,3.412333692042269,30,2510.0,0.14283307672510964,30,2510.0
245.0,48,0,31,126,174,0,2656.0,55.333333333333336,4.414005618188033,31,2658.0,0.1485514063658006,31,2658.0
250.0,48,0,31,130,178,0,2811.0,58.5625,4.182752134580891,31,2813.0,0.10400576610332102,31,2813.0
255.0,50,0,27,134,184,0,2821.0,56.42,4.757107545571251,27,2897.0,0.2286196535383249,27,2897.0
260.0,49,0,27,139,188,0,2941.0,60.02040816326531,3.8279255564783536,27,2950.0,0.17139028551566673,27,2950.0
265.0,49,0,31,141,190,0,3088.0,63.02040816326531,3.4419023117729637,31,3098.0,0.15089223866624712,31,3098.0
270.0,50,0,33,144,194,0,3253.0,65.06,4.195869587344405,33,3262.0,0.19555823329884833,33,3262.0
275.0,47,0,33,147,194,0,3418.0,72.72340425531915,3.3194023347096286,33,3427.0,0.1199762818629331,33,3427.0
280.0,49,0,35,151,200,0,3588.0,73.22448979591837,3.495314356699009,35,3597.0,0.16728203181790988,35,3597.0
285.0,48,0,35,152,200,0,3763.0,78.39583333333333,3.2437013832615236,35,3772.0,0.13108144509186662,35,3772.0
290.0,55,2,30,155,210,0,3813.0,69.32727272727273,4.060719629761711,30,3884.0,0.235556968751145,30,3884.0
295.0,53,0,33,159,212,0,3967.0,74.84905660377359,3.492818853391923,33,3971.0,0.18161998917018163,33,3971.0
300.0,55,2,35,159,214,0,4123.0,74.96363636363637,3.2140018298906243,35,4137.0,0.12949064600802704,35,4137.0
305.0,55,0,39,163,218,0,4313.0,78.41818181818182,3.5078622365985566,39,4317.0,0.15000307033143293,39,4317.0
310.0,55,2,39,165,220,0,4508.0,81.96363636363637,3.827216111540314,39,4512.0,0.15472138746657071,39,4512.0
315.0,53,0,35,171,224,0,4639.0,87.52830188679245,2.842083044293621,35,4668.0,0.13389943395711407,35,4668.0
320.0,54,2,37,172,226,0,4824.0,89.33333333333333,3.4213306140387028,37,4826.0,0.1252761591851002,37,4826.0
325.0,57,2,35,175,232,0,4989.0,87.52631578947368,3.3342546128904598,35,4997.0,0.15161360744355915,35,4997.0
330.0,56,0,39,178,234,0,5177.0,92.44642857142857,3.2240144298846505,39,5179.0,0.10992404952680246,39,5179.0
335.0,57,0,41,181,238,0,5382.0,94.42105263157895,3.6490319113253484,41,5384.0,0.10517151270252918,41,5384.0
340.0,54,0,43,186,240,0,5593.0,103.57407407407408,2.744524276390852,43,5595.0,0.11761074296753134,43,5595.0
345.0,53,0,43,191,244,0,5808.0,109.58490566037736,2.343657153721658,43,5810.0,0.10535880810679313,43,5810.0
