step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,13.573347620829296,0,0.0,0.9525459347939355,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.751985200666633,0,0.0,0.8376309444732134,0,0.0
15.0,-0.06,12,0,4,0,12,0,6.0,0.5,3.3053253554406865,4,6.0,0.031064324393357805,4,6.0
20.0,-0.4,12,0,9,0,12,0,46.0,3.8333333333333335,3.4928583773327766,9,46.0,7.43813225711466e-05,9,46.0
25.0,-0.18,9,0,5,3,12,0,50.0,5.555555555555555,2.4244991645621243,5,64.0,0.08697457043517927,5,64.0
30.0,-0.10999999999999999,9,0,5,3,12,0,75.0,8.333333333333334,6.312633216638556,5,75.0,0.0,5,75.0
35.0,-0.25,12,0,5,4,16,0,100.0,8.333333333333334,8.161979870090892,5,100.0,0.42575209210234877,5,100.0
40.0,-0.25,9,0,5,7,16,0,125.0,13.88888888888889,5.26476241323861,5,125.0,0.16594050999202917,5,125.0
45.0,0.35,9,0,2,7,16,0,63.0,7.0,5.505554004973966,2,90.0,0.10199464039320813,2,90.0
50.0,0.17000000000000004,8,0,2,8,16,0,73.0,9.125,9.146041385761258,2,73.0,0.0,2,73.0
55.0,-0.09999999999999998,7,0,2,9,16,0,83.0,11.857142857142858,9.392900868555143,2,83.0,0.0,2,83.0
60.0,-0.10000000000000009,2,0,2,14,16,0,93.0,46.5,0.0,2,93.0,0.0,2,93.0
65.0,0.93,6,0,0,14,20,0,0.0,0.0,10.576584465448564,0,0.0,0.9583183669649981,0,0.0
70.0,0.0,6,0,0,14,20,0,0.0,0.0,12.662428052321038,0,0.0,0.8938316714471474,0,0.0
75.0,-0.03,13,1,2,14,27,0,3.0,0.23076923076923078,10.86427766477012,2,3.0,0.7920081374606441,2,3.0
80.0,-0.1,12,0,2,16,28,0,13.0,1.0833333333333333,10.360395798168371,2,13.0,0.7545295293752338,2,13.0
85.0,-0.1,12,0,2,16,28,0,23.0,1.9166666666666667,9.068858460379653,2,23.0,0.6041916524588689,2,23.0
90.0,-0.21,11,0,6,17,28,0,44.0,4.0,3.2587444296921935,6,44.0,0.0036209326810580406,6,44.0
95.0,-0.27999999999999997,13,0,6,19,32,0,72.0,5.538461538461538,5.932857411852248,6,72.0,0.38201265631874914,6,72.0
100.0,-0.30000000000000004,12,0,6,20,32,0,102.0,8.5,5.371674214568347,6,102.0,0.297087217858541,6,102.0
105.0,0.33000000000000007,12,0,3,20,32,0,33.0,2.75,3.48903045856282,3,69.0,0.06397071257050604,3,69.0
110.0,0.15999999999999992,10,0,4,22,32,0,53.0,5.3,6.999527927383004,4,53.0,8.393051146958377e-06,4,53.0
115.0,0.020000000000000018,10,0,2,22,32,0,51.0,5.1,9.35014783944431,2,51.0,0.0,2,51.0
120.0,-0.09999999999999998,6,0,2,26,32,0,61.0,10.166666666666666,8.899198727575149,2,61.0,0.0,2,61.0
125.0,-0.09999999999999998,8,0,2,28,36,0,71.0,8.875,10.12790272882735,2,71.0,0.6337795177062017,2,71.0
130.0,-0.10000000000000009,6,0,2,30,36,0,81.0,13.5,6.990407091861079,2,81.0,0.5030314044025701,2,81.0
135.0,-0.1299999999999999,6,0,4,30,36,0,94.0,15.666666666666666,2.8994306746767564,4,94.0,0.0016296955273064084,4,94.0
140.0,-0.19999999999999996,6,0,4,30,36,0,114.0,19.0,4.39308530065919,4,114.0,0.0,4,114.0
145.0,-0.20000000000000018,6,0,4,30,36,0,134.0,22.333333333333332,4.591842364912437,4,134.0,0.0,4,134.0
150.0,-0.19999999999999996,16,0,4,32,48,0,154.0,9.625,9.906949807291342,4,154.0,0.7190771010135278,4,154.0
155.0,1.11,16,0,2,32,48,0,43.0,2.6875,10.406668801101873,2,43.0,0.805665241033193,2,43.0
160.0,-0.11000000000000004,16,0,3,32,48,0,54.0,3.375,5.778635425707508,3,54.0,0.2707547696293238,3,54.0
165.0,0.28,16,0,6,32,48,0,19.0,1.1875,4.515822495516709,6,26.0,0.07766497849350015,6,26.0
170.0,-0.22999999999999998,13,0,6,35,48,0,49.0,3.769230769230769,6.662433205604963,6,49.0,0.0,6,49.0
175.0,0.010000000000000009,12,0,2,36,48,0,28.0,2.3333333333333335,8.307873652471228,2,48.0,0.13892175626507225,2,48.0
180.0,0.09999999999999998,12,0,2,40,52,0,38.0,3.1666666666666665,10.75914383036339,2,38.0,0.6666666666666666,2,38.0
185.0,0.38,10,0,0,42,52,0,0.0,0.0,11.50356068102641,0,0.0,0.9628357714149809,0,0.0
190.0,0.0,7,0,0,45,52,0,0.0,0.0,10.3977897663267,0,0.0,0.6588433345852615,0,0.0
195.0,-0.02,6,0,1,46,52,0,2.0,0.3333333333333333,7.46707436659429,1,2.0,0.179322873159352,1,2.0
200.0,-0.08,4,0,2,48,52,0,10.0,2.5,7.142151924280349,2,10.0,0.0002527112573685768,2,10.0
205.0,-0.1,4,0,2,48,52,0,20.0,5.0,7.285906275023855,2,20.0,0.0,2,20.0
210.0,-0.09999999999999998,6,0,2,50,56,0,30.0,5.0,9.05307,2,30.0,0.6666666666666666,2,30.0
215.0,0.3,6,0,0,50,56,0,0.0,0.0,10.44350045671812,0,0.0,0.9484514078380495,0,0.0
220.0,0.0,6,0,0,50,56,0,0.0,0.0,11.857517326743128,0,0.0,0.8893026748348998,0,0.0
225.0,-0.03,14,0,2,50,64,0,3.0,0.21428571428571427,10.63325244898628,2,3.0,0.7607600110833033,2,3.0
230.0,-0.1,13,0,2,51,64,0,13.0,1.0,10.434238044239313,2,13.0,0.7608375384954928,2,13.0
235.0,-0.10999999999999999,10,0,3,54,64,0,24.0,2.4,2.614441372903996,3,24.0,0.019553226674678924,3,24.0
240.0,-0.28,14,0,6,54,68,0,52.0,3.7142857142857144,6.605781311786877,6,52.0,0.4000021349292113,6,52.0
245.0,-0.29999999999999993,14,0,6,54,68,0,82.0,5.857142857142857,7.3320180074915715,6,82.0,0.37616798286938363,6,82.0
250.0,0.2699999999999999,12,0,2,56,68,0,29.0,2.4166666666666665,5.64195411788704,2,55.0,0.31053939243898765,2,55.0
255.0,0.12000000000000005,10,0,4,58,68,0,43.0,4.3,7.2426583606245005,4,43.0,0.0005702730737431125,4,43.0
260.0,-0.06,10,0,2,58,68,0,49.0,4.9,8.865473746732594,2,49.0,0.0,2,49.0
265.0,-0.09999999999999998,5,0,2,63,68,0,59.0,11.8,7.531782795414202,2,59.0,0.0,2,59.0
270.0,-0.09999999999999998,8,0,2,64,72,0,69.0,8.625,9.612111491537028,2,69.0,0.626141431302288,2,69.0
275.0,-0.10000000000000009,6,0,2,66,72,0,79.0,13.166666666666666,8.762206658496906,2,79.0,0.6475454288925718,2,79.0
280.0,-0.09999999999999998,6,0,2,66,72,0,89.0,14.833333333333334,6.443534443619044,2,89.0,0.3926456571185436,2,89.0
285.0,-0.14,6,0,4,66,72,0,103.0,17.166666666666668,4.367130466469994,4,103.0,0.0009777068801202062,4,103.0
290.0,-0.19999999999999996,6,0,4,66,72,0,123.0,20.5,4.369537723085054,4,123.0,0.0,4,123.0
295.0,-0.19999999999999996,12,0,4,68,80,0,143.0,11.916666666666666,8.972565833333332,4,143.0,0.6666666666666666,4,143.0
300.0,1.0899999999999999,16,0,2,68,84,0,34.0,2.125,10.25900828399941,2,34.0,0.8135582987842425,2,34.0
305.0,-0.09999999999999998,16,0,2,68,84,0,44.0,2.75,9.658504689834977,2,44.0,0.6927669405544895,2,44.0
310.0,-0.19,16,0,6,68,84,0,63.0,3.9375,5.734619153118224,6,63.0,0.18826546005916833,6,63.0
315.0,-0.4,14,0,8,70,84,0,103.0,7.357142857142857,4.705321330220414,8,103.0,0.003326496662696274,8,103.0
320.0,0.35,12,0,3,72,84,0,34.0,2.8333333333333335,4.726952960162307,3,68.0,0.10171660551818339,3,68.0
325.0,0.19000000000000006,10,0,3,74,84,0,49.0,4.9,8.133564833965528,3,49.0,0.0,3,49.0
330.0,0.29,13,0,1,75,88,0,20.0,1.5384615384615385,10.754652153358665,1,20.0,0.7717377941670366,1,20.0
335.0,-0.04999999999999999,9,0,1,79,88,0,25.0,2.7777777777777777,11.077433937626122,1,25.0,0.7522927711245592,1,25.0
340.0,-0.04999999999999999,8,0,1,80,88,0,30.0,3.75,10.106842527540843,1,30.0,0.5974351096256263,1,30.0
345.0,-0.07,5,0,3,83,88,0,37.0,7.4,5.1626839798626305,3,37.0,0.001225918352964041,3,37.0
350.0,-0.030000000000000027,4,0,1,84,88,0,40.0,10.0,5.901811674355933,1,40.0,0.0,1,40.0
