step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,13.573347620829296,0,0.0,0.9525459347939355,0,0.0
10.0,0.0,14,0,0,0,14,0,0.0,0.0,12.039383213003259,0,0.0,0.8529985548573273,0,0.0
15.0,-0.05,14,0,3,0,14,0,5.0,0.35714285714285715,5.083986282656182,3,5.0,0.27153133118996825,3,5.0
20.0,-0.32,20,0,7,0,20,0,37.0,1.85,9.089982568848255,7,37.0,0.45463443934202924,7,37.0
25.0,-0.12,21,0,5,1,22,0,49.0,2.3333333333333335,9.562664969592392,5,49.0,0.5628578787720412,5,49.0
30.0,-0.29000000000000004,16,0,7,6,22,0,78.0,4.875,7.123957030850039,7,78.0,0.36089294689895596,7,78.0
35.0,-0.20999999999999996,19,0,5,7,26,0,99.0,5.2105263157894735,7.3144889817956305,5,99.0,0.4311762294003933,5,99.0
40.0,-0.25,23,0,5,9,32,0,124.0,5.391304347826087,9.401296177350902,5,124.0,0.580580092533895,5,124.0
45.0,-0.28,21,0,7,11,32,0,152.0,7.238095238095238,8.670988276373992,7,152.0,0.4210781717957807,7,152.0
50.0,-0.3500000000000001,20,0,7,14,34,0,187.0,9.35,7.376761434352024,7,187.0,0.3740185368883004,7,187.0
55.0,-0.41999999999999993,18,0,9,18,36,0,229.0,12.722222222222221,6.605637940316522,9,229.0,0.2993708932256165,9,229.0
60.0,-0.4500000000000002,21,0,9,19,40,0,274.0,13.047619047619047,7.719293144373611,9,274.0,0.3859925074283941,9,274.0
65.0,-0.17999999999999972,21,0,7,23,44,0,292.0,13.904761904761905,7.652328392247249,7,292.0,0.5118937908057332,7,292.0
70.0,-0.41999999999999993,20,0,9,24,44,0,334.0,16.7,5.421740663376902,9,334.0,0.1990753383037508,9,334.0
75.0,0.69,25,0,7,25,50,0,149.0,5.96,6.201418139279399,7,265.0,0.3484288326433519,7,265.0
80.0,0.76,28,0,8,28,56,0,186.0,6.642857142857143,8.421803102156074,8,189.0,0.532032509502096,8,189.0
85.0,0.019999999999999796,27,0,4,29,56,0,146.0,5.407407407407407,7.520604383312134,4,187.0,0.444113766366155,4,187.0
90.0,0.2400000000000002,25,0,7,33,58,0,163.0,6.52,7.084345119122694,7,163.0,0.2870409590509252,7,163.0
95.0,-0.3900000000000001,26,0,8,36,62,0,202.0,7.769230769230769,8.744925712380715,8,202.0,0.39600221990246026,8,202.0
100.0,1.3599999999999999,26,0,4,40,66,0,46.0,1.7692307692307692,8.531281733561118,4,66.0,0.5137791313652141,4,66.0
105.0,-0.09999999999999998,23,0,6,45,68,0,76.0,3.3043478260869565,6.948522979585764,6,76.0,0.3503797374118882,6,76.0
110.0,-0.28,22,0,8,48,70,0,99.0,4.5,5.430147419964153,8,104.0,0.25260522786209283,8,104.0
115.0,-0.34999999999999987,23,0,8,51,74,0,139.0,6.043478260869565,7.867742566125587,8,139.0,0.4451798663939455,8,139.0
120.0,0.24,24,0,4,52,76,0,96.0,4.0,8.83945437331989,4,115.0,0.5090221045849413,4,115.0
125.0,-0.050000000000000044,23,0,6,57,80,0,120.0,5.217391304347826,8.721319327015461,6,120.0,0.5396125150818535,6,120.0
130.0,-0.18999999999999995,20,0,5,60,80,0,137.0,6.85,6.236465546075966,5,139.0,0.2971904300552964,5,139.0
135.0,-0.28,24,0,7,62,86,0,167.0,6.958333333333333,8.228376079166308,7,167.0,0.45742359409502703,7,167.0
140.0,-0.3500000000000001,23,0,7,65,88,0,202.0,8.782608695652174,8.83561928628373,7,202.0,0.5037686460798945,7,202.0
145.0,-0.3500000000000001,18,0,7,70,88,0,237.0,13.166666666666666,6.255642511746102,7,237.0,0.362358933278252,7,237.0
150.0,-0.4299999999999997,24,0,9,72,96,0,280.0,11.666666666666666,7.638359967351653,9,280.0,0.49019388039755746,9,280.0
155.0,0.9699999999999998,26,0,3,74,100,0,44.0,1.6923076923076923,8.17790876432757,3,183.0,0.566902256666374,3,183.0
160.0,1.1300000000000001,27,0,6,75,102,0,70.0,2.5925925925925926,7.658912196192908,6,70.0,0.43372809220675035,6,70.0
165.0,0.05999999999999994,26,0,11,78,104,0,46.0,1.7692307692307692,5.254530133784342,11,64.0,0.21060003365146615,11,64.0
170.0,-0.43000000000000005,24,0,13,80,104,0,107.0,4.458333333333333,5.523515779014147,13,107.0,0.12046815850113686,13,107.0
175.0,-0.20999999999999996,26,0,9,84,110,0,80.0,3.076923076923077,6.39143384984802,9,128.0,0.3281024887326601,9,128.0
180.0,0.20999999999999996,27,0,5,87,114,0,87.0,3.2222222222222223,7.961624230037649,5,107.0,0.4746928214917641,5,107.0
185.0,-0.05999999999999983,25,0,6,89,114,0,113.0,4.52,8.861675395638681,6,113.0,0.4027830750934998,6,113.0
190.0,-0.3500000000000001,26,0,7,94,120,0,148.0,5.6923076923076925,9.074573634532902,7,148.0,0.47935642338369727,7,148.0
195.0,-0.20999999999999996,24,0,7,98,122,0,169.0,7.041666666666667,8.717089986861033,7,169.0,0.4960785138170468,7,169.0
200.0,-0.3599999999999999,19,0,8,103,122,0,205.0,10.789473684210526,5.997667432189921,8,205.0,0.24649691924053582,8,205.0
205.0,-0.3700000000000001,19,0,7,105,124,0,239.0,12.578947368421053,4.723922624018653,7,242.0,0.20374889629683376,7,242.0
210.0,-0.3700000000000001,25,0,8,107,132,0,279.0,11.16,8.828107942344168,8,279.0,0.5225196826633058,8,279.0
215.0,-0.3999999999999999,24,0,8,108,132,0,319.0,13.291666666666666,9.044683532148557,8,319.0,0.4675942189824387,8,319.0
220.0,0.79,21,0,3,113,134,0,132.0,6.285714285714286,5.859907757921017,3,240.0,0.3371017718071617,3,240.0
225.0,0.7799999999999998,26,0,8,114,140,0,162.0,6.230769230769231,7.752353828727357,8,162.0,0.44997789711059305,8,162.0
230.0,-0.2699999999999998,28,0,6,116,144,0,180.0,6.428571428571429,8.186485155364142,6,189.0,0.5076666510049889,6,189.0
235.0,-0.21999999999999997,27,0,7,119,146,0,211.0,7.814814814814815,8.435669184166134,7,211.0,0.43931942480512237,7,211.0
240.0,0.06000000000000005,27,0,8,123,150,0,188.0,6.962962962962963,6.804767601473023,8,205.0,0.3381600148440337,8,205.0
245.0,-0.3400000000000003,24,0,11,126,150,0,239.0,9.958333333333334,6.347244914528382,11,239.0,0.23883797885649102,11,239.0
250.0,-0.33999999999999986,27,0,7,129,156,0,257.0,9.518518518518519,6.771546553775575,7,273.0,0.38541623871807473,7,273.0
255.0,-0.27,23,0,9,133,156,0,300.0,13.043478260869565,7.153285758404795,9,300.0,0.35595925797251016,9,300.0
260.0,1.56,24,0,5,134,158,0,98.0,4.083333333333333,6.37536783172968,5,144.0,0.23929206761112584,5,144.0
265.0,-0.020000000000000018,25,0,11,139,164,0,146.0,5.84,6.76909251197514,11,146.0,0.3553627522084943,11,146.0
270.0,-0.3500000000000001,25,0,7,141,166,0,166.0,6.64,6.965841592437804,7,181.0,0.41880153418833926,7,181.0
275.0,-0.19999999999999973,24,0,7,144,168,0,201.0,8.375,7.76661811861883,7,201.0,0.4499626428615732,7,201.0
280.0,-0.40000000000000036,25,0,10,145,170,0,241.0,9.64,7.438550414457813,10,241.0,0.27057859659006384,10,241.0
285.0,0.5700000000000001,25,0,6,149,174,0,69.0,2.76,7.733046462379682,6,184.0,0.3893275663852132,6,184.0
290.0,0.9600000000000001,21,0,5,155,176,0,88.0,4.190476190476191,8.613632978339744,5,88.0,0.47352963563256506,5,88.0
295.0,0.4,26,0,3,156,182,0,18.0,0.6923076923076923,8.345977029446344,3,48.0,0.5017071695920305,3,48.0
300.0,0.04999999999999999,24,0,6,160,184,0,43.0,1.7916666666666667,8.372651691397524,6,43.0,0.5032908464515625,6,43.0
305.0,0.06,27,0,1,163,190,0,6.0,0.2222222222222222,8.833794623099772,1,37.0,0.5974489356587507,1,37.0
310.0,0.26,25,0,4,167,192,0,4.0,0.16,8.921473568926373,4,11.0,0.5921724918146491,4,11.0
315.0,-0.16000000000000003,23,0,6,169,192,0,27.0,1.173913043478261,8.382349916741173,6,27.0,0.2977773544905192,6,27.0
320.0,-0.37,21,0,8,173,194,0,64.0,3.0476190476190474,7.9010701201085105,8,64.0,0.31427420328348626,8,64.0
325.0,-0.4,23,0,8,177,200,0,104.0,4.521739130434782,8.734134955285832,8,104.0,0.4775442840531403,8,104.0
330.0,-0.3999999999999999,20,0,8,182,202,0,144.0,7.2,7.798092324337101,8,144.0,0.4447296763860274,8,144.0
335.0,-0.030000000000000027,20,0,6,184,204,0,147.0,7.35,5.731038518240159,6,147.0,0.33934784003856683,6,147.0
