step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.485765339655728,0,0.0,0.915322205691378,0,0.0
10.0,0.0,14,0,0,0,14,0,0.0,0.0,12.574275032837418,0,0.0,0.918219495239588,0,0.0
15.0,-0.03,14,0,1,0,14,0,3.0,0.21428571428571427,4.892034561270692,1,3.0,0.21014446602235745,1,3.0
20.0,-0.36,20,0,9,0,20,0,39.0,1.95,6.219672356325962,9,39.0,0.3790659623029579,9,39.0
25.0,-0.30999999999999994,20,0,6,2,22,0,61.0,3.05,6.213484234862774,6,70.0,0.45875985773420197,6,70.0
30.0,-0.21000000000000008,19,0,6,3,22,0,91.0,4.7894736842105265,7.471762224690176,6,91.0,0.43650346325354555,6,91.0
35.0,0.09999999999999998,23,0,4,3,26,0,47.0,2.0434782608695654,8.664425816518468,4,81.0,0.49953305643941764,4,81.0
40.0,0.10000000000000009,25,0,5,7,32,0,71.0,2.84,9.067931657600596,5,71.0,0.5296823290100375,5,71.0
45.0,-0.14,21,0,7,11,32,0,85.0,4.0476190476190474,7.158052679379161,7,85.0,0.39015565956654313,7,85.0
50.0,-0.4,19,0,8,15,34,0,125.0,6.578947368421052,5.715838809166023,8,125.0,0.2281560989744512,8,125.0
55.0,-0.1200000000000001,20,0,6,16,36,0,103.0,5.15,6.430466836521229,6,137.0,0.3283029227530119,6,137.0
60.0,0.18000000000000016,22,0,3,18,40,0,110.0,5.0,9.081626309072199,3,119.0,0.5541278421922134,3,119.0
65.0,-0.06000000000000005,24,0,3,20,44,0,125.0,5.208333333333333,11.050888883799766,3,125.0,0.7053812055375801,3,125.0
70.0,0.10000000000000009,21,0,4,23,44,0,115.0,5.476190476190476,8.489982581186101,4,115.0,0.38502470207073325,4,115.0
