step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,13.573347620829296,0,0.0,0.9525459347939355,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.751985200666633,0,0.0,0.8376309444732134,0,0.0
15.0,-0.07,14,0,5,0,14,0,7.0,0.5,4.89110375399965,5,7.0,0.20523989551893712,5,7.0
20.0,-0.39999999999999997,16,0,9,0,16,0,47.0,2.9375,6.051101317090756,9,47.0,0.273914662440072,9,47.0
25.0,-0.20000000000000007,15,0,6,3,18,0,53.0,3.533333333333333,5.292424070026089,6,67.0,0.3399904065167162,6,67.0
30.0,-0.20999999999999996,19,0,7,3,22,0,88.0,4.631578947368421,8.233951203366752,7,88.0,0.41181742813580235,7,88.0
35.0,0.07999999999999996,21,0,3,3,24,0,45.0,2.142857142857143,7.714713396028233,3,80.0,0.3812340973145366,3,80.0
40.0,0.24,17,0,3,9,26,0,54.0,3.176470588235294,8.784324787051412,3,56.0,0.5456809873947546,3,56.0
45.0,-0.1399999999999999,23,0,5,9,32,0,70.0,3.0434782608695654,9.108633784666917,5,70.0,0.5428858220275201,5,70.0
50.0,-0.31000000000000005,18,0,7,14,32,0,101.0,5.611111111111111,7.081721599902928,7,101.0,0.40916433808363084,7,101.0
55.0,-0.11999999999999988,24,0,4,16,40,0,94.0,3.9166666666666665,6.708825563227587,4,113.0,0.45805184320880876,4,113.0
60.0,-0.13000000000000012,23,0,8,17,40,0,126.0,5.478260869565218,7.579475341886476,8,126.0,0.4358189921965418,8,126.0
65.0,0.59,24,0,9,18,42,0,57.0,2.375,5.214084165057278,9,67.0,0.15156976430090502,9,67.0
70.0,-0.4899999999999999,23,0,12,21,44,0,116.0,5.043478260869565,6.050112863269404,12,116.0,0.22731576890302138,12,116.0
75.0,-0.040000000000000036,25,1,7,24,49,0,66.0,2.64,6.615869942420483,7,120.0,0.3794542913423931,7,120.0
80.0,0.1399999999999999,23,0,8,27,50,0,106.0,4.608695652173913,7.733076315732025,8,106.0,0.4310741591575689,8,106.0
85.0,0.040000000000000036,24,0,6,28,52,0,46.0,1.9166666666666667,6.061118255620123,6,102.0,0.25509043401703646,6,102.0
90.0,0.30000000000000004,25,0,6,33,58,0,68.0,2.72,8.466913081272148,6,72.0,0.5117017118737175,6,72.0
95.0,-0.08000000000000007,26,0,6,34,60,0,78.0,3.0,8.057729002902768,6,80.0,0.4727205832717362,6,80.0
100.0,-0.44999999999999996,26,0,10,38,64,0,123.0,4.730769230769231,7.246496086211847,10,125.0,0.3439565225712415,10,125.0
105.0,0.27,27,0,8,41,68,0,65.0,2.4074074074074074,7.379973815789406,8,98.0,0.4199695838090763,8,98.0
110.0,-0.14000000000000012,23,0,9,45,68,0,110.0,4.782608695652174,6.676776709666216,9,112.0,0.30702594942262146,9,112.0
115.0,0.010000000000000009,23,0,5,47,70,0,49.0,2.130434782608696,5.441428592695308,5,111.0,0.25509791369140683,5,111.0
120.0,0.41000000000000014,21,0,5,49,70,0,51.0,2.4285714285714284,7.690812563713272,5,70.0,0.26058429702145625,5,70.0
125.0,-0.010000000000000009,25,0,5,53,78,0,64.0,2.56,8.102802603882013,5,71.0,0.512580864841306,5,71.0
130.0,-0.3600000000000001,26,0,8,56,82,0,100.0,3.8461538461538463,8.431523736653348,8,107.0,0.5608103024007417,8,107.0
135.0,-0.08999999999999986,25,0,4,59,84,0,93.0,3.72,6.080648412903559,4,116.0,0.40199950748745444,4,116.0
140.0,-0.050000000000000044,24,0,7,62,86,0,121.0,5.041666666666667,6.901921071931319,7,121.0,0.4034814718091042,7,121.0
145.0,0.45999999999999996,26,0,9,62,88,0,74.0,2.8461538461538463,5.766907666900569,9,75.0,0.2644983281316258,9,75.0
150.0,-0.5800000000000001,27,0,12,65,92,0,133.0,4.925925925925926,6.139173489930421,12,133.0,0.3088560060451838,12,133.0
155.0,-0.20999999999999996,26,0,8,68,94,0,126.0,4.846153846153846,5.830504881606217,8,154.0,0.3239749702807512,8,154.0
160.0,-0.20999999999999996,26,0,11,70,96,0,175.0,6.730769230769231,5.457257865956573,11,175.0,0.20030474933582848,11,175.0
165.0,-0.22999999999999998,26,0,10,72,98,0,137.0,5.269230769230769,5.726700077766169,10,198.0,0.24204809478236586,10,198.0
170.0,0.3699999999999999,22,0,5,76,98,0,138.0,6.2727272727272725,6.629861446635638,5,161.0,0.23978314076925938,5,161.0
175.0,0.6200000000000001,32,0,5,78,110,0,14.0,0.4375,8.480095091950176,5,99.0,0.5201129687087358,5,99.0
180.0,0.25,28,0,8,82,110,0,51.0,1.8214285714285714,8.79754454001101,8,74.0,0.5357294831727687,8,74.0
185.0,-0.010000000000000009,27,0,7,85,112,0,40.0,1.4814814814814814,4.770710532236412,7,75.0,0.2017410319970888,7,75.0
190.0,-0.040000000000000036,23,0,10,89,112,0,75.0,3.260869565217391,5.769452423420417,10,79.0,0.18293340077500017,10,79.0
195.0,0.030000000000000027,26,0,5,90,116,0,37.0,1.4230769230769231,7.386038359929987,5,76.0,0.3280257575888008,5,76.0
200.0,-0.020000000000000018,26,0,8,94,120,0,74.0,2.8461538461538463,8.693802480167356,8,78.0,0.46944993418984904,8,78.0
205.0,-0.16999999999999993,24,0,5,98,122,0,77.0,3.2083333333333335,7.475830148106766,5,95.0,0.38919897039611784,5,95.0
210.0,-0.13000000000000012,22,0,7,102,124,0,108.0,4.909090909090909,7.725871952739491,7,108.0,0.37389025939946424,7,108.0
215.0,-0.18999999999999995,26,0,8,104,130,0,127.0,4.884615384615385,7.888028343365788,8,127.0,0.45705116323664874,8,127.0
220.0,-0.47,22,0,10,108,130,0,174.0,7.909090909090909,7.177290200204163,10,174.0,0.354895608849434,10,174.0
225.0,0.27,28,0,8,110,138,0,124.0,4.428571428571429,6.050140211411709,8,147.0,0.3580735520190165,8,147.0
230.0,-0.3500000000000001,26,0,12,112,138,0,182.0,7.0,6.749493950389469,12,182.0,0.3737952102509446,12,182.0
235.0,-0.1399999999999999,26,0,8,114,140,0,152.0,5.846153846153846,4.92426743877172,8,196.0,0.23848329696267473,8,196.0
240.0,0.010000000000000009,23,0,10,117,140,0,181.0,7.869565217391305,5.397786362605557,10,195.0,0.20049335108497146,10,195.0
245.0,0.74,26,0,7,118,144,0,69.0,2.6538461538461537,6.833255541499115,7,121.0,0.29684870145569253,7,121.0
250.0,-0.10000000000000009,25,0,11,123,148,0,117.0,4.68,7.603413072742776,11,131.0,0.3916386911382722,11,131.0
255.0,0.06000000000000005,25,0,7,125,150,0,80.0,3.2,6.260759833480123,7,125.0,0.3319356875912299,7,125.0
260.0,-0.1499999999999999,27,0,11,129,156,0,126.0,4.666666666666667,6.69061929854311,11,140.0,0.3689107230611898,11,140.0
265.0,-0.10000000000000009,29,0,8,129,158,0,102.0,3.5172413793103448,6.605066636263915,8,150.0,0.3564646640290862,8,150.0
270.0,0.16999999999999993,26,0,7,132,158,0,92.0,3.5384615384615383,6.386436929811227,7,133.0,0.25853494368492425,7,133.0
275.0,-0.27,29,0,7,135,164,0,119.0,4.103448275862069,6.8316013373187126,7,160.0,0.3642064646953507,7,160.0
280.0,-0.45999999999999996,27,0,11,139,166,0,166.0,6.148148148148148,7.419159021485009,11,206.0,0.3888313007475579,11,206.0
285.0,0.3700000000000001,25,0,10,143,168,0,81.0,3.24,4.574024780270113,10,169.0,0.23076291454467207,10,169.0
290.0,-0.10000000000000009,22,0,12,146,168,0,139.0,6.318181818181818,4.278987355503357,12,179.0,0.12097957560115753,12,179.0
295.0,-0.09999999999999987,26,0,9,146,172,0,115.0,4.423076923076923,5.867345169008614,9,189.0,0.2534083139752648,9,189.0
300.0,0.41999999999999993,30,0,4,150,180,0,80.0,2.6666666666666665,9.091622447506113,4,147.0,0.5810628940607806,4,147.0
305.0,0.08000000000000007,30,0,3,152,182,0,72.0,2.4,8.520034203754486,3,139.0,0.5310350787660264,3,139.0
310.0,-0.26,25,0,7,157,182,0,98.0,3.92,5.592194809182675,7,165.0,0.17509374586647627,7,165.0
315.0,-0.15000000000000013,27,0,10,159,186,0,116.0,4.296296296296297,5.52130904915872,10,180.0,0.24385225867176585,10,180.0
320.0,0.06000000000000005,22,0,6,164,186,0,133.0,6.045454545454546,6.600741908531699,6,174.0,0.33328283319984764,6,174.0
325.0,1.03,27,0,3,165,192,0,30.0,1.1111111111111112,7.825193589852952,3,71.0,0.4564969248615615,3,71.0
330.0,-0.10000000000000009,25,0,7,169,194,0,60.0,2.4,7.004807824292763,7,81.0,0.3744827499873707,7,81.0
