step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.485765339655728,0,0.0,0.915322205691378,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.351767268584139,0,0.0,0.9105265335018053,0,0.0
15.0,-0.05,16,0,2,0,16,0,5.0,0.3125,6.973434467224565,2,5.0,0.3544122927807303,2,5.0
20.0,-0.38,16,0,8,0,16,0,43.0,2.6875,6.594268541733418,8,43.0,0.31438414268951703,8,43.0
25.0,-0.39999999999999997,15,0,8,1,16,0,83.0,5.533333333333333,4.8187213570017295,8,83.0,0.1297900501112903,8,83.0
30.0,-0.4900000000000001,16,0,10,4,20,0,132.0,8.25,4.7321320751357625,10,132.0,0.27408089988066975,10,132.0
35.0,-0.5,23,0,10,5,28,0,182.0,7.913043478260869,6.996445939430402,10,182.0,0.5165153800816177,10,182.0
40.0,0.0,22,0,9,6,28,0,182.0,8.272727272727273,5.965170234980483,9,182.0,0.43674283883416914,9,182.0
45.0,0.07000000000000006,26,0,8,6,32,0,119.0,4.576923076923077,4.708340048578866,8,175.0,0.3051434036326289,8,175.0
50.0,0.51,25,0,10,7,32,0,108.0,4.32,5.235791694143108,10,124.0,0.21983178130949152,10,124.0
55.0,-0.3700000000000001,28,0,12,8,36,0,161.0,5.75,7.142803107370534,12,161.0,0.25853015729920875,12,161.0
60.0,-0.5999999999999999,24,0,12,12,36,0,221.0,9.208333333333334,6.505363124457393,12,221.0,0.23465690694500116,12,221.0
65.0,-0.6000000000000001,18,0,12,18,36,0,281.0,15.61111111111111,3.1064348713728034,12,281.0,0.07309950651525633,12,281.0
70.0,-0.6699999999999999,28,0,14,20,48,0,348.0,12.428571428571429,6.509142889124804,14,348.0,0.42705700170255245,14,348.0
