step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.485765339655728,0,0.0,0.915322205691378,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.351767268584139,0,0.0,0.9105265335018053,0,0.0
15.0,-0.05,12,0,2,0,12,0,5.0,0.4166666666666667,4.463376789632753,2,5.0,0.03161843917109532,2,5.0
20.0,-0.38,12,0,8,0,12,0,43.0,3.5833333333333335,4.221162753701523,8,43.0,3.118087929923495e-05,8,43.0
25.0,-0.39999999999999997,11,0,8,1,12,0,83.0,7.545454545454546,3.3990957632891394,8,83.0,0.0,8,83.0
30.0,-0.4,8,0,8,4,12,0,123.0,15.375,0.0,8,123.0,0.0,8,123.0
35.0,-0.3999999999999999,12,0,8,4,16,0,163.0,13.583333333333334,4.584737499822345,8,163.0,0.31584583390595755,8,163.0
40.0,0.11999999999999988,12,0,6,4,16,0,151.0,12.583333333333334,4.4793137818485995,6,151.0,0.2529975299127882,6,151.0
45.0,0.24,12,0,5,4,16,0,71.0,5.916666666666667,3.002849867118659,5,127.0,0.025701228283438828,5,127.0
50.0,0.43000000000000005,11,0,4,5,16,0,84.0,7.636363636363637,7.007475129358706,4,84.0,0.0,4,84.0
55.0,-0.20000000000000007,10,0,4,6,16,0,104.0,10.4,7.955193923100059,4,104.0,0.0,4,104.0
60.0,-0.19999999999999996,6,0,4,10,16,0,124.0,20.666666666666668,4.575233084894804,4,124.0,0.0,4,124.0
65.0,-0.19999999999999996,8,0,4,12,20,0,144.0,18.0,5.954920127621149,4,144.0,0.47104392555739705,4,144.0
70.0,-0.19999999999999996,8,0,4,12,20,0,164.0,20.5,5.425585914241185,4,164.0,0.43230621638958355,4,164.0
