step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,13.573347620829296,0,0.0,0.9525459347939355,0,0.0
10.0,0.0,14,0,0,0,14,0,0.0,0.0,12.039383213003259,0,0.0,0.8529985548573273,0,0.0
15.0,-0.06,14,0,4,0,14,0,6.0,0.42857142857142855,5.7856124372386075,4,6.0,0.2000829960429289,4,6.0
20.0,-0.4,20,0,9,0,20,0,46.0,2.3,6.836599533222996,9,46.0,0.3702293128559126,9,46.0
25.0,-0.4799999999999999,20,0,10,2,22,0,94.0,4.7,5.677352748825336,10,94.0,0.3622183022849411,10,94.0
30.0,-0.56,18,0,12,4,22,0,150.0,8.333333333333334,2.642854284483997,12,150.0,0.20105221204879456,12,150.0
35.0,-0.7200000000000002,22,0,16,4,26,0,222.0,10.090909090909092,2.34701150270706,16,222.0,0.1774630590287715,16,222.0
40.0,-0.3599999999999999,28,0,16,4,32,0,258.0,9.214285714285714,4.486450363139881,16,258.0,0.3033288429484082,16,258.0
45.0,-0.22999999999999998,28,0,15,4,32,0,224.0,8.0,3.9884825587878496,15,281.0,0.23198291836179563,15,281.0
50.0,0.5300000000000002,28,0,9,6,34,0,124.0,4.428571428571429,4.273284420040433,9,228.0,0.1689492837211759,9,228.0
55.0,0.2599999999999998,30,0,8,6,36,0,160.0,5.333333333333333,7.201151055256081,8,202.0,0.30134427845206785,8,202.0
60.0,0.0,31,0,8,9,40,0,200.0,6.451612903225806,9.16424634340922,8,202.0,0.46079912545201057,8,202.0
65.0,-0.3799999999999999,30,0,8,14,44,0,240.0,8.0,9.277065683343467,8,240.0,0.49623735339197317,8,240.0
70.0,-0.43000000000000016,25,0,9,19,44,0,283.0,11.32,7.194800801353369,9,283.0,0.23622959445304423,9,283.0
75.0,-0.56,25,0,12,25,50,0,339.0,13.56,6.831347594505671,12,339.0,0.32794694013299003,12,339.0
80.0,0.75,28,0,8,28,56,0,170.0,6.071428571428571,7.536945628412745,8,264.0,0.5200933447603865,8,264.0
85.0,1.02,25,0,5,31,56,0,108.0,4.32,7.240178897764743,5,162.0,0.4322445727697573,5,162.0
90.0,0.7900000000000001,26,0,8,32,58,0,26.0,1.0,5.573085192723943,8,83.0,0.23788042307589302,8,83.0
95.0,-0.5400000000000001,26,0,13,36,62,0,83.0,3.1923076923076925,5.782920284792444,13,137.0,0.26343159361010554,13,137.0
100.0,-0.69,29,0,15,37,66,0,152.0,5.241379310344827,6.141225963009374,15,206.0,0.3325705948427085,15,206.0
105.0,-0.75,25,0,15,43,68,0,227.0,9.08,3.0955712738093677,15,281.0,0.18009463546872642,15,281.0
110.0,-0.9300000000000002,27,0,21,43,70,0,320.0,11.851851851851851,2.1981738438575196,21,374.0,0.11159655418341151,21,374.0
115.0,-1.0999999999999996,31,0,23,43,74,0,430.0,13.870967741935484,3.1657822683769052,23,484.0,0.19094774578818063,23,484.0
120.0,-1.1900000000000004,31,0,25,45,76,0,549.0,17.70967741935484,2.3758144336718825,25,603.0,0.17329183674991686,25,603.0
125.0,-0.5699999999999994,35,0,25,45,80,0,606.0,17.314285714285713,2.0606248887094325,25,660.0,0.13268821606040307,25,660.0
130.0,-0.4800000000000004,35,0,27,45,80,0,654.0,18.685714285714287,2.0545649674513085,27,708.0,0.10286171288975617,27,708.0
135.0,-0.3200000000000003,41,0,20,45,86,0,433.0,10.560975609756097,3.8688280962240404,20,740.0,0.19678403152016935,20,740.0
140.0,1.2200000000000006,41,0,14,47,88,0,377.0,9.195121951219512,5.297521029651729,14,618.0,0.2262377326751733,14,618.0
145.0,0.5499999999999998,38,0,13,50,88,0,419.0,11.026315789473685,5.95010476489077,13,563.0,0.21210346160465388,13,563.0
150.0,0.05999999999999961,43,0,13,53,96,0,484.0,11.255813953488373,8.449785331318388,13,557.0,0.47342726600428037,13,557.0
155.0,-0.47999999999999954,40,0,13,60,100,0,549.0,13.725,8.038379739084277,13,605.0,0.484490027208363,13,605.0
160.0,-0.6400000000000006,36,0,14,66,102,0,615.0,17.083333333333332,5.847696070689527,14,669.0,0.2369667777999612,14,669.0
165.0,1.0600000000000005,36,0,19,68,104,0,552.0,15.333333333333334,4.76362561985524,19,563.0,0.16457910586231278,19,563.0
170.0,1.7199999999999998,32,0,10,72,104,0,136.0,4.25,4.930129026767499,10,391.0,0.1678948031846566,10,391.0
175.0,0.27,32,0,7,78,110,0,52.0,1.625,5.519890941875254,7,364.0,0.2831327261380366,7,364.0
180.0,-0.10999999999999988,34,0,14,80,114,0,112.0,3.2941176470588234,5.970295334024144,14,375.0,0.27872364598366167,14,375.0
185.0,-0.9199999999999999,31,0,20,83,114,0,204.0,6.580645161290323,4.250401027385061,20,467.0,0.1536088991576681,20,467.0
190.0,-1.0600000000000005,33,0,22,87,120,0,310.0,9.393939393939394,4.16136439156715,22,573.0,0.25351681599825726,22,573.0
195.0,-1.13,33,0,23,89,122,0,423.0,12.818181818181818,3.48345250035679,23,686.0,0.20299635140473576,23,686.0
200.0,-1.2399999999999993,33,0,26,89,122,0,547.0,16.575757575757574,1.4701282992079543,26,810.0,0.0491244407876602,26,810.0
205.0,-1.4700000000000006,33,0,31,91,124,0,694.0,21.03030303030303,0.7237841958326907,31,957.0,0.056343858276553166,31,957.0
210.0,-0.5600000000000005,41,0,29,91,132,0,750.0,18.29268292682927,2.8847106846834314,29,1013.0,0.189859901859782,29,1013.0
215.0,-1.5399999999999991,41,0,31,91,132,0,904.0,22.048780487804876,2.41557216206481,31,1167.0,0.12667255153310014,31,1167.0
220.0,0.41000000000000014,43,0,27,91,134,0,650.0,15.116279069767442,2.7497359423402186,27,1126.0,0.1103674097965716,27,1126.0
225.0,0.34999999999999964,47,0,21,93,140,0,569.0,12.106382978723405,4.805609539089385,21,1091.0,0.23950998099258614,21,1091.0
230.0,0.7900000000000009,49,0,16,95,144,0,621.0,12.673469387755102,6.589872093728399,16,1012.0,0.3309515441361389,16,1012.0
235.0,0.1399999999999988,47,0,17,99,146,0,702.0,14.936170212765957,6.272930858787461,17,998.0,0.23383515575508254,17,998.0
240.0,-0.7799999999999994,45,0,22,105,150,0,808.0,17.955555555555556,6.655057408365969,22,1076.0,0.30896522375438246,22,1076.0
245.0,-1.0500000000000007,41,0,22,109,150,0,918.0,22.390243902439025,6.029140930781435,22,1181.0,0.1666729233259971,22,1181.0
250.0,-1.0999999999999996,40,0,22,116,156,0,1028.0,25.7,5.192644932670534,22,1291.0,0.2288401050551491,22,1291.0
255.0,4.140000000000001,35,0,16,121,156,0,369.0,10.542857142857143,3.8782272158760325,16,877.0,0.17790618007505254,16,877.0
260.0,1.0999999999999996,34,0,9,124,158,0,83.0,2.4411764705882355,3.9347419236058943,9,767.0,0.16812270141781605,9,767.0
265.0,0.04999999999999982,40,0,15,124,164,0,126.0,3.15,5.542187381012767,15,762.0,0.24506651690184622,15,762.0
270.0,-0.9899999999999993,37,0,23,129,166,0,225.0,6.081081081081081,4.756799566946517,23,861.0,0.23136825360811267,23,861.0
275.0,-1.1799999999999997,36,0,25,132,168,0,343.0,9.527777777777779,2.687452137694742,25,979.0,0.1306084063697553,25,979.0
280.0,-1.4300000000000015,35,0,30,135,170,0,486.0,13.885714285714286,1.5868636343672868,30,1122.0,0.09103455212714355,30,1122.0
285.0,-1.5299999999999994,39,0,31,135,174,0,639.0,16.384615384615383,2.6239857439999352,31,1275.0,0.14067597658886327,31,1275.0
290.0,-1.58,41,0,33,135,176,0,797.0,19.4390243902439,1.9696301970020735,33,1433.0,0.09798136596090151,33,1433.0
295.0,-0.5500000000000007,45,0,35,137,182,0,852.0,18.933333333333334,1.931459399928873,35,1488.0,0.13803847389803584,35,1488.0
300.0,-1.8499999999999996,47,0,37,137,184,0,1037.0,22.06382978723404,2.2945477369145517,37,1673.0,0.14280164199993078,37,1673.0
305.0,0.10999999999999943,53,0,31,137,190,0,868.0,16.37735849056604,3.5447997562906157,31,1662.0,0.22275300461480046,31,1662.0
310.0,0.25,53,0,26,139,192,0,772.0,14.566037735849056,3.2890798502785343,26,1637.0,0.13986103484011736,26,1637.0
315.0,-0.17999999999999972,53,0,27,139,192,0,833.0,15.716981132075471,4.21161971488365,27,1655.0,0.11992450363952521,27,1655.0
320.0,-0.00999999999999801,50,0,25,144,194,0,954.0,19.08,5.401804366925541,25,1656.0,0.20351030547909313,25,1656.0
325.0,-0.75,51,0,25,149,200,0,1079.0,21.15686274509804,6.367237962382944,25,1731.0,0.3100057792677654,25,1731.0
330.0,-1.1000000000000014,47,0,26,155,202,0,1205.0,25.638297872340427,5.251874027626016,26,1841.0,0.2035151627953975,26,1841.0
