step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.485765339655728,0,0.0,0.915322205691378,0,0.0
10.0,0.0,14,0,0,0,14,0,0.0,0.0,12.574275032837418,0,0.0,0.918219495239588,0,0.0
15.0,-0.05,14,0,2,0,14,0,5.0,0.35714285714285715,5.72996550193468,2,5.0,0.21339330443581495,2,5.0
20.0,-0.38,20,0,8,0,20,0,43.0,2.15,7.778248325250776,8,43.0,0.45530764038261007,8,43.0
25.0,-0.39999999999999997,21,0,8,1,22,0,83.0,3.9523809523809526,7.9059732254554245,8,83.0,0.47898681881139044,8,83.0
30.0,-0.4,17,0,8,5,22,0,123.0,7.235294117647059,6.007079163285811,8,123.0,0.3517164046827986,8,123.0
35.0,-0.45999999999999996,20,0,10,6,26,0,169.0,8.45,5.806466223460289,10,169.0,0.3348055966928176,10,169.0
40.0,0.1499999999999999,24,0,8,8,32,0,154.0,6.416666666666667,6.490305521440746,8,154.0,0.4342655657500152,8,154.0
45.0,0.1100000000000001,23,0,7,9,32,0,87.0,3.782608695652174,5.776336141193025,7,143.0,0.3347708135665977,7,143.0
50.0,0.27,24,0,7,10,34,0,116.0,4.833333333333333,6.770103573695763,7,116.0,0.282811828839907,7,116.0
55.0,-0.48,23,0,13,13,36,0,164.0,7.130434782608695,5.79810220312794,13,164.0,0.22433293927065306,13,164.0
60.0,-0.6799999999999999,23,0,15,17,40,0,232.0,10.08695652173913,4.718076090489434,15,232.0,0.2692888497939346,15,232.0
65.0,-0.7600000000000002,25,0,16,19,44,0,308.0,12.32,3.91987732017281,16,308.0,0.2736670031015844,16,308.0
70.0,-0.8799999999999999,25,0,19,19,44,0,396.0,15.84,1.5539957887525588,19,396.0,0.10690324307140862,19,396.0
