step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.500649008864928,0,0.0,0.9144433030664056,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.440675707777073,0,0.0,0.9118873937223532,0,0.0
15.0,-0.05,14,0,4,0,14,0,5.0,0.35714285714285715,6.272237949333909,4,5.0,0.22605858802900974,4,5.0
20.0,-0.37,16,0,8,0,16,0,42.0,2.625,6.98800199717131,8,42.0,0.32475659152521774,8,42.0
25.0,-0.39999999999999997,15,0,8,3,18,0,82.0,5.466666666666667,6.417491781983617,8,82.0,0.31759910041073125,8,82.0
30.0,-0.4,18,0,8,4,22,0,122.0,6.777777777777778,6.213006572524959,8,122.0,0.3715942379915137,8,122.0
35.0,-0.49,18,0,10,6,24,0,171.0,9.5,5.6408046706690245,10,171.0,0.34257553176206107,10,171.0
40.0,-0.010000000000000009,20,0,10,6,26,0,172.0,8.6,5.646267100561529,10,172.0,0.26212684262345043,10,172.0
45.0,0.10999999999999988,24,0,8,8,32,0,106.0,4.416666666666667,6.277600047926644,8,161.0,0.38002699179608856,8,161.0
50.0,0.54,23,0,6,9,32,0,107.0,4.6521739130434785,7.952253516016566,6,107.0,0.44214340998239304,6,107.0
55.0,-0.31999999999999984,28,0,7,12,40,0,139.0,4.964285714285714,8.512495882618955,7,139.0,0.48971940172180134,7,139.0
60.0,-0.4700000000000002,24,0,10,16,40,0,186.0,7.75,6.86480165998474,10,186.0,0.36919912203500116,10,186.0
65.0,-0.6100000000000001,22,0,15,20,42,0,247.0,11.227272727272727,3.561199829916248,15,247.0,0.11391612665049007,15,247.0
70.0,-0.7999999999999998,22,0,16,22,44,0,327.0,14.863636363636363,3.1693293317951468,16,327.0,0.16147753473321214,16,327.0
75.0,-0.8400000000000003,26,0,17,24,50,0,411.0,15.807692307692308,4.29395023949649,17,411.0,0.30233172231623123,17,411.0
80.0,0.4500000000000002,26,0,14,24,50,0,321.0,12.346153846153847,3.580274866919915,14,366.0,0.25439208109002015,14,366.0
85.0,-0.35999999999999943,28,0,18,24,52,0,402.0,14.357142857142858,3.169814943786533,18,402.0,0.10486676496755885,18,402.0
90.0,0.9399999999999995,34,0,14,24,58,0,185.0,5.4411764705882355,4.988208272253206,14,308.0,0.24768642041836825,14,308.0
95.0,0.7200000000000002,34,0,7,26,60,0,108.0,3.176470588235294,7.081508690652606,7,236.0,0.36764962201274426,7,236.0
100.0,0.48,35,0,11,29,64,0,143.0,4.085714285714285,7.272923912344257,11,188.0,0.35587639112979613,11,188.0
105.0,-0.1299999999999999,36,0,12,32,68,0,201.0,5.583333333333333,8.41308363357737,12,201.0,0.4261896460352262,12,201.0
110.0,-0.6000000000000001,31,0,12,37,68,0,261.0,8.419354838709678,7.1048141888217415,12,261.0,0.24225272144616403,12,261.0
115.0,-0.6699999999999999,26,0,14,44,70,0,328.0,12.615384615384615,5.313276168906703,14,328.0,0.14090655223600837,14,328.0
120.0,-0.77,23,0,16,47,70,0,405.0,17.608695652173914,3.8658898676790407,16,405.0,0.10712075149426109,16,405.0
125.0,1.23,27,0,10,51,78,0,259.0,9.592592592592593,5.741390558719858,10,282.0,0.3823353292028908,10,282.0
130.0,0.5799999999999996,30,0,10,52,82,0,224.0,7.466666666666667,7.377799972114072,10,224.0,0.4946003026422414,10,224.0
135.0,0.3800000000000001,32,0,4,52,84,0,94.0,2.9375,7.73091559628381,4,186.0,0.4452154903671564,4,186.0
140.0,0.5700000000000001,29,0,10,57,86,0,129.0,4.448275862068965,7.361814464960397,10,129.0,0.3287935425912521,10,129.0
145.0,-0.5899999999999999,27,0,14,61,88,0,188.0,6.962962962962963,6.031641561602525,14,188.0,0.20782437315945745,14,188.0
150.0,-0.7000000000000002,27,0,14,65,92,0,258.0,9.555555555555555,5.948332936034159,14,258.0,0.30192194730508576,14,258.0
155.0,-0.7199999999999998,25,0,16,69,94,0,330.0,13.2,4.477954157577901,16,330.0,0.2580739858157587,16,330.0
160.0,-0.8100000000000005,26,0,17,70,96,0,411.0,15.807692307692308,2.704336363370701,17,411.0,0.14983317572737612,17,411.0
165.0,0.35000000000000053,26,0,20,72,98,0,376.0,14.461538461538462,2.046047464371748,20,376.0,0.16221022658131243,20,376.0
170.0,-0.4300000000000006,26,0,18,72,98,0,419.0,16.115384615384617,2.191735595200746,18,419.0,0.05984673052542558,18,419.0
175.0,0.03000000000000025,38,0,16,72,110,0,273.0,7.184210526315789,6.0752057385539535,16,416.0,0.363502203636159,16,416.0
180.0,0.9300000000000002,36,0,6,74,110,0,141.0,3.9166666666666665,6.875786629826084,6,323.0,0.3988502344514289,6,323.0
185.0,1.0299999999999998,36,0,10,76,112,0,179.0,4.972222222222222,6.596312895257771,10,220.0,0.26975878374098794,10,220.0
190.0,-0.25,31,0,14,81,112,0,245.0,7.903225806451613,6.734993018799902,14,245.0,0.20472996380555583,14,245.0
195.0,-0.6999999999999997,30,0,14,86,116,0,315.0,10.5,6.960497865396253,14,315.0,0.2107876380991788,14,315.0
200.0,-0.71,30,0,15,90,120,0,386.0,12.866666666666667,6.34665073651796,15,386.0,0.2866861292008989,15,386.0
205.0,-0.7900000000000005,25,0,16,97,122,0,465.0,18.6,4.739946390887125,16,465.0,0.283020290355411,16,465.0
210.0,0.7100000000000004,26,0,11,98,124,0,255.0,9.807692307692308,4.150207207846955,11,394.0,0.22649449680120945,11,394.0
