method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,scenario
dqn_v1,201,3600,721,3600.0,-0.7899999999999983,74.05409153952843,217.0,3.370119053828289,13.5,6.1900138696255205,14.0,7.381663221961966,12.500649008864928,1996.0,1980.0,0.0,1980.0000000000002,balanced
dqn_v1,202,3600,721,3600.0,-0.4199999999999977,68.35783633841886,226.0,3.158321299871192,10.761904761904765,5.866851595006935,13.0,7.504569416146045,12.485765339655728,1996.0,1977.0,0.0,1977.0,balanced
dqn_v1,203,3600,721,3600.0,-0.42999999999999905,68.08044382801664,232.0,3.1332906120821704,9.727272727272728,5.9778085991678225,15.0,7.487140085944457,13.573347620829296,1996.0,1980.0,0.0,1980.0000000000002,balanced
dqn_v1,201,3600,721,3600.0,-65.68,803.9209431345354,4016.0,12.472470696897702,58.294117647058826,31.0249653259362,75.0,4.506653511702803,13.70991953675391,2104.0,2005.0,0.0,2005.0,burst
dqn_v1,202,3600,721,3600.0,-50.169999999999995,748.8474341192788,4571.0,11.247426687133956,49.1505376344086,30.914008321775313,77.0,4.543242378663009,13.595449732276917,2114.0,2020.0,0.0,2020.0,burst
dqn_v1,203,3600,721,3600.0,-49.819999999999986,746.4160887656034,4346.0,11.004878140108353,46.5,30.99861303744799,76.0,4.558148657490945,13.573347620829296,2105.0,2009.0,0.0,2009.0,burst
dqn_v1,201,3600,721,3600.0,-1.2499999999999938,110.29680998613037,509.0,4.56754612443435,20.863636363636363,6.88626907073509,15.0,7.183375614700727,12.500649008864928,2080.0,2060.0,0.0,2060.0,direction_switch
dqn_v1,202,3600,721,3600.0,-0.609999999999995,100.70319001386963,608.0,4.211130291541087,19.0,6.513176144244105,19.0,7.350322475207711,12.485765339655728,2080.0,2064.0,0.0,2064.0,direction_switch
dqn_v1,203,3600,721,3600.0,-0.8499999999999974,102.75589459084604,566.0,4.2853515368585615,21.70833333333333,6.679611650485437,17.0,7.223632104406378,13.573347620829296,2080.0,2061.0,0.0,2061.0,direction_switch
dqn_v1,201,3600,721,3600.0,-1.4999999999999933,146.9639389736477,460.0,6.269685900886257,18.789473684210527,6.769764216366158,15.0,7.570850712371188,12.73205863689041,2136.0,2117.0,0.0,2117.0,ew_peak
dqn_v1,202,3600,721,3600.0,-1.3999999999999926,165.0859916782247,495.0,6.925876249165333,19.416666666666668,7.0124826629681,14.0,7.483194480426184,12.581944368549232,2136.0,2117.0,0.0,2117.0,ew_peak
dqn_v1,203,3600,721,3600.0,-0.5199999999999925,151.61442441054092,481.0,6.495631519767834,21.863636363636363,6.7891816920943135,13.0,7.560119851130288,13.573347620829296,2136.0,2115.0,0.0,2115.0,ew_peak
dqn_v1,201,3600,721,3600.0,-1.6999999999999997,97.20110957004161,289.0,3.6558035116432595,12.041666666666666,7.237170596393898,16.0,6.676921146275575,12.800256572379084,2136.0,2115.0,0.0,2115.0,ns_peak
dqn_v1,202,3600,721,3600.0,-1.5000000000000013,94.4493758668516,283.0,3.495613075174533,10.24,7.38002773925104,16.0,6.554402688666244,12.574275032837418,2136.0,2114.0,0.0,2114.0,ns_peak
dqn_v1,203,3600,721,3600.0,-0.28,93.7128987517337,312.0,3.5679280774526574,11.923076923076923,6.965325936199722,16.0,6.815983569213759,13.573347620829296,2136.0,2117.0,0.0,2117.0,ns_peak
dqn_v1,201,3600,721,3600.0,-0.5399999999999954,79.9389736477115,224.0,3.405809088591153,9.5,6.538141470180305,15.0,7.273196407816268,12.500649008864928,2056.0,2038.0,0.0,2038.0,unseen_mixed
dqn_v1,202,3600,721,3600.0,-1.0499999999999954,81.75450762829404,235.0,3.433545086889239,10.421052631578949,6.705963938973648,14.0,7.196845129018353,12.485765339655728,2056.0,2040.0,0.0,2040.0,unseen_mixed
dqn_v1,203,3600,721,3600.0,-1.1699999999999937,81.04438280166436,236.0,3.4056511826869427,10.842105263157896,6.807212205270457,17.0,7.144283948036773,13.573347620829296,2056.0,2036.0,0.0,2036.0000000000002,unseen_mixed
fixed,201,3600,721,3600.0,-41.18,666.1636615811373,1570.0,16.76591047554178,35.588235294117645,22.891816920943135,40.0,4.19422861595663,12.500649008864928,1996.0,1955.0,0.0,1954.9999999999998,balanced
fixed,202,3600,721,3600.0,-43.73,727.2732316227462,1808.0,17.05962359884687,37.74418604651163,24.575589459084604,46.0,4.101861449674352,12.485765339655728,1996.0,1953.0,0.0,1953.0,balanced
fixed,203,3600,721,3600.0,-19.5,567.8640776699029,1226.0,15.671524297040593,36.05882352941177,20.199722607489598,33.0,4.470992626816754,13.573347620829296,1996.0,1965.0,0.0,1964.9999999999998,balanced
fixed,201,3600,721,3600.0,-210.17,1656.1650485436894,3537.0,19.778455631045126,41.838235294117645,51.41886269070735,96.0,3.161617713035698,12.500649008864928,2191.0,2075.0,0.0,2075.0,burst
fixed,202,3600,721,3600.0,-205.66999999999996,1679.4424410540914,3520.0,19.762657630619703,40.12307692307692,51.81553398058252,95.0,3.1938549893154273,12.485765339655728,2186.0,2071.0,0.0,2071.0,burst
fixed,203,3600,721,3600.0,-228.87,1642.4327323162274,3600.0,19.719388505753557,41.42857142857143,50.83079056865465,96.0,3.1962535467118762,13.573347620829296,2185.0,2068.0,0.0,2068.0,burst
fixed,201,3600,721,3600.0,-144.44,1280.3051317614425,3235.0,19.668668593611507,43.10169491525424,40.255201109570045,78.0,3.2106070285930937,12.500649008864928,2068.0,1996.0,0.0,1995.9999999999998,direction_switch
fixed,202,3600,721,3600.0,-186.66,1354.1608876560333,3210.0,19.570043820926433,43.016666666666666,42.246879334257976,84.0,3.211812982601837,12.485765339655728,2060.0,1979.0,0.0,1979.0,direction_switch
fixed,203,3600,721,3600.0,-142.81,1273.5381414701803,3060.0,19.592705825875157,43.61016949152543,40.054091539528436,78.0,3.241872973960637,13.573347620829296,2072.0,1999.0,0.0,1999.0,direction_switch
fixed,201,3600,721,3600.0,-107.03,1194.4576976421636,2532.0,20.075288011369803,43.92857142857143,37.97364771151179,60.0,2.932249647363133,12.73205863689041,2002.0,1946.0,0.0,1946.0,ew_peak
fixed,202,3600,721,3600.0,-106.37,1202.1567267683772,2554.0,20.132575079377943,47.16981132075472,38.1123439667129,61.0,2.929874561080892,12.581944368549232,2003.0,1947.0,0.0,1947.0000000000002,ew_peak
fixed,203,3600,721,3600.0,-107.45999999999998,1217.6088765603329,2625.0,20.37471624448963,46.388888888888886,38.40638002773925,60.0,2.9052291564358494,13.573347620829296,1994.0,1937.0,0.0,1936.9999999999998,ew_peak
fixed,201,3600,721,3600.0,-97.44,1199.636615811373,2533.0,20.095418406405734,45.76923076923077,38.108183079056865,60.0,2.9374051095435147,12.800256572379084,2006.0,1949.0,0.0,1949.0,ns_peak
fixed,202,3600,721,3600.0,-104.67999999999999,1193.256588072122,2542.0,20.051419472847275,43.660714285714285,37.963938973647714,60.0,2.946913192804675,12.574275032837418,2004.0,1947.0,0.0,1947.0000000000002,ns_peak
fixed,203,3600,721,3600.0,-99.47999999999999,1189.3023578363384,2565.0,20.02499862787043,46.0377358490566,37.816920943134534,60.0,2.963313560131087,13.573347620829296,2006.0,1950.0,0.0,1949.9999999999998,ns_peak
fixed,201,3600,721,3600.0,-105.95999999999997,1028.1109570041608,2558.0,19.024188403118213,47.01851851851852,33.16366158113731,56.0,3.3822735109639934,12.500649008864928,2014.0,1956.0,0.0,1956.0,unseen_mixed
fixed,202,3600,721,3600.0,-97.74,1048.0943134535366,2605.0,19.33540352440642,47.9811320754717,33.77669902912621,56.0,3.307682908547622,12.485765339655728,2019.0,1961.0,0.0,1961.0,unseen_mixed
fixed,203,3600,721,3600.0,-96.43999999999998,1084.2094313453538,2548.0,19.67514646467893,47.03703703703704,34.72399445214979,56.0,3.226410003393487,13.573347620829296,2013.0,1955.0,0.0,1954.9999999999998,unseen_mixed
