#{"t_start": 1788077550.500292, "env_id": "None"}
r,l,t
-40.595517,360,9.969584
-39.397351,360,17.370682
-48.890502,360,25.547311
-73.453893,360,35.348638
-77.899061,360,44.807882
-64.061123,360,53.905623
-55.693757,360,62.10646
-53.969203,360,70.315201
-40.855614,360,77.978023
-30.510146,360,85.223205
-28.844595,360,92.234096
-32.990158,360,99.702318
-27.462805,360,106.860823
-29.693835,360,114.076972
-47.754647,360,122.311028
-39.230865,360,130.03775
-35.332445,360,137.657736
-41.727203,360,146.171195
-40.882955,360,154.229971
-41.158697,360,161.993309
-37.493583,360,169.638276
-46.87843,360,177.843741
-28.979976,360,184.873053
-31.249756,360,192.103027
-21.341228,360,198.860564
-30.164163,360,206.0316
-29.199941,360,213.318497
-31.252794,360,220.866648
-31.820273,360,228.303046
-29.642468,360,235.402904
-32.611998,360,242.956903
-30.864134,360,250.396557
-30.827108,360,257.743654
-35.785002,360,265.589946
-26.437985,360,272.561271
-25.312615,360,279.495202
-29.561506,360,286.665708
-28.855308,360,294.067065
-32.3522,360,301.635888
-29.678171,360,309.119958
-28.738227,360,316.106767
-36.303916,360,323.526121
-36.115601,360,331.216265
-29.218624,360,338.523229
-37.645505,360,346.194889
-32.871868,360,353.551728
-29.558039,360,360.868445
-32.488611,360,368.296742
-41.788046,360,376.330086
-29.962145,360,383.654167
-27.984593,360,391.162466
-30.23906,360,398.504229
-31.917137,360,406.094251
-28.721124,360,413.343331
-30.276639,360,420.734556
-31.124483,360,428.627935
-29.576492,360,435.848773
-29.151073,360,443.219871
-29.678202,360,450.766475
-30.91062,360,458.353748
-32.855172,360,466.059456
-36.539777,360,474.041265
-33.011011,360,481.851668
-29.841627,360,489.396793
-29.042381,360,496.857405
-32.158554,360,504.723619
-32.402365,360,512.537659
-38.522311,360,520.610618
-37.606968,360,528.656678
-33.982305,360,536.437616
-30.361904,360,544.094801
-29.988229,360,551.740316
-30.545974,360,559.507331
-28.615969,360,566.849432
-32.844911,360,574.588846
-32.618086,360,582.033422
-26.369564,360,589.07093
-32.735157,360,596.483086
-30.096134,360,604.067352
-28.883633,360,611.626228
-26.883336,360,618.890499
-27.724996,360,626.27984
-29.695133,360,634.316545
