step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,13.214543024423767,0,0.0,0.9086404230365002,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.665858050457999,0,0.0,0.8134987661278106,0,0.0
15.0,-0.14,12,0,6,0,12,0,14.0,1.1666666666666667,2.2068627512230683,6,14.0,0.09267492227946805,6,14.0
20.0,-0.45999999999999996,12,0,10,0,12,0,60.0,5.0,2.432044242020793,10,60.0,1.8088196316990307e-05,10,60.0
25.0,-0.21999999999999997,11,0,6,1,12,0,66.0,6.0,2.684326447896098,6,82.0,0.04187683335325615,6,82.0
30.0,-0.14,10,0,6,2,12,0,96.0,9.6,5.198509600569476,6,96.0,0.0,6,96.0
35.0,0.17999999999999994,14,0,2,2,16,0,46.0,3.2857142857142856,9.285935174802189,2,78.0,0.5322864740565121,2,78.0
40.0,0.21999999999999997,10,0,2,6,16,0,56.0,5.6,9.965151909249782,2,56.0,0.6161296664317901,2,56.0
45.0,-0.10999999999999999,10,0,3,6,16,0,67.0,6.7,8.537494637101101,3,67.0,0.002180288316151355,3,67.0
50.0,-0.1499999999999999,7,0,3,9,16,0,82.0,11.714285714285714,7.447660826851549,3,82.0,0.0,3,82.0
55.0,-0.15000000000000002,4,0,3,12,16,0,97.0,24.25,3.3294189570897723,3,97.0,0.0,3,97.0
60.0,-0.15000000000000013,3,0,3,13,16,0,112.0,37.333333333333336,0.0,3,112.0,0.0,3,112.0
65.0,0.06000000000000005,7,0,2,13,20,0,106.0,15.142857142857142,8.429944526113362,2,106.0,0.627561204675465,2,106.0
70.0,-0.09999999999999987,7,0,2,13,20,0,116.0,16.571428571428573,9.049882683503155,2,116.0,0.5840506718596524,2,116.0
75.0,-0.10000000000000009,15,0,2,13,28,0,126.0,8.4,10.335929250071734,2,126.0,0.7310760926967603,2,126.0
80.0,-0.1499999999999999,14,0,3,14,28,0,141.0,10.071428571428571,10.420937731207413,3,141.0,0.6873510539098464,3,141.0
85.0,1.3099999999999998,12,0,1,16,28,0,10.0,0.8333333333333334,8.65724553014601,1,10.0,0.6488601927219254,1,10.0
90.0,-0.18000000000000002,11,0,6,17,28,0,28.0,2.5454545454545454,5.145552570208066,6,28.0,0.0029726807014859025,6,28.0
95.0,-0.20999999999999996,15,0,5,17,32,0,49.0,3.2666666666666666,8.339209375864915,5,49.0,0.42540132085862364,5,49.0
100.0,-0.25,11,0,5,21,32,0,74.0,6.7272727272727275,5.9470604104677856,5,74.0,0.32257389353355626,5,74.0
105.0,0.22999999999999998,11,0,4,21,32,0,34.0,3.090909090909091,4.068902813159645,4,51.0,0.07235149831435865,4,51.0
110.0,-0.030000000000000027,9,0,4,23,32,0,54.0,6.0,6.709552235109138,4,54.0,0.0,4,54.0
115.0,0.36000000000000004,9,0,0,23,32,0,0.0,0.0,9.267495706847901,0,18.0,0.20526692418852424,0,18.0
120.0,0.18,5,0,0,27,32,0,0.0,0.0,12.239257208974394,0,0.0,1.0,0,0.0
125.0,0.0,8,0,0,28,36,0,0.0,0.0,12.890541177855333,0,0.0,0.9490329999152589,0,0.0
130.0,0.0,4,0,0,32,36,0,0.0,0.0,11.720095272487743,0,0.0,0.8708096600990081,0,0.0
135.0,-0.01,4,0,1,32,36,0,1.0,0.25,6.101715888576603,1,1.0,0.005217230922334356,1,1.0
140.0,-0.1,4,0,2,32,36,0,11.0,2.75,6.091547819094732,2,11.0,0.0,2,11.0
145.0,-0.09999999999999999,3,0,2,33,36,0,21.0,7.0,3.6128019169008607,2,21.0,0.0,2,21.0
150.0,-0.1,14,0,2,34,48,0,31.0,2.2142857142857144,12.266621016578057,2,31.0,0.8145210532757741,2,31.0
155.0,-0.09999999999999998,14,0,2,34,48,0,41.0,2.9285714285714284,11.838794171420682,2,41.0,0.7915072308108199,2,41.0
160.0,-0.13000000000000006,14,0,4,34,48,0,54.0,3.857142857142857,4.51953903294859,4,54.0,0.21283088309557788,4,54.0
165.0,-0.42999999999999994,14,0,10,34,48,0,97.0,6.928571428571429,3.791918381474243,10,97.0,0.00026257347784823466,10,97.0
170.0,0.27,13,0,4,35,48,0,40.0,3.076923076923077,4.694480066845177,4,70.0,0.08341690940859126,4,70.0
175.0,0.09999999999999998,10,0,4,38,48,0,60.0,6.0,7.630892612264377,4,60.0,0.0,4,60.0
180.0,0.19999999999999996,14,0,2,38,52,0,40.0,2.857142857142857,11.038274386306288,2,40.0,0.6666666666666666,2,40.0
185.0,-0.09999999999999998,8,0,2,44,52,0,50.0,6.25,10.619323442268433,2,50.0,0.644117898016356,2,50.0
190.0,-0.09999999999999998,8,0,2,44,52,0,60.0,7.5,8.725521948454332,2,60.0,0.370229159885369,2,60.0
195.0,-0.15000000000000002,6,0,4,46,52,0,75.0,12.5,4.349641934467236,4,75.0,0.00025569333800500553,4,75.0
200.0,-0.19999999999999996,6,0,4,46,52,0,95.0,15.833333333333334,4.281010108448137,4,95.0,0.0,4,95.0
205.0,-0.19999999999999996,5,0,4,47,52,0,115.0,23.0,2.2443289914119617,4,115.0,0.0,4,115.0
