step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.095564574457455,0,0.0,0.8862146450321041,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.996310247612625,0,0.0,0.8818567076149053,0,0.0
15.0,-0.04,16,0,2,0,16,0,4.0,0.25,5.4730410991530425,2,4.0,0.33308860549905545,2,4.0
20.0,-0.41000000000000003,16,0,10,0,16,0,45.0,2.8125,5.176154300149188,10,45.0,0.27521874154005727,10,45.0
25.0,-0.25999999999999995,16,0,6,0,16,0,58.0,3.625,3.9163489998553453,6,71.0,0.15029872134491537,6,71.0
30.0,-0.22999999999999998,18,0,8,2,20,0,94.0,5.222222222222222,6.8258352217236675,8,94.0,0.3172475173583955,8,94.0
35.0,0.05999999999999994,26,0,2,2,28,0,41.0,1.5769230769230769,9.768554509386188,2,88.0,0.6630889953096679,2,88.0
40.0,0.37,21,0,2,7,28,0,51.0,2.4285714285714284,9.740026013054935,2,51.0,0.6462239060584541,2,51.0
45.0,0.38,24,0,3,8,32,0,13.0,0.5416666666666666,8.613107457371711,3,13.0,0.5232628115434165,3,13.0
50.0,-0.33,19,0,9,13,32,0,46.0,2.4210526315789473,6.090681802891841,9,46.0,0.24596555519126329,9,46.0
55.0,-0.16999999999999998,21,0,6,15,36,0,52.0,2.4761904761904763,6.0375525163363974,6,63.0,0.29792868490333596,6,63.0
60.0,-0.24,17,0,7,19,36,0,87.0,5.117647058823529,7.581045146927869,7,87.0,0.34526409843633354,7,87.0
65.0,0.12,17,0,2,19,36,0,39.0,2.2941176470588234,6.254618732507194,2,75.0,0.1268305597620318,2,75.0
