step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.095564574457455,0,0.0,0.8862146450321041,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.996310247612625,0,0.0,0.8818567076149053,0,0.0
15.0,-0.04,14,0,2,0,14,0,4.0,0.2857142857142857,4.20240900506169,2,4.0,0.21873935939514136,2,4.0
20.0,-0.41000000000000003,16,0,10,0,16,0,45.0,2.8125,4.892130258165071,10,45.0,0.2535876577855416,10,45.0
25.0,-0.29,18,0,8,0,18,0,61.0,3.388888888888889,5.547947659003122,8,74.0,0.30708535352191374,8,74.0
30.0,-0.27,20,0,8,2,22,0,101.0,5.05,7.67184757952388,8,101.0,0.41388566786694103,8,101.0
35.0,0.010000000000000009,22,0,5,2,24,0,46.0,2.090909090909091,6.541175840206758,5,100.0,0.30847641476218735,5,100.0
40.0,0.33999999999999997,19,0,5,7,26,0,63.0,3.3157894736842106,7.292681925817576,5,66.0,0.3794655327496633,5,66.0
45.0,-0.17999999999999994,25,0,7,7,32,0,82.0,3.28,7.783946344243819,7,84.0,0.45125035586861223,7,84.0
50.0,-0.43000000000000005,21,0,9,11,32,0,125.0,5.9523809523809526,7.0307203403192675,9,127.0,0.37535531583513215,9,127.0
55.0,-0.1499999999999999,26,0,5,14,40,0,118.0,4.538461538461538,7.3408803476734255,5,142.0,0.4948923910626388,5,142.0
60.0,-0.09000000000000008,25,0,8,15,40,0,149.0,5.96,7.855850677536772,8,151.0,0.3963823440599449,8,151.0
65.0,0.61,24,0,8,18,42,0,78.0,3.25,5.807365228181108,8,90.0,0.17857782179524856,8,90.0
