step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.461847952132594,0,0.0,0.9071145709432756,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.98022142791686,0,0.0,0.8758026143711071,0,0.0
15.0,-0.1,12,0,5,0,12,0,10.0,0.8333333333333334,4.60760745910699,5,10.0,0.040817755608678404,5,10.0
20.0,-0.37,12,0,8,0,12,0,47.0,3.9166666666666665,4.327888437984184,8,47.0,9.729401549539216e-06,8,47.0
25.0,-0.4,9,0,8,3,12,0,87.0,9.666666666666666,1.3239016419534344,8,87.0,0.0,8,87.0
30.0,-0.4,8,0,8,4,12,0,127.0,15.875,0.0,8,127.0,0.0,8,127.0
35.0,-0.3999999999999999,12,0,8,4,16,0,167.0,13.916666666666666,4.95727451619673,8,167.0,0.3268131274773967,8,167.0
40.0,0.11999999999999988,12,0,6,4,16,0,155.0,12.916666666666666,4.358642798643586,6,155.0,0.23361159845959206,6,155.0
45.0,0.28,12,0,5,4,16,0,72.0,6.0,3.1671695692224766,5,127.0,0.028102496730553293,5,127.0
50.0,0.41000000000000003,12,0,4,4,16,0,86.0,7.166666666666667,7.935569933676007,4,86.0,0.0,4,86.0
55.0,-0.20000000000000007,10,0,4,6,16,0,106.0,10.6,8.294903911701253,4,106.0,0.0,4,106.0
60.0,-0.19999999999999996,7,0,4,9,16,0,126.0,18.0,5.713931271292887,4,126.0,0.0,4,126.0
65.0,-0.19999999999999996,8,0,4,12,20,0,146.0,18.25,7.308807477506608,4,146.0,0.4680234832097914,4,146.0
70.0,-0.19999999999999996,8,0,4,12,20,0,166.0,20.75,5.181916435143632,4,166.0,0.2521562629116518,4,166.0
75.0,-0.25,16,0,6,12,28,0,191.0,11.9375,8.723307524424474,6,191.0,0.5714322994160977,6,191.0
80.0,1.0299999999999998,15,0,4,13,28,0,88.0,5.866666666666666,8.349309538957057,4,88.0,0.6219927401593937,4,88.0
85.0,-0.20000000000000007,14,0,4,14,28,0,108.0,7.714285714285714,6.7359010586134,4,108.0,0.38029977871850346,4,108.0
90.0,0.81,14,0,4,14,28,0,10.0,0.7142857142857143,5.0845422038423225,4,27.0,0.09270668650139408,4,27.0
95.0,-0.07,16,0,5,16,32,0,34.0,2.125,9.356963231132953,5,34.0,0.423724021080764,5,34.0
100.0,-0.24999999999999994,15,0,5,17,32,0,59.0,3.933333333333333,8.917399977665623,5,59.0,0.29306628179084304,5,59.0
105.0,-0.28,9,0,7,23,32,0,87.0,9.666666666666666,3.2013143055221662,7,87.0,0.0002534071466019484,7,87.0
110.0,-0.35,9,0,7,23,32,0,122.0,13.555555555555555,3.2093481489105358,7,122.0,0.0,7,122.0
115.0,-0.3500000000000001,7,0,7,25,32,0,157.0,22.428571428571427,0.0,7,157.0,0.0,7,157.0
120.0,-0.34999999999999987,7,0,7,25,32,0,192.0,27.428571428571427,0.0,7,192.0,0.0,7,192.0
125.0,0.3699999999999999,11,0,5,25,36,0,155.0,14.090909090909092,6.221788719786942,5,155.0,0.41454084678665853,5,155.0
130.0,0.6100000000000001,11,0,3,25,36,0,94.0,8.545454545454545,6.618615540523348,3,94.0,0.43358966943706895,3,94.0
135.0,0.44999999999999996,11,0,3,25,36,0,49.0,4.454545454545454,7.543441240455682,3,49.0,0.1264914476331634,3,49.0
140.0,-0.15000000000000002,9,0,3,27,36,0,64.0,7.111111111111111,9.092423947786237,3,64.0,0.0,3,64.0
145.0,-0.15000000000000002,6,0,3,30,36,0,79.0,13.166666666666666,6.747617013347622,3,79.0,0.0,3,79.0
150.0,-0.1499999999999999,15,0,3,33,48,0,94.0,6.266666666666667,10.364923299573096,3,94.0,0.7493628946956293,3,94.0
155.0,-0.15000000000000013,15,0,3,33,48,0,109.0,7.266666666666667,10.191496198359399,3,109.0,0.7368252763726252,3,109.0
160.0,-0.16999999999999993,15,0,4,33,48,0,126.0,8.4,4.522965741645732,4,126.0,0.2608112645581181,4,126.0
165.0,0.38,15,0,8,33,48,0,88.0,5.866666666666666,3.518767707833759,8,88.0,0.0021781808533742567,8,88.0
170.0,-0.32999999999999996,15,0,8,33,48,0,121.0,8.066666666666666,5.40024034475212,8,121.0,7.792754550328383e-06,8,121.0
175.0,0.49,12,0,2,36,48,0,30.0,2.5,5.945342203616959,2,72.0,0.11363101556401405,2,72.0
180.0,0.31999999999999995,13,0,2,39,52,0,40.0,3.076923076923077,10.779271632491938,2,40.0,0.6666666666666666,2,40.0
185.0,-0.09999999999999998,12,0,2,40,52,0,50.0,4.166666666666667,10.675803419485973,2,50.0,0.6229503912460647,2,50.0
190.0,-0.09999999999999998,8,0,2,44,52,0,60.0,7.5,8.259500014899096,2,60.0,0.4985509419786904,2,60.0
195.0,-0.13,6,0,4,46,52,0,73.0,12.166666666666666,3.836484783464775,4,73.0,0.00023766487321454387,4,73.0
200.0,-0.20000000000000007,6,0,4,46,52,0,93.0,15.5,3.839511114995691,4,93.0,0.0,4,93.0
205.0,-0.19999999999999984,5,0,4,47,52,0,113.0,22.6,1.8712529914119618,4,113.0,0.0,4,113.0
210.0,0.7999999999999998,9,0,2,47,56,0,33.0,3.6666666666666665,8.830504142574783,2,33.0,0.6666666666666666,2,33.0
215.0,-0.09999999999999998,8,0,2,48,56,0,43.0,5.375,10.575127330962866,2,43.0,0.642861642982124,2,43.0
220.0,0.43,8,0,0,48,56,0,0.0,0.0,11.283176390053193,0,0.0,0.6560192383504483,0,0.0
225.0,-0.07,14,0,2,50,64,0,7.0,0.5,11.475208762321657,2,7.0,0.7554756548982453,2,7.0
230.0,-0.1,12,0,2,52,64,0,17.0,1.4166666666666667,11.265121675128453,2,17.0,0.765577288938543,2,17.0
235.0,-0.11000000000000001,10,0,3,54,64,0,28.0,2.8,2.978713906591436,3,28.0,0.016449753386900128,3,28.0
240.0,-0.39,14,0,8,54,68,0,67.0,4.785714285714286,6.190428032790834,8,67.0,0.33338924207266135,8,67.0
245.0,-0.4,12,0,8,56,68,0,107.0,8.916666666666666,4.665315153611579,8,107.0,0.31832712913777855,8,107.0
250.0,-0.3999999999999999,12,0,8,56,68,0,147.0,12.25,1.9453735139203632,8,147.0,0.1401412320445712,8,147.0
255.0,-0.13000000000000012,12,0,10,56,68,0,160.0,13.333333333333334,1.5652862393631188,10,160.0,3.473988894231459e-05,10,160.0
260.0,0.29000000000000004,12,0,6,56,68,0,83.0,6.916666666666667,3.2653671300749303,6,131.0,0.03697791391834575,6,131.0
265.0,0.4600000000000001,11,0,4,57,68,0,85.0,7.7272727272727275,7.538726091959975,4,85.0,0.0,4,85.0
270.0,-0.20000000000000007,14,0,4,58,72,0,105.0,7.5,9.622192940024034,4,105.0,0.4749734137658703,4,105.0
275.0,-0.19999999999999996,9,0,4,63,72,0,125.0,13.88888888888889,7.18348324917778,4,125.0,0.4782408385635216,4,125.0
280.0,-0.19999999999999996,8,0,4,64,72,0,145.0,18.125,4.820255519708514,4,145.0,0.18382730600086758,4,145.0
285.0,-0.25,8,0,6,64,72,0,170.0,21.25,3.2568591670926743,6,170.0,0.0010476715016439022,6,170.0
290.0,-0.30000000000000004,8,0,6,64,72,0,200.0,25.0,3.0900841691329566,6,200.0,0.0,6,200.0
295.0,0.8899999999999999,14,0,4,66,80,0,111.0,7.928571428571429,8.39823368035431,4,111.0,0.6666666666666666,4,111.0
300.0,-0.19999999999999996,18,0,4,66,84,0,131.0,7.277777777777778,10.2033063881155,4,131.0,0.7185814789908279,4,131.0
305.0,1.31,18,0,0,66,84,0,0.0,0.0,9.457418995918026,0,0.0,0.7422382029107725,0,0.0
310.0,-0.09,16,0,4,68,84,0,9.0,0.5625,7.286059277187988,4,9.0,0.13598130088424865,4,9.0
315.0,-0.35,16,0,8,68,84,0,44.0,2.75,6.399083303845075,8,44.0,0.0002450813147094275,8,44.0
320.0,-0.39999999999999997,10,0,8,74,84,0,84.0,8.4,2.5856703500184834,8,84.0,0.0,8,84.0
325.0,-0.4,8,0,8,76,84,0,124.0,15.5,0.0,8,124.0,0.0,8,124.0
330.0,-0.3999999999999999,12,0,8,76,88,0,164.0,13.666666666666666,4.523041553513349,8,164.0,0.3142002820864637,8,164.0
335.0,-0.40000000000000013,12,0,8,76,88,0,204.0,17.0,4.61007757410924,8,204.0,0.32093529403202875,8,204.0
340.0,0.21999999999999997,12,0,6,76,88,0,182.0,15.166666666666666,2.361280183286327,6,182.0,0.0983680470459484,6,182.0
345.0,0.27,12,0,8,76,88,0,155.0,12.916666666666666,2.496847873432442,8,155.0,0.0001649292535405737,8,155.0
350.0,0.42999999999999994,12,0,4,76,88,0,101.0,8.416666666666666,6.5040419493818895,4,112.0,0.14239335386705432,4,112.0
355.0,-0.08999999999999986,10,0,4,78,88,0,121.0,12.1,7.352960672601353,4,121.0,0.0,4,121.0
360.0,-0.19999999999999996,12,0,4,80,92,0,141.0,11.75,8.516589237556161,4,141.0,0.46138963323254245,4,141.0
365.0,-0.20000000000000018,8,0,4,84,92,0,161.0,20.125,6.755155644009998,4,161.0,0.4660008023593686,4,161.0
370.0,-0.19999999999999996,16,0,4,84,100,0,181.0,11.3125,8.030673329488675,4,181.0,0.577627930386942,4,181.0
375.0,-0.2799999999999998,16,0,6,84,100,0,209.0,13.0625,7.880205847499357,6,209.0,0.5365803606416435,6,209.0
380.0,1.15,16,0,4,84,100,0,94.0,5.875,4.886482192482445,4,94.0,0.31406097676295236,4,94.0
385.0,-0.41000000000000014,14,0,10,86,100,0,135.0,9.642857142857142,2.825450951851446,10,135.0,0.00022599994353223975,10,135.0
390.0,0.5200000000000001,18,0,4,86,104,0,34.0,1.8888888888888888,6.819386159897271,4,83.0,0.37319009946007803,4,83.0
395.0,0.2899999999999999,16,0,4,88,104,0,54.0,3.375,9.235713911987014,4,54.0,0.47771567956849037,4,54.0
400.0,-0.19999999999999996,14,0,4,90,104,0,74.0,5.285714285714286,7.18688214741382,4,74.0,0.2477472744569448,4,74.0
405.0,-0.30000000000000004,9,0,6,95,104,0,104.0,11.555555555555555,3.7209051047088977,6,104.0,1.61280545356463e-06,6,104.0
410.0,-0.30000000000000004,8,0,6,96,104,0,134.0,16.75,2.8551339129109774,6,134.0,0.0,6,134.0
415.0,-0.2999999999999998,6,0,6,98,104,0,164.0,27.333333333333332,0.0,6,164.0,0.0,6,164.0
420.0,-0.30000000000000004,10,0,6,98,108,0,194.0,19.4,5.0290905933060355,6,194.0,0.3877735785601155,6,194.0
425.0,0.5799999999999998,10,0,4,98,108,0,136.0,13.6,6.148392163349934,4,136.0,0.48742351201319556,4,136.0
430.0,-0.19999999999999996,10,0,4,98,108,0,156.0,15.6,3.926407817266609,4,156.0,0.10661102062063116,4,156.0
435.0,1.46,10,0,2,98,108,0,8.0,0.8,6.503235954505392,2,10.0,0.1546110142535478,2,10.0
440.0,-0.07999999999999999,8,0,2,100,108,0,18.0,2.25,9.5917344903046,2,18.0,0.0,2,18.0
445.0,-0.10000000000000003,16,0,2,100,116,0,28.0,1.75,11.54822501696861,2,28.0,0.7732382399132994,2,28.0
450.0,-0.09999999999999998,14,0,2,106,120,0,38.0,2.7142857142857144,10.992998895341417,2,38.0,0.8066620881534551,2,38.0
455.0,-0.14,14,0,6,106,120,0,52.0,3.7142857142857144,5.44997843396712,6,52.0,0.3400113323799592,6,52.0
460.0,-0.38,14,0,8,106,120,0,90.0,6.428571428571429,4.2136300169844585,8,90.0,0.06797945594035144,8,90.0
465.0,-0.4600000000000001,14,0,10,106,120,0,136.0,9.714285714285714,3.7161757816332726,10,136.0,0.00013522767753913233,10,136.0
470.0,-0.17999999999999994,11,0,8,109,120,0,154.0,14.0,2.7612748097143016,8,154.0,0.0,8,154.0
475.0,0.5,10,0,4,110,120,0,67.0,6.7,3.934000644648362,4,104.0,0.04217507759420656,4,104.0
480.0,0.53,13,0,2,111,124,0,51.0,3.923076923076923,10.232407542614274,2,51.0,0.6406210746277347,2,51.0
485.0,-0.09999999999999998,12,0,2,112,124,0,61.0,5.083333333333333,10.46005058491625,2,61.0,0.6492051656648821,2,61.0
490.0,-0.09999999999999998,9,0,2,115,124,0,71.0,7.888888888888889,7.07247487474397,2,71.0,0.0397714895340473,2,71.0
495.0,-0.17000000000000004,6,0,4,118,124,0,88.0,14.666666666666666,4.409730671140108,4,88.0,5.421286981774782e-06,4,88.0
500.0,-0.20000000000000007,5,0,4,119,124,0,108.0,21.6,2.4684877866775916,4,108.0,0.0,4,108.0
505.0,-0.19999999999999996,4,0,4,120,124,0,128.0,32.0,0.0,4,128.0,0.0,4,128.0
510.0,0.91,8,0,2,120,128,0,37.0,4.625,7.725527620985,2,37.0,0.6419329033055263,2,37.0
515.0,-0.09999999999999998,8,0,2,120,128,0,47.0,5.875,9.896604926947301,2,47.0,0.6101092985259811,2,47.0
520.0,0.47,16,0,0,120,136,0,0.0,0.0,10.708859076763044,0,0.0,0.7611739352621976,0,0.0
525.0,-0.09,14,0,2,122,136,0,9.0,0.6428571428571429,10.026021341271095,2,9.0,0.6049183622274077,2,9.0
530.0,-0.21,14,0,7,122,136,0,30.0,2.142857142857143,5.8691959996804695,7,30.0,0.005064853959542088,7,30.0
535.0,-0.39999999999999997,10,0,8,126,136,0,70.0,7.0,2.7738338718663083,8,70.0,0.0,8,70.0
540.0,-0.40000000000000013,12,0,8,128,140,0,110.0,9.166666666666666,4.111649951585945,8,110.0,0.3187742810150298,8,110.0
545.0,-0.3999999999999999,12,0,8,128,140,0,150.0,12.5,3.938732732744205,8,150.0,0.306795164075995,8,150.0
550.0,-0.41999999999999993,12,0,9,128,140,0,192.0,16.0,1.9528597256155906,9,192.0,0.00493234824913552,9,192.0
555.0,0.010000000000000009,12,0,8,128,140,0,191.0,15.916666666666666,3.329913401070964,8,191.0,6.311009612238253e-06,8,191.0
560.0,0.3899999999999999,12,0,6,128,140,0,152.0,12.666666666666666,4.375449264381587,6,152.0,0.0,6,152.0
565.0,0.55,10,0,2,130,140,0,73.0,7.3,7.696324178376318,2,97.0,0.21816166858170521,2,97.0
570.0,0.14,12,0,2,132,144,0,83.0,6.916666666666667,11.16704402619441,2,83.0,0.6286837989991821,2,83.0
575.0,-0.10000000000000009,8,0,2,136,144,0,93.0,11.625,9.70715589341674,2,93.0,0.6251334786247286,2,93.0
580.0,-0.12,6,0,4,138,144,0,105.0,17.5,4.274393330449116,4,105.0,0.0017564446336704581,4,105.0
585.0,-0.19999999999999996,6,0,4,138,144,0,125.0,20.833333333333332,4.133177147457892,4,125.0,2.258584388184599e-06,4,125.0
590.0,-0.19999999999999996,13,0,4,139,152,0,145.0,11.153846153846153,8.919153570041637,4,145.0,0.6283640651654472,4,145.0
595.0,1.13,12,0,2,140,152,0,32.0,2.6666666666666665,9.083589399274612,2,32.0,0.7598967714452523,2,32.0
600.0,-0.09999999999999998,16,0,2,140,156,0,42.0,2.625,7.765999040836236,2,42.0,0.5399586441364754,2,42.0
605.0,0.26,16,0,4,140,156,0,12.0,0.75,7.398289587051606,4,16.0,0.4143656294200522,4,16.0
610.0,-0.17,14,0,5,142,156,0,33.0,2.357142857142857,6.931191836500283,5,33.0,0.0078252396994952,5,33.0
615.0,-0.29,12,0,6,144,156,0,62.0,5.166666666666667,7.032713496138015,6,62.0,0.0,6,62.0
620.0,-0.30000000000000004,8,0,6,148,156,0,92.0,11.5,3.2609999465624617,6,92.0,0.0,6,92.0
625.0,-0.29999999999999993,6,0,6,150,156,0,122.0,20.333333333333332,0.0,6,122.0,0.0,6,122.0
