step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.179271272940525,0,0.0,0.8734547197733996,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.589894806213868,0,0.0,0.834554851910671,0,0.0
15.0,-0.06,16,0,3,0,16,0,6.0,0.375,7.401501524137121,3,6.0,0.39944521849331865,3,6.0
20.0,-0.36,16,0,8,0,16,0,42.0,2.625,6.656280039536682,8,42.0,0.32150880985164815,8,42.0
25.0,-0.39999999999999997,14,0,8,2,16,0,82.0,5.857142857142857,3.907832739047794,8,82.0,0.192077023120897,8,82.0
30.0,-0.4800000000000001,16,0,10,4,20,0,130.0,8.125,5.1948497849080635,10,130.0,0.2725497207779759,10,130.0
35.0,-0.5,24,0,10,4,28,0,180.0,7.5,7.340979469840213,10,180.0,0.49550822285839796,10,180.0
40.0,-0.020000000000000018,22,0,11,6,28,0,182.0,8.272727272727273,5.6543776736928955,11,182.0,0.3953002703305125,11,182.0
45.0,0.040000000000000036,26,0,8,6,32,0,124.0,4.769230769230769,4.706788075986859,8,178.0,0.28146421711361813,8,178.0
50.0,0.44999999999999996,25,0,10,7,32,0,114.0,4.56,4.288661656354256,10,133.0,0.14104809033939403,10,133.0
55.0,-0.34999999999999987,28,0,12,8,36,0,168.0,6.0,7.2636579129355185,12,168.0,0.2805895234798753,12,168.0
60.0,-0.5999999999999999,25,0,12,11,36,0,228.0,9.12,6.672112453717707,12,228.0,0.2347562206518412,12,228.0
65.0,-0.6100000000000003,19,0,13,17,36,0,289.0,15.210526315789474,3.4048658828568783,13,289.0,0.12702559738530697,13,289.0
70.0,-0.6999999999999997,28,0,14,20,48,0,359.0,12.821428571428571,6.2174810609951905,14,359.0,0.41222078638870197,14,359.0
75.0,-0.7000000000000002,28,0,14,20,48,0,429.0,15.321428571428571,4.656017888188158,14,429.0,0.29847232009118435,14,429.0
80.0,0.43000000000000016,30,0,18,22,52,0,322.0,10.733333333333333,2.863451824943087,18,386.0,0.1704976802084731,18,386.0
85.0,-0.2100000000000004,30,0,19,22,52,0,407.0,13.566666666666666,4.543872759297577,19,407.0,0.16823951792364952,19,407.0
90.0,0.9600000000000004,29,0,13,23,52,0,192.0,6.620689655172414,4.4402880145368435,13,311.0,0.0744923979089438,13,311.0
95.0,0.7199999999999998,31,0,9,25,56,0,178.0,5.741935483870968,7.576866286615132,9,239.0,0.31277810274727147,9,239.0
100.0,0.13000000000000034,35,0,9,29,64,0,223.0,6.371428571428571,9.838688943803607,9,226.0,0.53820275862208,9,226.0
105.0,-0.4500000000000002,28,0,11,36,64,0,271.0,9.678571428571429,8.01674276698442,11,271.0,0.3867980789140387,11,271.0
110.0,-0.5899999999999999,27,0,13,41,68,0,330.0,12.222222222222221,4.870843437606983,13,330.0,0.19177893523424133,13,330.0
