step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.461847952132594,0,0.0,0.9071145709432756,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.98022142791686,0,0.0,0.8758026143711071,0,0.0
15.0,-0.1,14,0,5,0,14,0,10.0,0.7142857142857143,5.932906196578051,5,10.0,0.22078085482623694,5,10.0
20.0,-0.37,16,0,8,0,16,0,47.0,2.9375,6.81987021707687,8,47.0,0.314089401274008,8,47.0
25.0,-0.4,15,0,8,3,18,0,87.0,5.8,6.819036451235803,8,87.0,0.32813304108430436,8,87.0
30.0,-0.41000000000000003,18,0,9,4,22,0,128.0,7.111111111111111,6.273390867948452,9,128.0,0.36737880777970267,9,128.0
35.0,-0.5,18,0,10,6,24,0,178.0,9.88888888888889,5.584619595005209,10,178.0,0.3212485109462624,10,178.0
40.0,-0.020000000000000018,20,0,9,6,26,0,180.0,9.0,5.794308422011246,9,180.0,0.26605140464082316,9,180.0
45.0,0.17999999999999994,24,0,6,8,32,0,107.0,4.458333333333333,7.013195773447816,6,162.0,0.4158625799854422,6,162.0
50.0,0.56,23,0,6,9,32,0,106.0,4.608695652173913,8.343798032810852,6,106.0,0.4216489163236403,6,106.0
55.0,-0.34999999999999987,29,0,9,11,40,0,141.0,4.862068965517241,8.864427401879478,9,141.0,0.43079522803267134,9,141.0
60.0,-0.49,25,0,10,15,40,0,190.0,7.6,6.759046690917935,10,190.0,0.3042954611210089,10,190.0
65.0,-0.6099999999999999,22,0,16,20,42,0,251.0,11.409090909090908,3.4206046179776224,16,251.0,0.14741305215396486,16,251.0
70.0,-0.8000000000000003,22,0,16,22,44,0,331.0,15.045454545454545,3.0688232405928813,16,331.0,0.1592241178531886,16,331.0
75.0,-0.8699999999999997,27,0,18,23,50,0,418.0,15.481481481481481,4.245291666783409,18,418.0,0.3006752861560627,18,418.0
80.0,0.44999999999999973,26,0,14,24,50,0,325.0,12.5,3.1949976613341042,14,373.0,0.24303909455675957,14,373.0
85.0,-0.3400000000000003,28,0,19,24,52,0,407.0,14.535714285714286,3.496418807877047,19,407.0,0.16125945179674542,19,407.0
90.0,0.9700000000000002,34,0,13,24,58,0,186.0,5.470588235294118,4.92456181813691,13,310.0,0.2354515271295498,13,310.0
95.0,0.75,33,0,7,27,60,0,103.0,3.121212121212121,7.353046842699458,7,235.0,0.37521124338807893,7,235.0
100.0,0.6300000000000001,35,0,10,29,64,0,137.0,3.914285714285714,7.855550664495783,10,172.0,0.34167690113799376,10,172.0
105.0,-0.25,33,0,12,35,68,0,197.0,5.96969696969697,8.52835106583299,12,197.0,0.4267134350048506,12,197.0
110.0,-0.5999999999999999,29,0,12,39,68,0,257.0,8.862068965517242,6.845441586414034,12,257.0,0.2967825012334706,12,257.0
115.0,-0.6600000000000001,26,0,14,44,70,0,323.0,12.423076923076923,5.2466100966905165,14,323.0,0.12742512827851324,14,323.0
120.0,-0.7899999999999996,22,0,16,48,70,0,402.0,18.272727272727273,3.7279042648158547,16,402.0,0.1063562704990511,16,402.0
125.0,1.1699999999999995,26,0,11,52,78,0,263.0,10.115384615384615,5.274110414409425,11,285.0,0.36323022558465146,11,285.0
130.0,0.5700000000000003,30,0,10,52,82,0,228.0,7.6,7.432719063609525,10,228.0,0.500780662097763,10,228.0
135.0,0.3799999999999999,31,0,4,53,84,0,94.0,3.032258064516129,7.677776516205876,4,190.0,0.46745043898328836,4,190.0
140.0,0.6299999999999999,31,0,9,55,86,0,127.0,4.096774193548387,7.619268156695302,9,127.0,0.310886791589404,9,127.0
145.0,-0.6199999999999999,27,0,14,61,88,0,189.0,7.0,6.332028021232077,14,189.0,0.2162265664053941,14,189.0
150.0,-0.7,27,0,14,65,92,0,259.0,9.592592592592593,6.164350346661069,14,259.0,0.2762903756198248,14,259.0
155.0,-0.71,25,0,15,69,94,0,330.0,13.2,4.730431368068776,15,330.0,0.25743606712315875,15,330.0
160.0,-0.8200000000000003,25,0,18,71,96,0,412.0,16.48,2.436545531511469,18,412.0,0.1567050646813559,18,412.0
165.0,0.31000000000000005,26,0,20,72,98,0,381.0,14.653846153846153,2.0062351981800757,20,381.0,0.1580116935703656,20,381.0
170.0,-0.43000000000000016,26,0,19,72,98,0,424.0,16.307692307692307,2.057991700056806,19,424.0,0.06131983224074435,19,424.0
175.0,0.009999999999999787,38,0,16,72,110,0,279.0,7.342105263157895,5.787899518595004,16,423.0,0.36227694747408967,16,423.0
180.0,0.9400000000000004,36,0,6,74,110,0,143.0,3.9722222222222223,7.136915456538272,6,329.0,0.43191161197077266,6,329.0
185.0,1.0699999999999998,36,0,10,76,112,0,179.0,4.972222222222222,6.680033696467283,10,222.0,0.2824941395094028,10,222.0
190.0,-0.22999999999999998,31,0,14,81,112,0,245.0,7.903225806451613,6.633791126038297,14,245.0,0.22967203276926357,14,245.0
195.0,-0.6999999999999997,30,0,14,86,116,0,315.0,10.5,6.595776453775935,14,315.0,0.21545841665645055,14,315.0
200.0,-0.7000000000000002,30,0,14,90,120,0,385.0,12.833333333333334,5.9643508933960225,14,385.0,0.2896036921486099,14,385.0
205.0,-0.7799999999999998,28,0,16,94,122,0,463.0,16.535714285714285,5.41314314386946,16,463.0,0.2890611080274202,16,463.0
210.0,0.6699999999999999,26,0,11,98,124,0,255.0,9.807692307692308,3.8678933511229476,11,396.0,0.23371380851891158,11,396.0
215.0,0.33000000000000007,31,0,15,99,130,0,317.0,10.225806451612904,5.158539799270896,15,363.0,0.2889518201913361,15,363.0
220.0,0.9199999999999999,31,0,11,99,130,0,127.0,4.096774193548387,5.6905562900378985,11,271.0,0.2820474360871669,11,271.0
225.0,0.3900000000000001,35,0,13,103,138,0,185.0,5.285714285714286,6.970086577699121,13,232.0,0.35253541423876855,13,232.0
230.0,-0.7400000000000002,35,0,15,103,138,0,260.0,7.428571428571429,7.102301252576835,15,306.0,0.2913035011072043,15,306.0
235.0,-0.7999999999999998,31,0,17,109,140,0,340.0,10.96774193548387,4.062814848802283,17,386.0,0.15729154239867407,17,386.0
240.0,-1.0299999999999998,25,0,21,115,140,0,443.0,17.72,1.6918341616363255,21,489.0,0.06446649429727647,21,489.0
245.0,-1.1000000000000005,29,0,23,115,144,0,553.0,19.06896551724138,2.6462589801278664,23,599.0,0.14038239721296467,23,599.0
250.0,-1.1499999999999995,32,0,23,116,148,0,668.0,20.875,3.627659215589386,23,714.0,0.2357800492422212,23,714.0
255.0,0.8399999999999999,33,0,21,117,150,0,584.0,17.696969696969695,2.767482018989863,21,630.0,0.14457507006336076,21,630.0
260.0,-0.20999999999999996,39,0,23,117,156,0,516.0,13.23076923076923,4.037989682506473,23,651.0,0.21826716013774794,23,651.0
265.0,0.75,40,0,15,118,158,0,329.0,8.225,5.576952716683016,15,576.0,0.2964473972334421,15,576.0
270.0,0.8099999999999996,37,0,13,121,158,0,347.0,9.378378378378379,5.622426138011027,13,495.0,0.20426318566513518,13,495.0
275.0,0.07000000000000028,41,0,16,123,164,0,422.0,10.292682926829269,7.227231666136515,16,488.0,0.33883730431815495,16,488.0
280.0,-0.6000000000000005,36,0,16,130,166,0,502.0,13.944444444444445,7.196636410904272,16,548.0,0.3124964599105582,16,548.0
285.0,-0.8499999999999996,33,0,18,135,168,0,587.0,17.78787878787879,5.731770055305558,18,633.0,0.18464249274941064,18,633.0
290.0,-0.9699999999999998,29,0,20,139,168,0,684.0,23.586206896551722,4.003483618438034,20,730.0,0.08584768862007865,20,730.0
295.0,1.0999999999999996,28,0,16,144,172,0,465.0,16.607142857142858,3.4024985864587394,16,620.0,0.18214181634251814,16,620.0
300.0,2.1000000000000005,34,0,12,146,180,0,305.0,8.970588235294118,7.058967050592408,12,410.0,0.4500064775576468,12,410.0
305.0,1.1599999999999997,36,0,5,146,182,0,92.0,2.5555555555555554,6.473344450897522,5,294.0,0.3589142945784329,5,294.0
310.0,0.43000000000000016,34,0,15,148,182,0,146.0,4.294117647058823,5.7664321551238285,15,251.0,0.1753280960096544,15,251.0
315.0,-0.8000000000000003,34,0,18,152,186,0,226.0,6.647058823529412,6.020133951516509,18,331.0,0.17262062901607203,18,331.0
320.0,-0.8999999999999999,29,0,18,157,186,0,316.0,10.89655172413793,4.7635547015629465,18,421.0,0.1730296922240918,18,421.0
325.0,-0.9100000000000001,30,0,19,162,192,0,407.0,13.566666666666666,4.221163173336657,19,512.0,0.21875867928994294,19,512.0
330.0,-0.9900000000000002,30,0,20,164,194,0,506.0,16.866666666666667,3.7838212124035095,20,611.0,0.22709926636104813,20,611.0
335.0,-1.0699999999999994,30,0,24,166,196,0,613.0,20.433333333333334,1.80468507038924,24,718.0,0.1294987273097356,24,718.0
340.0,0.71,34,0,22,166,200,0,542.0,15.941176470588236,3.366245772026521,22,647.0,0.20431298224648878,22,647.0
345.0,-0.2400000000000002,36,0,24,166,202,0,566.0,15.722222222222221,3.675116055757357,24,671.0,0.1891649616349894,24,671.0
350.0,-0.09999999999999964,42,0,14,166,208,0,358.0,8.523809523809524,5.556649043178249,14,681.0,0.30898562160630455,14,681.0
355.0,1.25,40,0,14,170,210,0,370.0,9.25,5.7281378271022465,14,556.0,0.25459119984816797,14,556.0
360.0,-0.1200000000000001,38,0,17,172,210,0,445.0,11.710526315789474,6.3081334777215,17,568.0,0.21702415827862523,17,568.0
365.0,-0.7200000000000006,36,0,18,178,214,0,535.0,14.86111111111111,6.273307883952199,18,640.0,0.23383085540087123,18,640.0
370.0,-0.8999999999999995,31,0,18,183,214,0,625.0,20.161290322580644,5.124323145347344,18,730.0,0.1766825985968365,18,730.0
375.0,-0.910000000000001,33,0,19,187,220,0,716.0,21.696969696969695,4.930460966118579,19,821.0,0.2792806456655664,19,821.0
380.0,1.2800000000000011,31,0,18,191,222,0,664.0,21.419354838709676,3.797998253756768,18,693.0,0.22754422400090624,18,693.0
385.0,1.0999999999999996,36,0,10,192,228,0,291.0,8.083333333333334,6.223590655276823,10,583.0,0.37712649482406335,10,583.0
390.0,1.8599999999999999,36,0,10,192,228,0,117.0,3.25,5.887290243090263,10,397.0,0.25978817577893376,10,397.0
395.0,0.79,34,0,12,196,230,0,137.0,4.029411764705882,5.899248487349582,12,318.0,0.22502208195999707,12,318.0
400.0,-0.41999999999999993,36,0,16,200,236,0,212.0,5.888888888888889,7.373750968126927,16,360.0,0.30865227358203623,16,360.0
405.0,-0.8000000000000003,34,0,16,204,238,0,292.0,8.588235294117647,5.442775899240517,16,440.0,0.22110708001131785,16,440.0
410.0,-0.9699999999999998,28,0,22,210,238,0,389.0,13.892857142857142,2.775700286443579,22,537.0,0.07659147024466192,22,537.0
415.0,-1.0999999999999996,30,0,22,212,242,0,499.0,16.633333333333333,2.790324073875465,22,647.0,0.14481525188086555,22,647.0
420.0,-1.1900000000000004,29,0,24,213,242,0,618.0,21.310344827586206,2.2435272473390775,24,766.0,0.1374363358700024,24,766.0
425.0,0.27000000000000046,38,0,21,214,252,0,538.0,14.157894736842104,4.505064639961796,21,739.0,0.32404675572008534,21,739.0
430.0,-0.6399999999999997,38,0,25,214,252,0,655.0,17.236842105263158,3.6107951945387473,25,803.0,0.19135361274156137,25,803.0
435.0,0.6099999999999994,42,0,20,214,256,0,417.0,9.928571428571429,4.584380239885481,20,742.0,0.22094495528238633,20,742.0
440.0,0.6899999999999995,39,0,16,217,256,0,413.0,10.58974358974359,4.940398932722841,16,673.0,0.18787227568318193,16,673.0
445.0,0.03000000000000025,41,2,18,219,260,0,497.0,12.121951219512194,6.895732265513789,18,670.0,0.2905850071747963,18,670.0
450.0,-0.6499999999999995,39,0,18,225,264,0,587.0,15.051282051282051,7.065076514953268,18,735.0,0.28445597239275244,18,735.0
455.0,-0.9100000000000001,36,0,19,230,266,0,678.0,18.833333333333332,5.923663025946877,19,826.0,0.2562472997696688,19,826.0
460.0,-0.9900000000000002,31,0,20,235,266,0,777.0,25.06451612903226,4.025785303972925,20,925.0,0.08550847417653534,20,925.0
465.0,-1.0899999999999999,29,0,22,239,268,0,886.0,30.551724137931036,3.2332610874199874,22,1034.0,0.11641163393312678,22,1034.0
470.0,3.62,36,0,13,242,278,0,321.0,8.916666666666666,6.041729104544357,13,672.0,0.4047112068985093,13,672.0
475.0,1.1799999999999997,37,0,8,243,280,0,174.0,4.702702702702703,6.4233765351758825,8,554.0,0.42648112886267564,8,554.0
480.0,0.9500000000000002,36,0,12,244,280,0,122.0,3.388888888888889,5.088500760975695,12,459.0,0.21388811567981808,12,459.0
485.0,-0.4800000000000004,34,0,18,248,282,0,202.0,5.9411764705882355,5.59167937161778,18,507.0,0.16608766020775775,18,507.0
490.0,-0.9699999999999998,32,0,20,252,284,0,299.0,9.34375,4.927861629160517,20,604.0,0.15670264417715787,20,604.0
495.0,-1.0,32,0,20,256,288,0,399.0,12.46875,4.721772364428089,20,704.0,0.18616070954555594,20,704.0
500.0,-1.0599999999999996,30,0,22,260,290,0,505.0,16.833333333333332,3.6997767037067972,22,810.0,0.19722582382948373,22,810.0
505.0,-1.0999999999999996,30,0,22,262,292,0,615.0,20.5,1.136044916077579,22,920.0,0.0796051875494818,22,920.0
510.0,0.10999999999999943,36,0,24,262,298,0,545.0,15.13888888888889,3.4744041134820365,24,909.0,0.23673583790615257,24,909.0
515.0,-0.6400000000000006,36,0,26,262,298,0,668.0,18.555555555555557,2.8413058339948005,26,973.0,0.116525747766989,26,973.0
520.0,0.3600000000000012,44,0,20,262,306,0,510.0,11.590909090909092,4.879852809693165,20,937.0,0.2863601369584836,20,937.0
525.0,0.3699999999999992,41,0,17,265,306,0,498.0,12.146341463414634,4.667249927212574,17,900.0,0.2006704482879276,17,900.0
530.0,-0.22000000000000064,42,0,19,266,308,0,587.0,13.976190476190476,5.3800444142503405,19,922.0,0.18979176570624903,19,922.0
535.0,-0.7400000000000002,40,0,21,270,310,0,691.0,17.275,6.073880082022446,21,996.0,0.17742935916585895,21,996.0
540.0,-1.049999999999999,34,0,21,278,312,0,796.0,23.41176470588235,5.081586024648008,21,1101.0,0.15223290214640445,21,1101.0
545.0,-1.0500000000000007,35,0,21,281,316,0,901.0,25.742857142857144,4.455457416550108,21,1206.0,0.20308913522568361,21,1206.0
550.0,-1.129999999999999,31,0,23,287,318,0,1014.0,32.70967741935484,3.213434750224423,23,1319.0,0.19407179451001982,23,1319.0
555.0,1.92,37,0,17,287,324,0,511.0,13.81081081081081,4.61369553663409,17,1127.0,0.28870732546282374,17,1127.0
560.0,2.7799999999999994,37,0,11,289,326,0,245.0,6.621621621621622,4.402689685418559,11,849.0,0.2452111756827856,11,849.0
565.0,0.10999999999999943,37,0,16,289,326,0,138.0,3.72972972972973,3.9564079075756378,16,838.0,0.12338580263074304,16,838.0
570.0,0.010000000000001563,41,0,20,293,334,0,232.0,5.658536585365853,6.2175816777351,20,837.0,0.2915243531908452,20,837.0
575.0,-1.040000000000001,37,0,21,297,334,0,337.0,9.108108108108109,5.532757557208199,21,941.0,0.243818359997925,21,941.0
580.0,-1.1099999999999994,35,0,25,301,336,0,448.0,12.8,3.005896263806177,25,1052.0,0.12486946636308284,25,1052.0
585.0,-1.3399999999999999,31,0,27,305,336,0,582.0,18.774193548387096,1.1588667877382404,27,1186.0,0.024016755606051904,27,1186.0
590.0,-1.42,35,0,29,305,340,0,724.0,20.685714285714287,2.264397156539353,29,1328.0,0.11404793064389476,29,1328.0
595.0,-0.02000000000000135,41,0,27,307,348,0,726.0,17.70731707317073,3.3250173715407527,27,1330.0,0.2445367497309409,27,1330.0
