#{"t_start": 1788081436.7881815, "env_id": "None"}
r,l,t
-51.24,360,21.150368
-29.41,360,34.569091
-43.32,360,47.731768
-25.03,360,65.175578
-13.05,360,91.112818
-1.68,360,115.804594
-1.13,360,135.205701
-10.63,360,157.266141
-7.09,360,179.128666
-4.25,360,199.93484
-2.13,360,218.308032
-3.65,360,236.221439
-3.91,360,253.053941
-2.52,360,270.063327
-5.8,360,287.905602
-4.16,360,306.076264
-5.24,360,322.299662
-3.17,360,340.277155
-2.33,360,359.885472
-4.27,360,378.315187
-5.54,360,394.57537
-2.31,360,411.80693
-2.45,360,429.555656
-2.05,360,445.690574
-2.97,360,463.084407
-2.59,360,480.520115
-1.04,360,496.238109
-0.95,360,513.004401
-3.76,360,531.210148
-1.29,360,545.614253
-1.63,360,559.756885
-1.64,360,576.513216
-0.93,360,592.371293
-3.6,360,607.436609
-3.23,360,624.67364
-2.51,360,641.973326
-0.9,360,658.90144
-1.64,360,673.746761
-2.08,360,690.402251
-1.1,360,706.394225
-2.8,360,721.290013
-1.51,360,737.194741
-1.98,360,750.435883
-3.11,360,766.908124
-2.1,360,784.200855
-1.58,360,801.424909
-1.69,360,818.262522
-2.24,360,832.705806
-2.45,360,848.984505
-1.0,360,864.944993
-3.0,360,880.787549
-1.01,360,897.812586
-1.44,360,914.943156
-1.04,360,930.135114
-1.77,360,946.438344
-2.64,360,962.300605
-2.89,360,979.265604
-1.27,360,994.482446
-1.11,360,1010.763113
-0.93,360,1027.407571
-0.88,360,1042.958715
-1.62,360,1059.984509
-1.73,360,1076.373526
-1.07,360,1090.470058
-1.63,360,1107.522428
-1.05,360,1124.529974
-1.92,360,1141.739609
-1.76,360,1156.269788
-1.77,360,1173.208621
-0.72,360,1189.734525
-1.25,360,1203.817704
-1.15,360,1220.534302
-2.35,360,1237.458904
-1.85,360,1254.429936
-1.11,360,1269.563071
-0.88,360,1285.240054
-1.76,360,1300.696089
-0.89,360,1307.551277
-2.03,360,1314.857605
-1.58,360,1322.109378
-3.06,360,1328.794631
-1.19,360,1336.07364
-1.46,360,1343.229955
-1.5,360,1350.337449
-1.89,360,1356.95193
-1.1,360,1364.32404
-1.28,360,1371.407187
-1.18,360,1377.929361
-2.28,360,1386.196048
-2.02,360,1402.852819
-0.6,360,1415.75686
-1.49,360,1427.335542
-1.27,360,1444.341603
-1.59,360,1459.66715
-1.32,360,1473.185495
-1.81,360,1489.231265
-1.49,360,1505.248535
-0.89,360,1519.381306
-0.92,360,1534.209108
-1.41,360,1548.058887
-1.35,360,1561.997323
-1.01,360,1574.552078
-0.84,360,1589.539829
-1.21,360,1603.294213
-1.05,360,1617.548379
-0.97,360,1624.944581
-0.56,360,1634.825748
-1.43,360,1647.529227
-0.84,360,1667.735825
-1.76,360,1681.438861
-0.64,360,1695.375956
-1.48,360,1708.342761
-0.42,360,1722.862339
-0.73,360,1739.888885
-0.76,360,1751.440431
-0.73,360,1764.3384
-1.15,360,1776.887075
-1.13,360,1788.584242
-1.44,360,1801.653549
-0.69,360,1814.227049
-1.28,360,1827.457866
-0.69,360,1838.855792
-1.02,360,1851.686645
-1.17,360,1864.499343
-0.8,360,1876.143416
-1.21,360,1889.78725
-1.43,360,1901.532766
-0.71,360,1912.787895
-0.91,360,1925.825481
-0.51,360,1938.282066
-1.52,360,1950.88936
-0.9,360,1962.904822
-1.67,360,1975.728148
-0.64,360,1989.092597
-1.37,360,1999.690954
-0.89,360,2012.500151
-1.66,360,2024.919732
-1.29,360,2037.570228
-1.71,360,2049.281848
-1.18,360,2062.095551
-2.06,360,2075.194667
-1.11,360,2086.276071
-1.67,360,2099.780767
-0.72,360,2112.989455
-1.28,360,2125.355084
-3.08,360,2138.490639
-0.85,360,2150.919822
-0.72,360,2163.138738
-0.71,360,2174.435563
-0.8,360,2187.283904
-1.09,360,2199.994802
-0.67,360,2211.822988
-1.11,360,2225.541406
-0.83,360,2238.085966
-0.73,360,2250.013281
-0.93,360,2263.219529
-1.25,360,2275.745099
-0.94,360,2288.488261
-1.82,360,2300.174214
-1.6,360,2313.293086
-1.65,360,2326.45768
-2.69,360,2338.731889
-0.72,360,2351.959356
-1.27,360,2364.681185
-0.91,360,2377.788991
-0.81,360,2389.266112
-1.14,360,2401.65898
