method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,scenario
dqn_v1,401,3600,721,3600.0,-67.75,770.0540915395285,4831.0,11.072786237227193,51.94623655913978,30.528432732316226,80.0,4.582464311070795,14.260205216659052,2123.0,2018.0,0.0,2018.0,burst
dqn_v1,402,3600,721,3600.0,-63.37,708.0388349514564,3692.0,10.516511084267238,45.0,30.26490984743412,78.0,4.736366448690886,13.918878993117568,2097.0,1999.0,0.0,1999.0,burst
dqn_v1,403,3600,721,3600.0,-67.42000000000002,744.6823855755895,4144.0,11.073970240347661,44.55913978494624,31.156726768377254,78.0,4.455226895655999,13.242623072451494,2093.0,1997.0,0.0,1997.0,burst
dqn_v1,404,3600,721,3600.0,-59.17999999999999,790.1955617198336,4592.0,11.728801070263138,48.2,31.36754507628294,77.0,4.459258576427289,14.159146407721533,2099.0,2001.0,0.0,2000.9999999999998,burst
dqn_v1,405,3600,721,3600.0,-55.36999999999999,718.8113730929265,4571.0,10.620450815465494,48.935483870967744,29.865464632454923,78.0,4.708158331474443,13.790241857239144,2122.0,2022.0,0.0,2022.0,burst
dqn_v1,401,3600,721,3600.0,-0.9299999999999963,105.30097087378641,473.0,4.389370317458494,18.92,6.801664355062413,17.0,7.249700848091276,12.53286359595153,2080.0,2062.0,0.0,2062.0,direction_switch
dqn_v1,402,3600,721,3600.0,-0.5199999999999934,109.7239944521498,565.0,4.443743104316429,24.15,7.295423023578364,20.0,7.059611340643923,12.509604442655872,2080.0,2066.0,0.0,2066.0,direction_switch
dqn_v1,403,3600,721,3600.0,-1.0199999999999956,100.81553398058253,562.0,4.217570411855617,19.33333333333333,6.729542302357836,20.0,7.290891977962862,12.395004047842551,2080.0,2059.0,0.0,2059.0,direction_switch
dqn_v1,404,3600,721,3600.0,-0.779999999999997,100.68654646324549,544.0,4.17220417963953,18.133333333333333,6.764216366158114,19.0,7.200381497696079,13.714646753253804,2080.0,2063.0,0.0,2063.0,direction_switch
dqn_v1,405,3600,721,3600.0,-1.6899999999999948,101.40499306518724,492.0,4.3243065783931725,17.571428571428573,6.477115117891817,17.0,7.3768847034013705,12.232480512681372,2080.0,2058.0,0.0,2058.0,direction_switch
dqn_v1,401,3600,721,3600.0,-1.6499999999999944,79.45492371705964,226.0,3.3697417860139267,9.416666666666666,6.689320388349515,15.0,7.207378742960069,12.53286359595153,2056.0,2033.0,0.0,2033.0,unseen_mixed
dqn_v1,402,3600,721,3600.0,-1.5599999999999947,77.44382801664355,207.0,3.305530469158588,10.35,6.565880721220527,15.0,7.253166236227648,12.509604442655872,2056.0,2036.0,0.0,2036.0000000000002,unseen_mixed
dqn_v1,403,3600,721,3600.0,-0.8699999999999932,83.78363384188627,255.0,3.534824992422999,10.4,6.764216366158114,15.0,7.174455795579568,12.395004047842551,2056.0,2037.0,0.0,2036.9999999999998,unseen_mixed
dqn_v1,404,3600,721,3600.0,-0.14999999999999347,75.9251040221914,211.0,3.2842453268216643,11.38888888888889,6.3509015256588075,14.0,7.358139850986002,13.714646753253804,2056.0,2039.0,0.0,2039.0000000000002,unseen_mixed
dqn_v1,405,3600,721,3600.0,-0.8199999999999932,73.80998613037448,206.0,3.220055247236502,10.2,6.3065187239944525,14.0,7.403947245320805,12.232480512681372,2056.0,2040.0,0.0,2040.0,unseen_mixed
fixed,401,3600,721,3600.0,-211.6,1667.2676837725382,3599.0,19.699294396251638,40.42424242424242,51.649098474341194,98.0,3.1935082884139887,12.53286359595153,2186.0,2069.0,0.0,2069.0,burst
fixed,402,3600,721,3600.0,-195.84999999999997,1547.237170596394,3544.0,19.32249457319285,43.01754385964912,48.447988904299585,96.0,3.307848478538791,12.509604442655872,2201.0,2085.0,0.0,2085.0,burst
fixed,403,3600,721,3600.0,-209.88,1647.246879334258,3600.0,19.619328872267033,41.71186440677966,51.04160887656033,96.0,3.209396848985262,12.395004047842551,2188.0,2071.0,0.0,2071.0,burst
