step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.232480512681372,0,0.0,0.9186755181573192,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.723439127157723,0,0.0,0.8886243839230344,0,0.0
15.0,-0.02,12,0,1,0,12,0,2.0,0.16666666666666666,4.363350720911053,1,2.0,0.1854451889615147,1,2.0
20.0,-0.35,12,0,9,0,12,0,37.0,3.0833333333333335,3.4911859110292442,9,37.0,0.0002272073703574472,9,37.0
25.0,-0.21999999999999997,11,0,5,1,12,0,47.0,4.2727272727272725,3.8703307463129843,5,59.0,0.05315574088336217,5,59.0
30.0,-0.13,9,0,5,3,12,0,72.0,8.0,5.227938334560107,5,72.0,0.0,5,72.0
35.0,-0.25,13,0,5,3,16,0,97.0,7.461538461538462,7.247213882274742,5,97.0,0.4267845799129749,5,97.0
40.0,-0.25,10,0,5,6,16,0,122.0,12.2,5.717648429014423,5,122.0,0.4296197107862595,5,122.0
45.0,-0.26,9,0,6,7,16,0,148.0,16.444444444444443,2.80005226519935,6,148.0,0.00441053209266346,6,148.0
50.0,0.3799999999999999,9,0,2,7,16,0,72.0,8.0,5.060484666645468,2,110.0,0.13156384899616505,2,110.0
55.0,0.28000000000000014,8,0,2,8,16,0,82.0,10.25,8.756729547349298,2,82.0,0.0,2,82.0
60.0,-0.10000000000000009,7,0,2,9,16,0,92.0,13.142857142857142,8.266246482064947,2,92.0,0.0,2,92.0
65.0,-0.09999999999999998,8,0,2,12,20,0,102.0,12.75,9.848734424496442,2,102.0,0.6288684988357817,2,102.0
70.0,-0.10000000000000009,6,0,2,14,20,0,112.0,18.666666666666668,7.661131492780527,2,112.0,0.5398207618504145,2,112.0
75.0,-0.1399999999999999,14,0,4,14,28,0,126.0,9.0,9.993686608000372,4,126.0,0.6667901545445778,4,126.0
80.0,1.12,14,0,2,14,28,0,14.0,1.0,10.399069123067914,2,14.0,0.7546451646757382,2,14.0
85.0,-0.09999999999999998,13,0,2,15,28,0,24.0,1.8461538461538463,8.437693514883296,2,24.0,0.4695415687871976,2,24.0
90.0,0.12,12,0,5,16,28,0,8.0,0.6666666666666666,5.054661522517491,5,12.0,0.062086058380703434,5,12.0
95.0,-0.21000000000000002,14,0,5,18,32,0,33.0,2.357142857142857,8.535043172627478,5,33.0,0.42252994880468564,5,33.0
100.0,-0.010000000000000009,13,0,3,19,32,0,34.0,2.6153846153846154,9.080339755146134,3,34.0,0.5475601504594767,3,34.0
105.0,-0.14999999999999997,9,0,3,23,32,0,49.0,5.444444444444445,6.066278119398641,3,49.0,0.0610868586243414,3,49.0
110.0,0.19,9,0,3,23,32,0,30.0,3.3333333333333335,7.1650529782164165,3,30.0,2.9887405520737938e-05,3,30.0
115.0,-0.15000000000000002,6,0,3,26,32,0,45.0,7.5,6.487498904641495,3,45.0,0.0,3,45.0
120.0,0.14,5,0,1,27,32,0,31.0,6.2,7.943752101751693,1,31.0,0.0,1,31.0
125.0,-0.04999999999999999,7,0,1,29,36,0,36.0,5.142857142857143,10.696258942905702,1,36.0,0.7663977878914106,1,36.0
130.0,-0.04999999999999999,7,0,1,29,36,0,41.0,5.857142857142857,9.580593654134642,1,41.0,0.6696644282561894,1,41.0
135.0,-0.11000000000000004,5,0,3,31,36,0,52.0,10.4,0.326447984461142,3,52.0,0.026452568759257056,3,52.0
140.0,-0.07999999999999996,5,0,3,31,36,0,60.0,12.0,2.0973944348620175,3,60.0,1.8196706106067242e-05,3,60.0
145.0,-0.15000000000000002,5,0,3,31,36,0,75.0,15.0,5.4112905605033195,3,75.0,0.0,3,75.0
150.0,0.14,17,0,1,31,48,0,61.0,3.588235294117647,12.00782393897921,1,61.0,0.9023559707340933,1,61.0
155.0,-0.050000000000000044,15,0,1,33,48,0,66.0,4.4,12.203526671325736,1,66.0,0.8681386795334135,1,66.0
160.0,-0.05999999999999994,15,0,2,33,48,0,72.0,4.8,7.610692850715171,2,72.0,0.35150082908519786,2,72.0
165.0,-0.26,13,0,7,35,48,0,98.0,7.538461538461538,5.084570644947629,7,98.0,0.0003443503007159162,7,98.0
170.0,-0.3500000000000001,11,0,7,37,48,0,133.0,12.090909090909092,4.756946716583745,7,133.0,5.815415384056847e-06,7,133.0
175.0,-0.030000000000000027,9,0,3,39,48,0,116.0,12.88888888888889,4.800591247518153,3,136.0,0.0930457186066862,3,136.0
180.0,0.050000000000000044,11,0,3,41,52,0,131.0,11.909090909090908,9.826700697182646,3,131.0,0.5714285714285714,3,131.0
185.0,1.07,11,0,0,41,52,0,0.0,0.0,11.07304413492323,0,24.0,0.8001688274181069,0,24.0
190.0,0.24,7,0,0,45,52,0,0.0,0.0,10.836779454735614,0,0.0,0.7597427776467702,0,0.0
195.0,-0.03,7,0,2,45,52,0,3.0,0.42857142857142855,7.7666064383694176,2,3.0,0.004613929875600294,2,3.0
200.0,-0.1,4,0,2,48,52,0,13.0,3.25,6.347107674922597,2,13.0,6.361022732904046e-06,2,13.0
205.0,-0.1,4,0,2,48,52,0,23.0,5.75,6.590638878062144,2,23.0,0.0,2,23.0
210.0,-0.1,6,0,2,50,56,0,33.0,5.5,9.250681666666667,2,33.0,0.6666666666666666,2,33.0
215.0,-0.09999999999999998,6,0,2,50,56,0,43.0,7.166666666666667,8.790368265532138,2,43.0,0.6335348325834514,2,43.0
220.0,-0.10000000000000003,6,0,2,50,56,0,53.0,8.833333333333334,7.885290541245472,2,53.0,0.48832455998204144,2,53.0
