step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.53286359595153,0,0.0,0.904077195953199,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.237253633093088,0,0.0,0.880022384307458,0,0.0
15.0,-0.04,16,0,2,0,16,0,4.0,0.25,6.222567201414639,2,4.0,0.3518425960103762,2,4.0
20.0,-0.37,16,0,9,0,16,0,41.0,2.5625,5.828833017089094,9,41.0,0.2859979708415635,9,41.0
25.0,-0.19,15,0,5,1,16,0,47.0,3.1333333333333333,4.3329987878611425,5,60.0,0.16955243397271003,5,60.0
30.0,-0.18000000000000005,17,0,7,3,20,0,78.0,4.588235294117647,7.148772028050192,7,78.0,0.34563283385602517,7,78.0
35.0,0.08000000000000007,25,0,2,3,28,0,41.0,1.64,10.212653221488038,2,70.0,0.699555536600855,2,70.0
40.0,0.18999999999999995,21,0,2,7,28,0,51.0,2.4285714285714284,10.88801139990675,2,51.0,0.7142371663743848,2,51.0
45.0,0.46,23,0,2,9,32,0,5.0,0.21739130434782608,8.69565595139064,2,5.0,0.5190484688326109,2,5.0
50.0,-0.28,19,0,8,13,32,0,33.0,1.736842105263158,6.542284982021854,8,33.0,0.23557305722502317,8,33.0
55.0,-0.18,20,0,6,16,36,0,33.0,1.65,6.185382250313625,6,51.0,0.310236958633397,6,51.0
60.0,-0.12,16,0,6,20,36,0,63.0,3.9375,7.321330844895638,6,63.0,0.38261586691933036,6,63.0
65.0,-0.30000000000000004,16,0,6,20,36,0,93.0,5.8125,7.217234664157803,6,93.0,0.0581709717394259,6,93.0
70.0,0.1100000000000001,24,0,2,24,48,0,47.0,1.9583333333333333,9.31606895218185,2,82.0,0.6401388269688435,2,82.0
75.0,0.25,21,0,2,27,48,0,57.0,2.7142857142857144,10.871699294154624,2,57.0,0.7674736663101006,2,57.0
