step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,13.714646753253803,0,0.0,0.9442367539487782,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.846821085835522,0,0.0,0.8111550063699883,0,0.0
15.0,-0.1,14,0,5,0,14,0,10.0,0.7142857142857143,4.851776479263092,5,10.0,0.21071911412798816,5,10.0
20.0,-0.44000000000000006,15,0,9,1,16,0,54.0,3.6,5.2252301489086355,9,54.0,0.27123904470115956,9,54.0
25.0,-0.20999999999999996,16,0,7,2,18,0,58.0,3.625,5.263009778788145,7,75.0,0.3271428508036206,7,75.0
30.0,-0.18000000000000005,19,0,7,3,22,0,93.0,4.894736842105263,8.13892052254534,7,93.0,0.46853163032773276,7,93.0
35.0,0.07000000000000006,21,0,4,3,24,0,48.0,2.2857142857142856,7.6426701888930575,4,86.0,0.4008326576752824,4,86.0
40.0,0.19999999999999996,18,0,4,8,26,0,63.0,3.5,7.678330083627895,4,66.0,0.42316048385162164,4,66.0
45.0,-0.09999999999999998,24,0,5,8,32,0,76.0,3.1666666666666665,8.834032226203488,5,76.0,0.504637394697818,5,76.0
50.0,-0.33000000000000007,19,0,7,13,32,0,109.0,5.7368421052631575,7.830171533174902,7,109.0,0.43705046188877633,7,109.0
55.0,0.4600000000000001,24,0,6,16,40,0,63.0,2.625,7.704597192933363,6,63.0,0.5116576086739549,6,63.0
60.0,-0.41000000000000003,23,0,9,17,40,0,104.0,4.521739130434782,6.815114422477364,9,104.0,0.337617344149931,9,104.0
65.0,-0.11999999999999988,23,0,9,19,42,0,80.0,3.4782608695652173,4.438619489625704,9,116.0,0.15501141859445472,9,116.0
70.0,-0.050000000000000044,22,0,8,22,44,0,114.0,5.181818181818182,6.515305815550806,8,121.0,0.31387321478243047,8,121.0
75.0,-0.09000000000000008,27,0,7,23,50,0,106.0,3.925925925925926,7.612431452390836,7,130.0,0.4386070822506947,7,130.0
80.0,-0.28,23,0,9,27,50,0,151.0,6.565217391304348,7.595382516891362,9,158.0,0.41893854171110173,9,158.0
85.0,0.4500000000000002,23,0,8,29,52,0,66.0,2.869565217391304,5.058424899064177,8,113.0,0.20877273981719305,8,113.0
90.0,-0.09000000000000008,25,0,11,33,58,0,115.0,4.6,7.036493976295394,11,122.0,0.3739554030663487,11,122.0
95.0,-0.030000000000000027,27,0,7,33,60,0,54.0,2.0,7.467478613738422,7,125.0,0.403677135812086,7,125.0
100.0,0.52,27,0,5,37,64,0,39.0,1.4444444444444444,7.443352755108668,5,73.0,0.3855890757955683,5,73.0
105.0,0.3,28,0,3,40,68,0,12.0,0.42857142857142855,7.652998810579587,3,43.0,0.4552058516979046,3,43.0
110.0,-0.15999999999999998,26,0,7,42,68,0,41.0,1.5769230769230769,7.666890545914323,7,59.0,0.3546512325334566,7,59.0
115.0,-0.040000000000000036,23,0,5,47,70,0,38.0,1.6521739130434783,6.303055440367505,5,63.0,0.2774143355096231,5,63.0
120.0,0.020000000000000018,18,0,6,52,70,0,55.0,3.0555555555555554,7.178072692384404,6,61.0,0.22018164299595772,6,61.0
125.0,-0.13,25,0,6,53,78,0,68.0,2.72,8.241352614361874,6,74.0,0.49018272936680224,6,74.0
130.0,-0.3899999999999999,25,0,8,57,82,0,107.0,4.28,8.65684386550413,8,113.0,0.5644107448603101,8,113.0
135.0,-0.10000000000000009,24,0,5,60,84,0,105.0,4.375,6.430988846619948,5,123.0,0.426686326341164,5,123.0
140.0,-0.14000000000000012,24,0,7,62,86,0,137.0,5.708333333333333,6.587083410929154,7,137.0,0.3278306812450438,7,137.0
145.0,0.020000000000000018,26,0,7,62,88,0,112.0,4.3076923076923075,6.464007588015713,7,135.0,0.2551618222307717,7,135.0
150.0,-0.18999999999999995,26,0,9,66,92,0,154.0,5.923076923076923,7.777099836513643,9,154.0,0.401439173814373,9,154.0
155.0,0.67,25,0,7,69,94,0,63.0,2.52,7.552379419789344,7,87.0,0.3876066288188292,7,87.0
160.0,-0.17000000000000004,23,0,9,73,96,0,104.0,4.521739130434782,6.372969977720541,9,104.0,0.2660804032470415,9,104.0
165.0,-0.1499999999999999,22,0,8,76,98,0,80.0,3.6363636363636362,5.457007143206101,8,119.0,0.27324369832267514,8,119.0
170.0,0.11999999999999988,19,0,6,79,98,0,98.0,5.157894736842105,6.7247823927276436,6,107.0,0.27399514822184834,6,107.0
175.0,0.3400000000000001,30,0,6,80,110,0,40.0,1.3333333333333333,8.88539764165387,6,73.0,0.5518635622115807,6,73.0
180.0,-0.10999999999999999,25,0,8,85,110,0,75.0,3.0,8.400449028642624,8,84.0,0.5277855619807528,8,84.0
185.0,-0.09000000000000008,26,0,7,86,112,0,68.0,2.6153846153846154,4.25078924531366,7,93.0,0.17119359436683979,7,93.0
190.0,-0.2699999999999999,22,0,11,90,112,0,120.0,5.454545454545454,5.486159256231824,11,120.0,0.21183376814884006,11,120.0
195.0,0.17999999999999994,26,0,6,90,116,0,52.0,2.0,6.57496012603763,6,102.0,0.29210779895480615,6,102.0
200.0,0.18000000000000005,27,0,7,93,120,0,74.0,2.740740740740741,8.621712604110895,7,84.0,0.47687617427044127,7,84.0
205.0,-0.2500000000000001,24,0,7,98,122,0,109.0,4.541666666666667,8.676883972342832,7,109.0,0.4441338829993763,7,109.0
210.0,-0.06999999999999984,23,0,4,101,124,0,101.0,4.391304347826087,6.8186716867016655,4,116.0,0.3403253952673302,4,116.0
215.0,-0.13000000000000012,23,0,6,107,130,0,129.0,5.608695652173913,8.998452953631858,6,129.0,0.5301851408152946,6,129.0
220.0,0.41000000000000003,23,0,5,107,130,0,88.0,3.8260869565217392,9.129819488190035,5,88.0,0.5030244255140368,5,88.0
225.0,-0.30999999999999994,26,0,7,112,138,0,119.0,4.576923076923077,7.250579525718634,7,119.0,0.3851983855062707,7,119.0
230.0,0.3999999999999999,24,0,7,114,138,0,45.0,1.875,7.421523450068622,7,79.0,0.4510727495752286,7,79.0
235.0,-0.010000000000000009,21,0,7,119,140,0,80.0,3.8095238095238093,6.05850186221306,7,80.0,0.2680666708788034,7,80.0
240.0,-0.10999999999999999,21,0,7,119,140,0,74.0,3.5238095238095237,5.887352424444434,7,91.0,0.184107582599742,7,91.0
245.0,-0.13,21,0,6,123,144,0,101.0,4.809523809523809,8.118961487652722,6,104.0,0.39529964129620254,6,104.0
250.0,0.29000000000000004,23,0,2,125,148,0,3.0,0.13043478260869565,9.244549461723995,2,75.0,0.5739398862825352,2,75.0
255.0,0.59,22,0,2,128,150,0,13.0,0.5909090909090909,9.982155369296866,2,16.0,0.5924554844321546,2,16.0
260.0,0.010000000000000009,24,0,1,132,156,0,4.0,0.16666666666666666,9.777780607155105,1,15.0,0.6213763937581759,1,15.0
265.0,0.0,22,0,3,136,158,0,15.0,0.6818181818181818,10.266301686228822,3,15.0,0.5981558737466798,3,15.0
270.0,-0.08000000000000002,19,0,5,139,158,0,23.0,1.2105263157894737,7.443009539268458,5,23.0,0.31408904892273576,5,23.0
275.0,-0.30000000000000004,21,0,6,143,164,0,53.0,2.5238095238095237,8.077090791912797,6,53.0,0.43425421056875496,6,53.0
280.0,-0.17999999999999994,20,0,4,146,166,0,60.0,3.0,8.80113765315254,4,71.0,0.5466936695403343,4,71.0
285.0,-0.09000000000000008,19,0,4,149,168,0,80.0,4.2105263157894735,8.723936121096234,4,80.0,0.46541475056980586,4,80.0
290.0,0.29000000000000004,18,0,4,150,168,0,48.0,2.6666666666666665,7.0841993581036125,4,51.0,0.2346682742273817,4,51.0
295.0,-0.27,17,0,6,155,172,0,78.0,4.588235294117647,7.17121983935907,6,78.0,0.3349694399481595,6,78.0
