step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.509604442655872,0,0.0,0.9277666674649147,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.784483243423539,0,0.0,0.8832493527198292,0,0.0
15.0,-0.08,16,0,5,0,16,0,8.0,0.5,7.001852621116342,5,8.0,0.35412763448376344,5,8.0
20.0,-0.38,16,0,8,0,16,0,46.0,2.875,6.606609184016168,8,46.0,0.318541904459938,8,46.0
25.0,-0.39999999999999997,13,0,8,3,16,0,86.0,6.615384615384615,3.376067951691184,8,86.0,0.03652246055799886,8,86.0
30.0,-0.4600000000000001,16,0,10,4,20,0,132.0,8.25,5.502092020134543,10,132.0,0.2795813782038776,10,132.0
35.0,-0.5,24,0,10,4,28,0,182.0,7.583333333333333,8.004819204313057,10,182.0,0.5005646779400204,10,182.0
40.0,-0.010000000000000009,22,0,9,6,28,0,183.0,8.318181818181818,5.728150163848386,9,183.0,0.36993209696351204,9,183.0
45.0,0.040000000000000036,26,0,10,6,32,0,120.0,4.615384615384615,4.072022152454581,10,179.0,0.239303707514164,10,179.0
50.0,0.49,25,0,10,7,32,0,112.0,4.48,5.20304339603715,10,130.0,0.2056496835580629,10,130.0
55.0,-0.3599999999999999,28,0,12,8,36,0,166.0,5.928571428571429,7.374584041633285,12,166.0,0.26765673760284286,12,166.0
60.0,-0.5999999999999999,25,0,12,11,36,0,226.0,9.04,6.787369706980279,12,226.0,0.23240631997352862,12,226.0
65.0,-0.6000000000000001,18,0,12,18,36,0,286.0,15.88888888888889,2.9141115015157015,12,286.0,0.12884091081973706,12,286.0
70.0,-0.69,28,0,14,20,48,0,355.0,12.678571428571429,6.289916130952471,14,355.0,0.4300456633017938,14,355.0
75.0,-0.7000000000000002,28,0,14,20,48,0,425.0,15.178571428571429,5.124623504501434,14,425.0,0.3452970223364909,14,425.0
80.0,0.4900000000000002,30,0,16,22,52,0,308.0,10.266666666666667,3.116189789635532,16,376.0,0.1708286179192722,16,376.0
85.0,-0.1900000000000004,30,0,18,22,52,0,395.0,13.166666666666666,4.335062178242254,18,395.0,0.16791405593631265,18,395.0
90.0,0.98,28,0,11,24,52,0,180.0,6.428571428571429,4.1203207131125,11,297.0,0.12463470661999214,11,297.0
95.0,0.7400000000000002,31,0,9,25,56,0,169.0,5.451612903225806,7.479298053622551,9,223.0,0.3261366332956059,9,223.0
100.0,0.08999999999999986,35,0,9,29,64,0,214.0,6.114285714285714,9.924687751610358,9,214.0,0.541025886544418,9,214.0
105.0,-0.48,30,0,11,34,64,0,262.0,8.733333333333333,8.250594043477205,11,262.0,0.3957624706969323,11,262.0
110.0,-0.5699999999999998,28,0,13,40,68,0,319.0,11.392857142857142,5.107650217028199,13,319.0,0.18863697433835314,13,319.0
115.0,-0.8299999999999996,24,0,17,44,68,0,402.0,16.75,3.0786725406771445,17,402.0,0.14334509590401406,17,402.0
120.0,-0.9000000000000004,25,0,19,47,72,0,492.0,19.68,3.2633430083479213,19,492.0,0.16443901063258928,19,492.0
125.0,1.58,25,0,13,47,72,0,308.0,12.32,4.478401740186601,13,334.0,0.2110368037011325,13,334.0
130.0,0.3999999999999999,32,0,14,48,80,0,281.0,8.78125,6.221947232737325,14,294.0,0.3522379248987102,14,294.0
135.0,0.79,34,0,6,50,84,0,113.0,3.323529411764706,8.05059500330904,6,215.0,0.517153305637157,6,215.0
140.0,0.47,30,0,6,54,84,0,143.0,4.766666666666667,7.645913254486145,6,168.0,0.4151735780980831,6,168.0
145.0,-0.3400000000000001,29,0,12,55,84,0,189.0,6.517241379310345,6.396996678084071,12,202.0,0.004505672544940506,12,202.0
150.0,-0.7000000000000002,26,0,14,62,88,0,259.0,9.961538461538462,5.569657060500253,14,272.0,0.2148186524722825,14,272.0
155.0,-0.6999999999999997,22,0,14,66,88,0,329.0,14.954545454545455,3.5839146061459917,14,342.0,0.15521128652719915,14,342.0
