step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.395004047842553,0,0.0,0.8934276954831682,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.423102868132714,0,0.0,0.8375507122606921,0,0.0
15.0,-0.06,14,0,4,0,14,0,6.0,0.42857142857142855,5.960322406414112,4,6.0,0.2662667540280165,4,6.0
20.0,-0.37,16,0,8,0,16,0,43.0,2.6875,6.374280644857286,8,43.0,0.31463179818245274,8,43.0
25.0,-0.39999999999999997,16,0,8,2,18,0,83.0,5.1875,6.237597310388034,8,83.0,0.31970777069464,8,83.0
30.0,-0.4,18,0,8,4,22,0,123.0,6.833333333333333,6.161637834274895,8,123.0,0.39278101607861204,8,123.0
35.0,-0.43999999999999995,20,0,10,4,24,0,167.0,8.35,6.049172874136563,10,167.0,0.30714670106925795,10,167.0
40.0,0.0,20,0,10,6,26,0,167.0,8.35,5.380500142080336,10,167.0,0.24710467223406501,10,167.0
45.0,0.09999999999999987,25,0,7,7,32,0,102.0,4.08,7.090948511758276,7,157.0,0.38893387209728014,7,157.0
50.0,0.5,22,0,6,10,32,0,107.0,4.863636363636363,7.958898914553487,6,107.0,0.4398447952475045,6,107.0
55.0,-0.30999999999999983,28,0,7,12,40,0,138.0,4.928571428571429,8.631210281370105,7,138.0,0.4546913477002465,7,138.0
60.0,-0.4600000000000002,25,0,10,15,40,0,184.0,7.36,6.834067938107884,10,184.0,0.3413770432509041,10,184.0
65.0,-0.5700000000000001,22,0,14,20,42,0,241.0,10.954545454545455,3.780028210716968,14,241.0,0.1075315014749339,14,241.0
70.0,-0.7999999999999998,22,0,16,22,44,0,321.0,14.590909090909092,3.265813009347887,16,321.0,0.14378376156817277,16,321.0
75.0,-0.8600000000000003,26,0,18,24,50,0,407.0,15.653846153846153,3.8901979393987385,18,407.0,0.2976569205038785,18,407.0
80.0,0.4400000000000004,26,0,14,24,50,0,319.0,12.26923076923077,3.1180350542184474,14,363.0,0.2437866202822371,14,363.0
85.0,-0.3600000000000003,28,0,18,24,52,0,399.0,14.25,3.2401348843558346,18,399.0,0.14824671030542905,18,399.0
90.0,0.5800000000000001,34,0,14,24,58,0,182.0,5.352941176470588,4.758038014490828,14,341.0,0.2499698600965799,14,341.0
