step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.53286359595153,0,0.0,0.904077195953199,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.237253633093088,0,0.0,0.880022384307458,0,0.0
15.0,-0.03,12,0,2,0,12,0,3.0,0.25,4.023722718015626,2,3.0,0.07129654724276303,2,3.0
20.0,-0.38,12,0,9,0,12,0,41.0,3.4166666666666665,3.4520395630968967,9,41.0,0.00018660641775939652,9,41.0
25.0,-0.25000000000000006,10,0,6,2,12,0,60.0,6.0,2.5591743168695116,6,66.0,0.020449435325652462,6,66.0
30.0,-0.24,9,0,6,3,12,0,90.0,10.0,4.045443895361568,6,90.0,0.0,6,90.0
35.0,0.16000000000000003,13,0,2,3,16,0,41.0,3.1538461538461537,8.641692266668361,2,74.0,0.5253225315459114,2,74.0
40.0,0.22999999999999998,10,0,2,6,16,0,51.0,5.1,10.407355962135394,2,51.0,0.6227978328339592,2,51.0
45.0,-0.13,10,0,4,6,16,0,64.0,6.4,8.230374781817028,4,64.0,0.0004977537186514432,4,64.0
50.0,-0.06999999999999995,6,0,2,10,16,0,71.0,11.833333333333334,6.6549679033538025,2,71.0,0.0,2,71.0
55.0,-0.10000000000000009,4,0,2,12,16,0,81.0,20.25,6.792295086675166,2,81.0,0.0,2,81.0
60.0,-0.09999999999999998,4,0,2,12,16,0,91.0,22.75,6.525360287446836,2,91.0,0.0,2,91.0
65.0,-0.09999999999999998,6,0,2,14,20,0,101.0,16.833333333333332,8.080326399174668,2,101.0,0.6292922391837136,2,101.0
70.0,-0.10000000000000009,6,0,2,14,20,0,111.0,18.5,8.100306035442571,2,111.0,0.6308918855847007,2,111.0
75.0,-0.09999999999999987,14,0,2,14,28,0,121.0,8.642857142857142,10.028054876158222,2,121.0,0.6913852576586536,2,121.0
