step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.232480512681372,0,0.0,0.9186755181573192,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,11.723439127157723,0,0.0,0.8886243839230344,0,0.0
15.0,-0.03,16,0,2,0,16,0,3.0,0.1875,6.207295876904128,2,3.0,0.43543273961800233,2,3.0
20.0,-0.32999999999999996,16,0,9,0,16,0,36.0,2.25,5.31538052388289,9,36.0,0.27766478641774406,9,36.0
25.0,-0.26,15,0,6,1,16,0,57.0,3.8,5.602131454138353,6,62.0,0.334878630212438,6,62.0
30.0,-0.31000000000000005,17,0,8,3,20,0,93.0,5.470588235294118,6.664744677756778,8,93.0,0.32155953501849904,8,93.0
35.0,0.050000000000000044,25,0,2,3,28,0,43.0,1.72,9.752235668963657,2,88.0,0.6824515233866414,2,88.0
40.0,0.33999999999999997,21,0,3,7,28,0,54.0,2.5714285714285716,10.007884825475479,3,54.0,0.6535831370237674,3,54.0
45.0,0.44000000000000006,24,0,2,8,32,0,10.0,0.4166666666666667,7.972015977274189,2,10.0,0.47166920067438634,2,10.0
50.0,-0.29000000000000004,21,0,8,11,32,0,39.0,1.8571428571428572,7.305679230874998,8,39.0,0.2823464031355574,8,39.0
55.0,-0.31999999999999995,21,0,10,15,36,0,71.0,3.380952380952381,6.114856564239816,10,71.0,0.2729628564161933,10,71.0
60.0,-0.5,16,0,10,20,36,0,121.0,7.5625,4.815288601953228,10,121.0,0.2651480272213463,10,121.0
65.0,0.040000000000000036,16,0,6,20,36,0,63.0,3.9375,3.6208847679554625,6,117.0,0.12439602711869574,6,117.0
70.0,0.2699999999999999,26,0,6,22,48,0,89.0,3.423076923076923,9.521117597672742,6,90.0,0.6116842902352699,6,90.0
75.0,0.31000000000000005,26,0,1,22,48,0,2.0,0.07692307692307693,8.972664912053073,1,59.0,0.5456113451768072,1,59.0
80.0,0.41999999999999993,26,0,6,26,52,0,16.0,0.6153846153846154,7.348087983042971,6,17.0,0.38571791138373684,6,17.0
85.0,-0.23,23,0,6,29,52,0,28.0,1.2173913043478262,6.904051903624113,6,40.0,0.307397842440381,6,40.0
90.0,-0.22999999999999998,20,0,7,32,52,0,63.0,3.15,7.151559072269455,7,63.0,0.26483672042356027,7,63.0
95.0,-0.08999999999999997,20,0,8,36,56,0,72.0,3.6,7.199604872421796,8,72.0,0.3186661404656503,8,72.0
100.0,-0.40000000000000013,24,0,8,40,64,0,112.0,4.666666666666667,8.968122294781208,8,112.0,0.5691485338578972,8,112.0
105.0,0.07000000000000006,22,0,4,42,64,0,62.0,2.8181818181818183,7.123695635816307,4,105.0,0.464214142846276,4,105.0
110.0,0.20000000000000007,24,0,6,44,68,0,84.0,3.5,6.393892906013066,6,85.0,0.33236715461144223,6,85.0
115.0,0.22999999999999998,24,0,7,44,68,0,56.0,2.3333333333333335,6.773069176636748,7,62.0,0.2212420524377358,7,62.0
120.0,-0.4,24,0,11,48,72,0,102.0,4.25,6.368621932763138,11,102.0,0.24350665773969568,11,102.0
125.0,-0.030000000000000027,20,0,6,52,72,0,60.0,3.0,6.187449440064984,6,105.0,0.31620804578624934,6,105.0
130.0,0.19000000000000006,25,0,6,55,80,0,78.0,3.12,9.040575850739492,6,86.0,0.5292643547542005,6,86.0
135.0,0.06999999999999995,28,0,8,56,84,0,71.0,2.5357142857142856,9.060389920707557,8,79.0,0.5652207905105114,8,79.0
140.0,-0.4099999999999999,24,0,9,60,84,0,112.0,4.666666666666667,6.295154936338307,9,120.0,0.2904910770120812,9,120.0
145.0,-0.010000000000000009,22,0,11,62,84,0,57.0,2.590909090909091,3.5397246988277278,11,121.0,0.029899222159772983,11,121.0
150.0,0.09999999999999987,24,0,9,64,88,0,92.0,3.8333333333333335,7.365223502782953,9,111.0,0.31622254621573,9,111.0
155.0,0.1100000000000001,22,0,5,66,88,0,38.0,1.7272727272727273,6.170309940956253,5,100.0,0.15804799483249166,5,100.0
160.0,0.31000000000000005,21,0,5,71,92,0,48.0,2.2857142857142856,7.917385477902256,5,69.0,0.37412383494028045,5,69.0
165.0,-0.06000000000000005,27,0,4,73,100,0,46.0,1.7037037037037037,9.422726288412052,4,75.0,0.6035821260765828,4,75.0
170.0,-0.06000000000000005,23,0,5,77,100,0,70.0,3.0434782608695654,8.911209724210263,5,81.0,0.5178757110382722,5,81.0
175.0,0.050000000000000044,24,0,3,80,104,0,66.0,2.75,5.27036406507177,3,76.0,0.25521658201515873,3,76.0
180.0,-0.3500000000000001,20,0,9,84,104,0,111.0,5.55,6.75348894787393,9,111.0,0.3121630654434962,9,111.0
185.0,0.3900000000000001,24,0,7,84,108,0,56.0,2.3333333333333335,7.115901412970676,7,72.0,0.30720812514305873,7,72.0
190.0,-0.27,20,0,9,88,108,0,99.0,4.95,6.841757558043658,9,99.0,0.2861796672274431,9,99.0
195.0,0.030000000000000027,25,0,4,91,116,0,59.0,2.36,8.163150461838546,4,96.0,0.5526107713427041,4,96.0
200.0,0.14,26,0,5,94,120,0,82.0,3.1538461538461537,9.849030198395031,5,82.0,0.637984507728943,5,82.0
205.0,0.13,25,0,2,95,120,0,60.0,2.4,7.951670025938066,2,69.0,0.43600255215677236,2,69.0
210.0,-0.2300000000000001,21,0,8,99,120,0,92.0,4.380952380952381,5.7866475017150885,8,92.0,0.059250438523261645,8,92.0
215.0,0.33000000000000007,22,0,7,102,124,0,45.0,2.0454545454545454,7.210728765553264,7,59.0,0.3328619352146004,7,59.0
