step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.53286359595153,0,0.0,0.904077195953199,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.237253633093088,0,0.0,0.880022384307458,0,0.0
15.0,-0.03,14,0,2,0,14,0,3.0,0.21428571428571427,5.382895390628294,2,3.0,0.2349604514012091,2,3.0
20.0,-0.41000000000000003,16,0,9,0,16,0,44.0,2.75,6.040621853718408,9,44.0,0.2959970840252285,9,44.0
25.0,-0.23000000000000004,16,0,6,2,18,0,60.0,3.75,5.3020751876619965,6,67.0,0.3336888477653607,6,67.0
30.0,-0.24,19,0,7,3,22,0,91.0,4.7894736842105265,7.116127258087735,7,91.0,0.40611333246852305,7,91.0
35.0,0.08000000000000007,21,0,2,3,24,0,41.0,1.9523809523809523,7.159752066958879,2,83.0,0.39921042948707675,2,83.0
40.0,0.20999999999999996,19,0,5,7,26,0,62.0,3.263157894736842,7.20556850184483,5,62.0,0.3252836595809351,5,62.0
45.0,-0.18000000000000005,24,0,4,8,32,0,73.0,3.0416666666666665,8.575646687807636,4,80.0,0.49287277272876906,4,80.0
50.0,-0.17999999999999994,20,0,6,12,32,0,98.0,4.9,8.891279081388003,6,98.0,0.47285505505242303,6,98.0
55.0,0.52,26,0,5,14,40,0,18.0,0.6923076923076923,7.984362096434979,5,46.0,0.5147513186140958,5,46.0
60.0,-0.07,22,0,8,18,40,0,53.0,2.409090909090909,7.655195068233758,8,53.0,0.4617115185172705,8,53.0
65.0,-0.04999999999999993,22,0,7,20,42,0,43.0,1.9545454545454546,4.940392952954948,7,58.0,0.1754882806848836,7,58.0
70.0,-0.30000000000000004,22,0,9,22,44,0,88.0,4.0,6.960556483539085,9,88.0,0.25918340496061065,9,88.0
