step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,0,0.0,0.0,3,0,0,0,3,0,0.0,0.0,11.475453972242244,0,0.0,0.8245297919964742,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0,0,0,0.0,0.0,6,0,0,0,6,0,0.0,0.0,12.514590320810584,0,0.0,0.9032695673285623,0,0.0,0.9811283315951417,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,0,0,0,0.0,0.0,7,0,0,0,7,0,0.0,0.0,10.620279958193565,0,0.0,0.7303825215738341,0,0.0,0.9740012439284026,0,0.0,0.9470894928254223,0,0.0,1.0,0,0.0
20.0,-0.5,0,0,0,0.0,0.0,13,0,2,0,13,0,5.0,0.38461538461538464,10.010484206554736,2,5.0,0.5525481920384362,0,0.0,0.9635336613850739,0,0.0,0.8083163314673127,0,0.0,0.9876032808037896,2,5.0
25.0,-0.75,0,0,0,0.0,0.0,14,0,3,0,14,0,18.0,1.2857142857142858,8.434828531016297,3,18.0,0.43332800263785537,0,0.0,0.9379877602539934,0,0.0,0.6708812649767435,0,0.0,0.921127985250457,3,18.0
30.0,-1.25,0,0,0,0.0,0.0,17,0,5,0,17,0,38.0,2.235294117647059,7.630111670205,4,35.0,0.4440668733199768,0,0.0,0.9048006023288028,1,3.0,0.4980855272740893,0,0.0,0.9341394017310388,5,38.0
35.0,-2.0,0,0,0,0.0,0.0,17,0,8,0,17,0,72.0,4.235294117647059,6.503725813128045,5,60.0,0.35471493831793277,0,0.0,1.0,3,12.0,0.24027633815958402,0,0.0,0.9424575153232919,8,72.0
40.0,-2.25,0,0,0,0.0,0.0,20,0,9,0,20,0,113.0,5.65,5.910587411553382,6,86.0,0.175851936030195,0,0.0,0.9560827412034922,3,27.0,0.24080256156622581,0,0.0,0.7291961024080698,9,113.0
45.0,-3.0,0,0,0,0.0,0.0,20,0,12,2,22,0,168.0,8.4,4.4900666665653794,8,122.0,0.09093597955761183,0,0.0,0.8740040264558867,3,42.0,0.23038679671362258,1,4.0,0.2402961017689781,12,168.0
50.0,-2.0,0,0,0,0.0,0.0,20,0,8,3,23,0,42.0,2.1,4.506548282102483,4,92.0,0.09504782969538536,1,1.0,0.6085423015169857,1,14.0,0.15011851457930825,2,12.0,0.2658924214423238,8,119.0
55.0,-2.25,0,0,0,0.0,0.0,21,0,9,3,24,0,70.0,3.3333333333333335,5.903110908364563,3,62.0,0.30610623034011636,3,11.0,0.45138844510649206,1,6.0,0.0,2,23.0,0.5273644452888273,9,102.0
60.0,-2.75,0,0,0,0.0,0.0,25,0,11,3,28,0,119.0,4.76,7.14808219226418,3,47.0,0.47271418798123316,5,30.0,0.5081625168518022,1,11.0,0.48759827540680817,2,33.0,0.39184245194119355,11,121.0
65.0,-2.75,0,0,0,0.0,0.0,28,0,11,3,31,0,174.0,6.214285714285714,7.633844588122116,3,62.0,0.38138651091051734,5,54.0,0.4894308060882753,1,16.0,0.616403720279361,2,42.0,0.22654192244118362,11,174.0
70.0,-3.0,0,0,0,0.0,0.0,27,0,12,4,31,0,230.0,8.518518518518519,6.049572194311744,3,77.0,0.011610835888424308,6,80.0,0.2945024648091244,1,21.0,0.4999728181818885,2,52.0,0.0,12,230.0
75.0,-3.75,0,0,0,0.0,0.0,28,0,15,6,34,0,298.0,10.642857142857142,5.840536595018081,4,96.0,0.31804417012178215,8,114.0,0.10858957263318025,1,26.0,0.4616007769749781,2,62.0,0.488111349342742,15,298.0
80.0,-3.75,0,0,0,0.0,0.0,25,0,15,10,35,0,373.0,14.92,5.321032589362132,4,116.0,0.32303843489297984,8,154.0,2.112311794963541e-06,1,31.0,0.6562012020982477,2,72.0,0.4651137496805142,15,373.0
85.0,-4.5,0,0,0,0.0,0.0,24,0,18,13,37,0,452.0,18.833333333333332,2.6562533507835386,6,138.0,0.00046335210730372254,8,194.0,0.11017202660016819,1,36.0,0.533682580710261,3,84.0,0.100396282060357,18,452.0
90.0,-5.0,0,0,0,0.0,0.0,23,0,20,14,37,0,548.0,23.82608695652174,0.9113829857625255,6,168.0,0.0,8,234.0,0.0022336397019459848,2,44.0,0.34186150664987913,4,102.0,1.545183432146197e-05,20,548.0
95.0,-2.5,0,0,0,0.0,0.0,25,0,10,14,39,0,118.0,4.72,4.156924492917541,1,86.0,0.30949546212751755,4,183.0,0.10087849065570187,3,13.0,0.3755467612632676,2,20.0,0.2176194060483473,10,302.0
100.0,-1.5,0,0,0,0.0,0.0,28,0,6,14,42,0,74.0,2.642857142857143,8.325588906948678,1,26.0,0.6974247536931685,0,115.0,0.45911076773172127,3,29.0,0.4928470664413623,2,31.0,0.6095397700332329,6,201.0
105.0,-1.5,0,0,0,0.0,0.0,29,0,6,15,44,0,104.0,3.586206896551724,9.286664649790067,1,21.0,0.8202547735517935,0,30.0,0.6552642807087624,3,44.0,0.5225893854520136,2,41.0,0.6258897456956486,6,136.0
110.0,-1.75,0,0,0,0.0,0.0,30,0,7,17,47,0,137.0,4.566666666666666,8.983701540021787,1,26.0,0.6459190525939311,0,0.0,0.91620814307049,4,61.0,0.4893205412131258,2,50.0,0.63912105195402,7,137.0
115.0,-2.0,0,0,0,0.0,0.0,31,0,8,18,49,0,175.0,5.645161290322581,8.791604523700949,2,34.0,0.48714460672560644,0,0.0,0.9473956449181837,4,81.0,0.5139084340263866,2,60.0,0.5939726677368371,8,175.0
120.0,-2.25,0,0,0,0.0,0.0,32,0,9,20,52,0,218.0,6.8125,7.984218799453745,3,47.0,0.4704384834672254,0,0.0,1.0,4,101.0,0.41695290156692577,2,70.0,0.4227223613128638,9,218.0
125.0,-2.75,0,0,0,0.0,0.0,31,0,11,24,55,0,272.0,8.774193548387096,7.435214207341728,4,66.0,0.42372214114678836,0,0.0,0.9968963862999988,5,126.0,0.14273422569304137,2,80.0,0.31034723801308667,11,272.0
