step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,4,0.0,0.0,1,0,0,0,1,0,0.0,0.0,13.183867564890146,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9816553228560937,0,0.0,1.0,0,0.0
10.0,0.0,0,0,8,0.0,0.0,4,0,0,0,4,0,0.0,0.0,12.608434278787787,0,0.0,0.9286584929866,0,0.0,1.0,0,0.0,0.9317737134308454,0,0.0,1.0,0,0.0
15.0,0.0,0,0,12,0.0,0.0,7,0,0,0,7,0,0.0,0.0,12.159123075792673,0,0.0,0.94664781949234,0,0.0,1.0,0,0.0,0.8055980621579839,0,0.0,0.9044937547432237,0,0.0
20.0,0.0,0,0,16,0.0,0.0,9,0,0,0,9,0,0.0,0.0,11.36110863402101,0,0.0,0.6867284256813951,0,0.0,0.9987066217026404,0,0.0,0.9217200760188414,0,0.0,0.9574328927325371,0,0.0
25.0,-0.25,0,0,20,0.0,0.0,10,0,1,0,10,0,5.0,0.5,9.380685215057918,1,5.0,0.620381107674067,0,0.0,0.6476924868423796,0,0.0,0.7789705441181172,0,0.0,0.43901138460590133,1,5.0
30.0,-1.25,0,0,24,0.0,0.0,11,0,5,0,11,0,19.0,1.7272727272727273,5.557623133013464,1,10.0,0.4701967691595886,1,3.0,4.723292170789351e-05,2,3.0,0.5443997370621474,1,3.0,0.0,5,19.0
35.0,-1.75,0,0,28,0.0,0.0,14,0,7,0,14,0,51.0,3.642857142857143,4.7310724259065795,2,20.0,0.5426015527208689,1,8.0,0.5,3,15.0,0.0590341111734727,1,8.0,0.0,7,51.0
40.0,-2.5,0,0,32,0.0,0.0,16,0,10,0,16,0,98.0,6.125,4.9817645287597365,3,34.0,0.5513281948298886,1,13.0,0.4657613322758231,5,38.0,0.0,1,13.0,0.0,10,98.0
45.0,-2.5,0,0,36,0.0,0.0,21,0,10,0,21,0,148.0,7.0476190476190474,6.206398112946594,3,49.0,0.5492806991936818,1,18.0,0.3882935770138484,5,63.0,0.41462193130961217,1,18.0,0.0,10,148.0
50.0,-2.75,0,0,40,0.0,0.0,26,0,11,0,26,0,202.0,7.769230769230769,6.583573478263621,3,64.0,0.5815377740975138,2,27.0,0.3163844851803415,5,88.0,0.5077827567076019,1,23.0,0.0,11,202.0
55.0,-3.75,0,0,44,0.0,0.0,26,0,15,0,26,0,265.0,10.192307692307692,2.8097565462429155,4,80.0,0.1875816800130216,2,37.0,0.1938580234839722,8,120.0,0.24350210764019534,1,28.0,0.0,15,265.0
60.0,-6.0,0,1,48,0.0,0.020833333333333332,27,0,24,0,27,0,365.0,13.518518518518519,0.7180568910172013,7,109.0,0.000512750787228755,3,49.0,0.0001170417861374477,13,174.0,0.09490247138689958,1,33.0,0.0,24,365.0
65.0,-5.75,0,2,52,0.0,0.038461538461538464,30,0,23,0,30,0,401.0,13.366666666666667,2.000583743698179,7,144.0,0.21267922671293452,3,64.0,0.0,12,210.0,0.11569209807609707,1,38.0,0.0,23,456.0
70.0,-4.0,0,4,56,0.0,0.07142857142857142,33,0,16,0,33,0,327.0,9.909090909090908,3.7977682089842233,4,126.0,0.36514735647524676,3,79.0,0.24536876818567974,8,190.0,0.06942578567853129,1,43.0,0.0,16,438.0
75.0,-3.0,0,5,60,0.0,0.08333333333333333,35,0,12,0,35,0,240.0,6.857142857142857,4.969910651024006,2,65.0,0.4502549009079714,3,96.0,0.42650804454661045,6,184.0,0.10931258746618448,1,48.0,0.0,12,393.0
80.0,-3.25,0,6,64,0.0,0.09375,35,0,13,1,36,0,220.0,6.285714285714286,5.8611766171376045,4,35.0,0.32419414107216354,4,114.0,0.539152777223925,4,145.0,0.12484177877880968,1,55.0,0.6393184629592372,13,349.0
85.0,-3.5,0,6,68,0.0,0.08823529411764706,34,0,14,4,38,0,278.0,8.176470588235293,6.0964846567013025,5,57.0,0.16717054885412952,4,132.0,0.46465923911717577,4,109.0,0.34093512585267133,1,60.0,0.7331839748478505,14,358.0
90.0,-3.5,0,7,72,0.0,0.09722222222222222,34,0,14,4,38,0,292.0,8.588235294117647,4.731330156637497,2,47.0,0.26253380449428176,5,155.0,0.2759581245400452,6,133.0,0.13451280732559975,1,65.0,0.3511914987320122,14,400.0
95.0,-3.0,0,8,76,0.0,0.10526315789473684,35,0,12,4,39,0,119.0,3.4,4.226194727332692,0,20.0,0.36446514645193545,3,110.0,0.20421112811033143,8,171.0,0.16955175140691872,1,8.0,0.09694893689153782,12,309.0
100.0,-3.5,0,9,80,0.0,0.1125,38,0,14,6,44,0,149.0,3.9210526315789473,6.1800421605198235,2,25.0,0.25524326627271793,4,40.0,0.34761805310412325,8,211.0,0.32937253074322737,0,3.0,0.5612462243766585,14,279.0
105.0,-5.0,0,9,84,0.0,0.10714285714285714,37,0,20,8,45,0,234.0,6.324324324324325,4.320829883110347,3,39.0,0.38470213993202584,5,43.0,0.22806487975131837,10,256.0,0.11632101296961138,2,8.0,0.44764592911957574,20,346.0
110.0,-6.75,0,10,88,0.0,0.11363636363636363,37,0,27,9,46,0,353.0,9.54054054054054,2.0912419884914804,3,54.0,0.3878605002119269,6,70.0,0.12477700985039744,13,316.0,0.0020911306173382526,5,25.0,0.12298507018218215,27,465.0
115.0,-7.25,0,11,92,0.0,0.11956521739130435,41,0,29,11,52,0,483.0,11.78048780487805,2.4609509561219314,3,69.0,0.3793456554035214,4,82.0,0.3365835341753194,14,385.0,0.06264213724127365,8,59.0,0.0007969850316362488,29,595.0
120.0,-7.75,0,12,96,0.0,0.125,43,0,31,11,54,0,635.0,14.767441860465116,2.9915101842037917,5,91.0,0.45354349259190563,4,93.0,0.3238057789010603,14,455.0,0.0026224083511065233,8,101.0,0.2397508943312234,31,740.0
125.0,-7.5,0,13,100,0.0,0.13,45,0,30,11,56,0,709.0,15.755555555555556,2.519424666863687,6,117.0,0.248255053675216,1,79.0,0.27325409068797263,15,530.0,0.05904276789908731,8,141.0,0.23022407714362747,30,867.0
130.0,-7.5,0,13,104,0.0,0.125,46,0,30,11,57,0,693.0,15.065217391304348,1.6582845058473237,6,108.0,0.0531282747735502,2,31.0,0.3771603327107166,15,605.0,0.0014041966538529975,7,159.0,0.02977062854808408,30,903.0
135.0,-7.0,0,13,108,0.0,0.12037037037037036,49,0,28,11,60,0,801.0,16.346938775510203,4.074094907328025,6,71.0,0.2913596308602514,2,15.0,0.31825115951870503,16,687.0,0.14011958788414036,4,152.0,0.11160181224746836,28,925.0
140.0,-7.25,0,15,112,0.0,0.13392857142857142,51,0,29,13,64,0,797.0,15.627450980392156,3.744591037772614,8,106.0,0.29391223856553617,2,25.0,0.4439850598957224,14,695.0,0.1189960828743323,5,175.0,0.07340179157137809,29,1001.0
145.0,-8.25,0,15,116,0.0,0.12931034482758622,49,0,33,17,66,0,783.0,15.979591836734693,2.517726532045401,9,149.0,0.14062750331009863,3,37.0,0.37813602102096266,12,642.0,0.09913847756979258,9,214.0,0.210034879403467,33,1042.0
150.0,-7.0,0,18,120,0.0,0.15,50,0,28,18,68,0,673.0,13.46,1.9636511567630677,11,200.0,0.07293127281449391,3,52.0,0.249822182356248,8,607.0,0.08342011256335616,6,227.0,0.19685066618297561,28,1086.0
155.0,-6.25,0,18,124,0.0,0.14516129032258066,50,0,25,18,68,0,520.0,10.4,2.890777603833957,9,232.0,0.07443427247343985,5,72.0,0.16297432752730723,6,479.0,0.11989024569238244,5,224.0,0.09763643440057979,25,1007.0
160.0,-5.0,0,20,128,0.0,0.15625,52,0,20,18,70,0,320.0,6.153846153846154,3.9294138559498517,6,235.0,0.17828618304913774,2,61.0,0.06233451708310088,6,453.0,0.22553539494476324,6,200.0,0.04653267051997415,20,949.0
165.0,-3.25,0,21,132,0.0,0.1590909090909091,50,0,13,22,72,0,148.0,2.96,5.0062631696987765,4,214.0,0.21648624952007758,0,18.0,0.33195030867973035,7,401.0,0.19219456589370726,2,114.0,0.5407782099287896,13,747.0
170.0,-3.0,0,21,136,0.0,0.15441176470588236,51,0,12,24,75,0,68.0,1.3333333333333333,5.473892009736586,4,151.0,0.3378686593627796,0,11.0,0.6611090015440846,6,307.0,0.13243786174665076,2,72.0,0.48931504069238685,12,541.0
175.0,-4.0,0,22,140,0.0,0.15714285714285714,51,0,16,26,77,0,88.0,1.7254901960784315,4.193060254340553,2,112.0,0.3295377355982519,2,20.0,0.6469424762921961,6,223.0,0.12147039945434535,6,93.0,0.09457850843556095,16,448.0
180.0,-5.25,0,22,144,0.0,0.1527777777777778,50,0,21,28,78,0,111.0,2.22,3.8896720854522995,3,90.0,0.24967855454562685,2,28.0,0.47264047367629575,7,253.0,0.22200249392739757,9,104.0,0.030996430644983478,21,475.0
185.0,-6.5,0,22,148,0.0,0.14864864864864866,51,0,26,29,80,0,222.0,4.352941176470588,3.9541610968621517,5,100.0,0.2724935769780272,3,40.0,0.15207381938415737,11,304.0,0.15025334993456918,7,107.0,0.12976080010128976,26,551.0
190.0,-5.5,0,24,152,0.0,0.15789473684210525,52,0,22,31,83,0,244.0,4.6923076923076925,3.7359968762605402,2,71.0,0.5140835390665132,4,59.0,0.18360111885682748,12,300.0,0.055106241304719694,4,105.0,0.0431144889049538,22,535.0
195.0,-4.25,0,24,156,0.0,0.15384615384615385,51,0,17,35,86,0,236.0,4.627450980392157,5.333458032885149,0,16.0,0.6687507514160299,4,81.0,0.5053917953626983,11,297.0,0.05728260359024976,2,73.0,0.16811444907128723,17,467.0
200.0,-4.25,1,24,160,0.00625,0.15,49,0,17,38,87,0,228.0,4.653061224489796,4.21912893076277,2,21.0,0.3869808706197505,5,103.0,0.3735008762332092,6,285.0,0.0968027421616902,4,88.0,0.046605463178973204,17,497.0
205.0,-4.5,1,25,164,0.006097560975609756,0.1524390243902439,46,0,18,42,88,0,117.0,2.5434782608695654,4.018534208072164,3,34.0,0.31641965860241755,5,91.0,0.0839344512015907,4,191.0,0.24341053114911956,6,116.0,0.28460116004777036,18,432.0
210.0,-4.25,1,26,168,0.005952380952380952,0.15476190476190477,46,0,17,45,91,0,140.0,3.0434782608695654,3.6066669237356117,3,49.0,0.19870046751105291,3,53.0,0.2948422695336435,5,179.0,0.16608184154105343,6,148.0,0.370853439691265,17,429.0
215.0,-4.75,1,27,172,0.005813953488372093,0.1569767441860465,48,0,19,45,93,0,187.0,3.8958333333333335,3.3292746186453583,4,69.0,0.19811031855893932,2,56.0,0.33900460159186285,5,169.0,0.1435109764494887,8,181.0,0.2072074994638317,19,475.0
220.0,-5.25,1,27,176,0.005681818181818182,0.1534090909090909,49,0,21,45,94,0,208.0,4.244897959183674,3.36676814899489,4,89.0,0.22775023048332674,4,60.0,0.23774017406957812,5,149.0,0.14319146916988454,8,196.0,0.03785861151822938,21,494.0
