step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,4,1.0,0.0,3,0,0,0,3,0,0.0,0.0,13.141582720921392,0,0.0,0.9353932473865034,0,0.0,0.9900063103066844,0,0.0,0.9894071238112162,0,0.0,1.0,0,0.0
10.0,0.0,8,0,8,1.0,0.0,5,0,0,0,5,0,0.0,0.0,12.80192681889569,0,0.0,0.9715045597273679,0,0.0,0.9797752897951607,0,0.0,0.9595145157795081,0,0.0,1.0,0,0.0
15.0,0.0,12,0,12,1.0,0.0,7,0,0,0,7,0,0.0,0.0,10.057145022876787,0,0.0,0.7715500245816653,0,0.0,0.9864366342078315,0,0.0,0.15458317331940052,0,0.0,0.949508148794248,0,0.0
20.0,-0.5,16,0,16,1.0,0.0,8,0,2,0,8,0,9.0,1.125,9.907356391919818,1,4.0,0.7486711674276835,0,0.0,1.0,1,5.0,0.0,0,0.0,0.9523210573340342,2,9.0
25.0,-0.25,20,0,20,1.0,0.0,10,0,1,0,10,0,1.0,0.1,8.553791528610638,1,1.0,0.34575099237005313,0,0.0,0.9737784151162773,0,0.0,1.0,0,0.0,0.9130352566111829,1,1.0
30.0,-0.5,24,0,24,1.0,0.0,12,0,2,0,12,0,8.0,0.6666666666666666,10.551298437486162,2,8.0,0.3283368379363257,0,2.0,0.8673191366478861,0,0.0,0.9899179798612385,0,2.0,0.9058994319824394,2,12.0
35.0,0.0,28,0,28,1.0,0.0,15,0,0,0,15,0,0.0,0.0,11.92358800523163,0,5.0,0.6323546024873371,0,2.0,0.9310248962798682,0,0.0,0.9578322465588914,0,2.0,0.9317936284551556,0,9.0
40.0,-0.5,32,0,32,1.0,0.0,17,0,2,1,18,0,3.0,0.17647058823529413,9.4522939750004,0,0.0,0.6322742921581106,1,3.0,0.5467235291601505,0,2.0,0.871045706304971,1,4.0,0.6403932146806864,2,9.0
45.0,-0.25,36,0,36,1.0,0.0,21,0,1,2,23,0,5.0,0.23809523809523808,8.773555777309394,1,5.0,0.5203621412389902,0,6.0,0.6054969485148697,0,2.0,0.8606621498416122,0,0.0,0.8326452078748636,1,13.0
50.0,-1.5,40,0,40,1.0,0.0,22,0,6,2,24,0,22.0,1.0,7.246314050189204,3,15.0,0.3679711090420593,1,3.0,0.516679139390152,1,3.0,0.324673071661004,1,3.0,0.6207530165770527,6,24.0
55.0,-1.0,44,0,44,1.0,0.0,23,0,4,2,25,0,24.0,1.0434782608695652,6.666858374666596,1,19.0,0.2935277394098045,1,5.0,0.45846447076098007,2,10.0,0.10908713796561825,0,0.0,0.16411705040097813,4,34.0
60.0,-1.0,48,0,48,1.0,0.0,21,0,4,5,26,0,40.0,1.9047619047619047,9.676568126430572,2,22.0,0.30213387465331154,0,0.0,0.7567914211450467,2,22.0,0.5219301936006902,0,4.0,0.9400168424427455,4,48.0
65.0,-0.5,52,0,52,1.0,0.0,20,0,2,8,28,0,32.0,1.6,10.377570994196045,2,32.0,0.3271544668855061,0,0.0,0.9984800044793305,0,13.0,0.6981070450348732,0,4.0,0.9444051687574785,2,49.0
70.0,-0.75,56,0,56,1.0,0.0,19,0,3,9,28,0,43.0,2.263157894736842,9.016575910749422,2,42.0,0.21911016311809525,0,0.0,0.9706203872681554,0,0.0,0.6872037572566038,1,3.0,0.646483406581617,3,45.0
75.0,-0.75,60,0,60,1.0,0.0,21,0,3,10,31,0,5.0,0.23809523809523808,7.959398271671959,1,17.0,0.384043438249232,0,0.0,0.9467142412943873,2,3.0,0.3147022919731029,0,1.0,0.48174013725507087,3,21.0
80.0,-1.5,64,0,64,1.0,0.0,22,0,6,12,34,0,28.0,1.2727272727272727,8.44977697445856,1,7.0,0.6225400437705798,0,2.0,0.9030536410877746,2,13.0,0.4845086392831089,3,8.0,0.1594372801746236,6,30.0
85.0,-1.0,68,0,68,1.0,0.0,17,0,4,17,34,0,17.0,1.0,6.892660242149359,0,0.0,0.5854675047960896,1,3.0,0.5957124335566643,2,14.0,0.47152841112033034,1,12.0,0.17425153461048215,4,29.0
90.0,-1.0,72,0,72,1.0,0.0,17,0,4,19,36,0,32.0,1.8823529411764706,7.083306024937061,0,0.0,0.5114687800099493,2,10.0,0.29979960748980894,2,26.0,0.3871564189459605,0,0.0,1.0,4,36.0
