step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,2,0,0,0,2,0,0.0,0.0,12.669151457999758,0,0.0,1.0,0,0.0,0.9428154475326904,0,0.0,0.9341420501469508,0,0.0,1.0,0,0.0
10.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.547515776531565,0,0.0,0.9694228654049323,0,0.0,0.9474197187731311,0,0.0,0.9182970752405804,0,0.0,1.0,0,0.0
15.0,0.0,0,7,0,0,0,7,0,0.0,0.0,11.18381465105272,0,0.0,0.8264773416727794,0,0.0,0.25010564244480693,0,0.0,0.967672356958227,0,0.0,0.958462501063656,0,0.0
20.0,-0.015,0,9,0,2,0,9,0,6.0,0.6666666666666666,8.739917377105579,1,3.0,0.2650086961343641,1,3.0,0.631102341319343,0,0.0,0.9927905238514313,0,0.0,0.9964440607101726,2,6.0
25.0,0.004999999999999999,0,10,0,0,0,10,0,0.0,0.0,8.800824285309927,0,4.0,0.44015158173006563,0,0.0,0.9268512523358107,0,0.0,1.0,0,0.0,0.7542727162561569,0,4.0
30.0,-0.007500000000000001,0,13,0,1,0,13,0,3.0,0.23076923076923078,11.529806335469253,0,0.0,0.9394838443417043,0,0.0,0.9753306953355828,0,2.0,0.876770937407368,1,5.0,0.6507250077579319,1,7.0
35.0,-0.015,0,15,0,2,0,15,0,9.0,0.6,10.81658594674256,0,0.0,0.9323325881688828,0,0.0,0.9561223278989667,0,2.0,0.8414702128293979,2,11.0,0.5363973429500823,2,13.0
40.0,-0.04,0,19,0,5,0,19,0,25.0,1.3157894736842106,6.113473274697616,1,2.0,0.6195658258642173,0,0.0,0.7859706446969654,1,4.0,0.12784732516738082,3,23.0,0.08887621271753876,5,29.0
45.0,-0.0475,0,20,0,4,0,20,0,39.0,1.95,6.598424393426457,2,10.0,0.6012780162603214,0,0.0,0.733008752044653,0,6.0,0.17635346500585697,2,32.0,0.11926350145333092,4,48.0
50.0,0.0024999999999999953,0,23,0,3,1,24,0,40.0,1.7391304347826086,9.347946636464945,0,6.0,0.6140095724486145,1,1.0,0.7106859857686239,0,0.0,1.0,2,40.0,0.4616616292510965,3,47.0
55.0,0.04000000000000001,0,24,0,3,1,25,0,9.0,0.375,9.530086333917644,3,9.0,0.31875257173453697,0,0.0,0.9318847702797561,0,2.0,0.9039667838821229,0,20.0,0.728830980257902,3,31.0
60.0,0.0325,0,21,0,2,5,26,0,4.0,0.19047619047619047,7.43141131467185,2,15.0,0.217039241385625,0,0.0,0.5361670326013515,0,2.0,0.8850243436493853,0,1.0,0.3718090000922006,2,18.0
65.0,0.009999999999999998,0,22,0,1,7,29,0,4.0,0.18181818181818182,8.446371125875666,1,11.0,0.39247293981559184,0,2.0,0.8430530964937133,0,0.0,0.9601472998113639,0,1.0,0.14208004759047965,1,14.0
70.0,0.005000000000000001,0,24,0,1,10,34,0,9.0,0.375,11.957212710760151,1,9.0,0.6745187501013669,0,2.0,0.9343742558061019,0,0.0,0.9608926621627079,0,1.0,0.9155311287232919,1,12.0
75.0,0.0275,0,24,0,0,11,35,0,0.0,0.0,9.976623607343354,0,0.0,0.43266871221159114,0,0.0,0.7378079397027073,0,0.0,0.9490099697492044,0,1.0,0.854433686608607,0,1.0
80.0,-0.027500000000000004,0,22,0,3,14,36,0,9.0,0.4090909090909091,9.69872671080985,1,5.0,0.5726738284667452,1,2.0,0.654390703952509,0,2.0,0.9492954308276329,1,3.0,0.4901634716176153,3,12.0
85.0,-0.0125,0,21,0,3,16,37,0,12.0,0.5714285714285714,8.373169009518223,2,5.0,0.45729914183640724,1,7.0,0.005561628620032806,0,2.0,0.8941818347866618,0,3.0,0.4340457074797701,3,17.0
90.0,-0.0225,0,21,0,4,19,40,0,21.0,1.0,9.064197616615242,3,16.0,0.5163294755769641,0,5.0,0.7284662462015438,0,0.0,0.782176457624994,1,5.0,0.008469943582807683,4,26.0
95.0,0.0075000000000000015,0,21,0,1,22,43,0,1.0,0.047619047619047616,9.655212298397528,0,15.0,0.5530721563281384,0,2.0,0.9449173699940725,1,1.0,0.4970733644146284,0,5.0,0.6859675495553,1,23.0
100.0,0.019999999999999997,0,20,0,2,25,45,0,11.0,0.55,10.012972807076665,1,5.0,0.5100192639478752,0,0.0,1.0,1,8.0,0.7323185715187607,0,2.0,0.6795264320090895,2,15.0
105.0,-0.022499999999999992,0,21,0,6,26,47,0,22.0,1.0476190476190477,7.7329597700668815,5,21.0,0.216280953753445,0,0.0,1.0,1,3.0,0.7534166997632187,0,0.0,0.9097382797791889,6,24.0
110.0,-0.08250000000000002,0,20,0,8,28,48,0,57.0,2.85,7.041606759091695,7,51.0,0.10600044774075244,0,0.0,1.0,1,6.0,0.5427836394901441,0,0.0,1.0,8,57.0
115.0,-0.03999999999999999,0,20,0,5,31,51,0,54.0,2.7,6.820621316121636,5,70.0,0.1570037650268924,0,0.0,0.9704375318541985,0,3.0,0.42624492604469405,0,0.0,1.0,5,73.0
120.0,-0.025000000000000022,0,18,0,5,33,51,0,79.0,4.388888888888889,8.698387825716058,5,79.0,0.12485752393409177,0,0.0,0.9801021238405893,0,2.0,0.8098701952759533,0,2.0,0.9065983536172301,5,83.0
