step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,1,0,0,0,1,0,0.0,0.0,11.100888000000001,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0,1,0,0,0,1,0,0.0,0.0,10.250285185072304,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9233752457526193,0,0.0,1.0,0,0.0
15.0,0.0,0,3,0,0,0,3,0,0.0,0.0,12.311831084279326,0,0.0,1.0,0,0.0,0.9401884768680548,0,0.0,0.953964641331958,0,0.0,1.0,0,0.0
20.0,0.0,0,5,0,0,0,5,0,0.0,0.0,11.209183239911281,0,0.0,0.9615732590218592,0,0.0,0.9907323484606303,0,0.0,0.5044352832465783,0,0.0,1.0,0,0.0
25.0,-0.01,0,8,0,1,0,8,0,4.0,0.5,10.139928953999986,0,0.0,0.8697192322098277,0,0.0,0.9267674392120412,1,4.0,0.39575152659830554,0,0.0,0.9118610141784701,1,4.0
30.0,-0.024999999999999998,0,11,0,3,0,11,0,14.0,1.2727272727272727,8.906323125819519,1,1.0,0.6682804687126551,0,0.0,0.9320926675833049,2,13.0,0.36740851000140407,0,0.0,0.912848685889691,3,14.0
35.0,-0.045,0,12,0,4,0,12,0,32.0,2.6666666666666665,8.39441377664444,1,6.0,0.5809644939142858,0,0.0,1.0,3,26.0,0.40711444418445114,0,0.0,0.9323076027182368,4,32.0
40.0,-0.06,0,14,0,6,0,14,0,56.0,4.0,6.238225818078876,2,12.0,0.26943756439241673,0,0.0,0.9827129664209383,4,44.0,0.21152852976562594,0,0.0,0.9269505053018275,6,56.0
45.0,-0.09500000000000001,0,14,0,8,1,15,0,94.0,6.714285714285714,4.33421404063864,3,27.0,0.24290755815450543,0,0.0,0.7031522384733337,5,67.0,0.24935029846051388,0,0.0,0.021094726092257928,8,94.0
50.0,0.11000000000000003,0,16,0,4,1,17,0,17.0,1.0625,4.61592361088268,0,7.0,0.3197835296074349,1,2.0,0.24543162509132013,2,36.0,0.33953003629053485,1,5.0,0.47173814039349915,4,50.0
