step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,2,0,0,0,2,0,0.0,0.0,12.669151457999758,0,0.0,1.0,0,0.0,0.9428154475326904,0,0.0,0.9341420501469508,0,0.0,1.0,0,0.0
10.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.547515776531565,0,0.0,0.9694228654049323,0,0.0,0.9474197187731311,0,0.0,0.9182970752405804,0,0.0,1.0,0,0.0
15.0,0.0,0,7,0,0,0,7,0,0.0,0.0,11.18381465105272,0,0.0,0.8264773416727794,0,0.0,0.25010564244480693,0,0.0,0.967672356958227,0,0.0,0.958462501063656,0,0.0
20.0,-0.015,0,9,0,2,0,9,0,6.0,0.6666666666666666,8.739917377105579,1,3.0,0.2650086961343641,1,3.0,0.631102341319343,0,0.0,0.9927905238514313,0,0.0,0.9964440607101726,2,6.0
25.0,0.004999999999999999,0,10,0,0,0,10,0,0.0,0.0,8.800824285309927,0,4.0,0.44015158173006563,0,0.0,0.9268512523358107,0,0.0,1.0,0,0.0,0.7542727162561569,0,4.0
30.0,-0.007500000000000001,0,13,0,1,0,13,0,3.0,0.23076923076923078,11.529806335469253,0,0.0,0.9394838443417043,0,0.0,0.9753306953355828,0,2.0,0.876770937407368,1,5.0,0.6507250077579319,1,7.0
35.0,0.007500000000000001,0,15,0,0,0,15,0,0.0,0.0,11.416591354820195,0,0.0,0.9323325881688828,0,0.0,0.9561223278989667,0,2.0,0.8414702128293979,0,2.0,0.7240723793423824,0,4.0
40.0,-0.015,0,19,0,3,0,19,0,6.0,0.3157894736842105,7.428428235201307,1,2.0,0.6195658258642173,0,0.0,0.7859706446969654,1,4.0,0.12784732516738082,1,4.0,0.14811586104468305,3,10.0
45.0,-0.0225,0,20,0,2,0,20,0,10.0,0.5,8.00857012297915,2,10.0,0.6012780162603214,0,0.0,0.733008752044653,0,6.0,0.17635346500585697,0,3.0,0.23852700290666184,2,19.0
50.0,0.027499999999999997,0,21,0,1,3,24,0,1.0,0.047619047619047616,10.238227268509227,0,6.0,0.6140095724486145,1,1.0,0.7106859857686239,0,0.0,1.0,0,1.0,0.923323258502193,1,8.0
55.0,-0.009999999999999998,0,22,0,3,3,25,0,9.0,0.4090909090909091,10.041391365959162,3,9.0,0.31875257173453697,0,0.0,0.9318847702797561,0,2.0,0.9039667838821229,0,1.0,0.9143853056018889,3,12.0
60.0,-0.012499999999999999,0,19,0,2,7,26,0,4.0,0.21052631578947367,8.153524083233878,2,15.0,0.217039241385625,0,0.0,0.5361670326013515,0,2.0,0.8850243436493853,0,0.0,0.9484822582248992,2,17.0
65.0,0.009999999999999998,0,20,0,1,9,29,0,4.0,0.2,8.781004278584117,1,11.0,0.39247293981559184,0,2.0,0.8430530964937133,0,0.0,0.9601472998113639,0,0.0,0.047140046922514396,1,13.0
70.0,-0.0075,0,23,0,2,11,34,0,13.0,0.5652173913043478,11.384966943036014,1,9.0,0.6745187501013669,0,2.0,0.9343742558061019,0,0.0,0.9608926621627079,1,5.0,0.5936227494781962,2,16.0
75.0,0.0375,0,22,0,0,13,35,0,0.0,0.0,9.384860014559978,0,0.0,0.43266871221159114,0,0.0,0.7378079397027073,0,0.0,0.9490099697492044,0,1.0,0.8406673194612999,0,1.0
80.0,-0.020000000000000004,0,21,0,2,15,36,0,7.0,0.3333333333333333,10.744733202020512,1,5.0,0.5726738284667452,1,2.0,0.654390703952509,0,2.0,0.9492954308276329,0,0.0,0.9231106662731825,2,9.0
85.0,0.0025,0,22,0,3,15,37,0,6.0,0.2727272727272727,9.739881388900024,2,5.0,0.45729914183640724,1,1.0,0.18124058959600545,0,2.0,0.8941818347866618,0,0.0,0.9101169514677288,3,8.0
90.0,-0.045,0,20,0,4,20,40,0,22.0,1.1,10.50721785609338,3,16.0,0.5163294755769641,1,8.0,0.6652671468653889,0,0.0,0.782176457624994,0,2.0,0.9560972242183666,4,26.0
95.0,0.02,0,19,0,1,24,43,0,1.0,0.05263157894736842,9.723930673888,0,15.0,0.5530721563281384,0,2.0,0.9507826313998011,1,1.0,0.4970733644146284,0,0.0,0.8916665675220928,1,18.0
100.0,0.012499999999999997,0,20,0,2,25,45,0,11.0,0.55,10.42774287206325,1,5.0,0.5100192639478752,0,0.0,1.0,1,8.0,0.7323185715187607,0,0.0,0.8946053502070538,2,13.0
105.0,8.673617379884035e-19,0,19,0,4,28,47,0,8.0,0.42105263157894735,7.455801641965183,2,8.0,0.285781343800121,0,0.0,1.0,1,3.0,0.7534166997632187,1,2.0,0.0004370228769073131,4,13.0
110.0,-0.05,0,18,0,5,30,48,0,31.0,1.7222222222222223,8.00504432656418,3,18.0,0.2837596369759117,0,2.0,0.9394196016293141,1,6.0,0.5427836394901441,1,7.0,0.0,5,33.0
115.0,0.025,0,20,0,1,31,51,0,2.0,0.1,8.587833053390971,1,18.0,0.26269662774218694,0,2.0,0.9384703563547747,0,3.0,0.42624492604469405,0,0.0,1.0,1,23.0
120.0,0.019999999999999997,0,18,0,2,33,51,0,11.0,0.6111111111111112,10.897013326404597,2,11.0,0.3057994784927703,0,0.0,0.8996113787684648,0,2.0,0.8098701952759533,0,2.0,0.8859831495415649,2,15.0
