step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0.0,4,1.0,3,0,0,0,3,0,0.0,0.0,11.475453972242244,0,0.0,0.8245297919964742,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,8,0,0.0,8,1.0,6,0,0,0,6,0,0.0,0.0,12.514590320810584,0,0.0,0.9032695673285623,0,0.0,0.9811283315951417,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,12,0,0.0,12,1.0,7,0,0,0,7,0,0.0,0.0,10.620279958193565,0,0.0,0.7303825215738341,0,0.0,0.9740012439284026,0,0.0,0.9470894928254223,0,0.0,1.0,0,0.0
20.0,-0.5,16,0,0.0,16,1.0,13,0,2,0,13,0,5.0,0.38461538461538464,10.010484206554736,2,5.0,0.5525481920384362,0,0.0,0.9635336613850739,0,0.0,0.8083163314673127,0,0.0,0.9876032808037896,2,5.0
25.0,0.0,20,0,0.0,20,1.0,14,0,0,0,14,0,0.0,0.0,9.121338107168645,0,6.0,0.5808820823160492,0,0.0,0.9379877602539934,0,0.0,0.6708812649767435,0,0.0,0.921127985250457,0,6.0
30.0,-0.25,24,0,0.0,24,1.0,17,0,1,0,17,0,3.0,0.17647058823529413,10.476235099729806,0,0.0,0.8050669248325396,0,2.0,0.9406263587767993,1,3.0,0.4980855272740893,0,0.0,0.9341394017310388,1,5.0
35.0,-0.25,28,0,0.0,28,1.0,17,0,1,0,17,0,2.0,0.11764705882352941,9.220358176185979,0,0.0,0.7105346922437795,0,2.0,0.8676419752462566,1,3.0,0.11634805145138671,0,0.0,0.9424575153232919,1,5.0
40.0,-0.75,32,0,0.0,32,1.0,20,0,3,0,20,0,13.0,0.65,8.602008512990837,1,5.0,0.3843447788595221,1,3.0,0.6218597577577711,1,7.0,0.0,0,2.0,0.9307329580317593,3,17.0
45.0,-1.0,36,0,0.0,36,1.0,20,0,4,2,22,0,18.0,0.9,6.738124661939262,4,18.0,0.14513731577573652,0,1.0,0.4949420645314555,0,0.0,1.0,0,2.0,0.8723543671959368,4,21.0
50.0,-0.75,40,0,0.0,40,1.0,21,0,3,2,23,0,12.0,0.5714285714285714,7.668850622201856,2,23.0,0.09398513143457689,1,1.0,0.5800734468555903,0,0.0,1.0,0,2.0,0.44712461672050097,3,26.0
55.0,-1.25,44,0,0.0,44,1.0,21,0,5,3,24,0,23.0,1.0952380952380953,7.325874746452262,1,16.0,0.48915134006064537,1,2.0,0.20457021607044,0,2.0,0.8640433741732569,3,11.0,0.0014771521011896318,5,31.0
60.0,-0.25,48,0,0.0,47,0.9791666666666666,21,0,1,7,28,0,6.0,0.2857142857142857,9.539692531806256,0,0.0,0.9589918199639564,1,6.0,0.47636261903556665,0,2.0,0.8671518394317435,0,13.0,0.5823251452666458,1,21.0
65.0,0.0,52,0,0.0,51,0.9807692307692307,22,0,0,9,31,0,0.0,0.0,10.297291569314778,0,0.0,0.9361910077107836,0,2.0,0.7621342911770899,0,2.0,0.5614281354576932,0,2.0,0.8649282744184109,0,6.0
70.0,-1.25,56,0,0.0,55,0.9821428571428571,22,0,5,9,31,0,14.0,0.6363636363636364,8.075947946163843,0,0.0,0.5692377489246362,1,6.0,0.7789419524495866,3,9.0,0.2591693602881176,1,5.0,0.4153782484197401,5,20.0
75.0,-1.0,60,0,0.0,59,0.9833333333333333,24,0,4,10,34,0,13.0,0.5416666666666666,5.288536164277691,1,3.0,0.6325297034382977,1,6.0,0.25895280830701983,2,18.0,0.23093481625412204,0,4.0,0.15147745473987706,4,31.0
80.0,-1.5,64,0,0.0,63,0.984375,22,0,6,13,35,0,34.0,1.5454545454545454,8.542148020746502,1,8.0,0.6383105802531097,3,15.0,0.15798093425337478,2,18.0,0.4967556548180971,0,2.0,0.9073478721892835,6,43.0
85.0,-0.5,68,0,0.0,67,0.9852941176470589,24,0,2,13,37,0,15.0,0.625,8.450343223942694,2,15.0,0.05716230703122007,0,13.0,0.3849837102561142,0,8.0,0.5213234807939338,0,2.0,0.872946075719978,2,38.0
90.0,-0.25,72,0,0.0,71,0.9861111111111112,21,0,1,16,37,0,7.0,0.3333333333333333,10.654674602991818,1,10.0,0.12619987807897498,0,0.0,0.9159779688363322,0,0.0,0.766802042899025,0,2.0,0.875845113793141,1,12.0
95.0,-0.25,76,0,0.0,75,0.9868421052631579,18,0,1,21,39,0,12.0,0.6666666666666666,11.499170472553969,1,12.0,0.5,0,0.0,0.02584612887997995,0,2.0,0.9729399837079651,0,2.0,0.9154619824664338,1,16.0
100.0,-0.5,80,0,0.0,79,0.9875,18,0,2,24,42,0,6.0,0.3333333333333333,9.958658130319753,0,0.0,0.9749379279778413,1,5.0,0.47224909790746583,0,2.0,0.9425212649543478,1,3.0,0.43394908330313875,2,10.0
105.0,-0.5,84,0,0.0,83,0.9880952380952381,17,0,2,27,44,0,3.0,0.17647058823529413,8.124783283323133,0,0.0,0.9664655080805076,0,2.0,0.9197850599868711,1,4.0,0.31261171774795116,1,5.0,0.1176560446980014,2,11.0
110.0,-1.0,88,0,0.0,87,0.9886363636363636,19,0,4,28,47,0,16.0,0.8421052631578947,8.48142014974234,1,2.0,0.5729589393412144,0,2.0,0.9565752466270143,3,16.0,0.23143178273141235,0,3.0,0.6879938030964812,4,23.0
115.0,-1.0,92,0,0.0,91,0.9891304347826086,21,0,4,28,49,0,22.0,1.0476190476190477,8.121892261691661,3,15.0,0.3848399057627647,0,2.0,0.49774529090342884,1,15.0,0.5431979540651197,0,2.0,0.8764321617297046,4,34.0
120.0,-1.0,96,0,0.0,95,0.9895833333333334,22,0,4,30,52,0,28.0,1.2727272727272727,7.311442616722366,2,21.0,0.4745933218994944,1,7.0,0.0,1,12.0,0.5698459599562111,0,2.0,0.03297513704067376,4,42.0
125.0,-1.25,100,0,0.0,99,0.99,22,0,5,33,55,0,30.0,1.3636363636363635,7.924713587525113,3,22.0,0.4919739113116191,0,0.0,0.9360352061653434,0,3.0,0.7078546503722644,2,10.0,0.31445852914644845,5,35.0
130.0,-0.25,104,0,0.0,103,0.9903846153846154,22,0,1,35,57,0,3.0,0.13636363636363635,9.333873078594545,1,18.0,0.42270400230675803,0,0.0,0.9543153193202242,0,2.0,0.8780930040360365,0,8.0,0.7718115080303319,1,28.0
135.0,-0.75,108,0,0.0,107,0.9907407407407407,23,0,3,35,58,0,12.0,0.5217391304347826,8.925587688925583,2,10.0,0.238255699377768,1,4.0,0.7197461581168008,0,2.0,0.4946757537162201,0,2.0,0.8950135575284875,3,18.0
140.0,-0.75,112,0,0.0,111,0.9910714285714286,23,0,3,36,59,0,11.0,0.4782608695652174,6.931136668740408,0,5.0,0.41152336131229306,0,3.0,0.6417800655615664,3,13.0,0.3475307466601002,0,2.0,0.3238115473273642,3,23.0
145.0,-1.25,116,0,0.0,115,0.9913793103448276,23,0,5,38,61,0,14.0,0.6086956521739131,6.071610427530048,1,5.0,0.6322142904143746,1,4.0,0.47842009697779836,1,16.0,0.3906359078155674,2,10.0,0.32122060398981145,5,35.0
150.0,-1.0,120,0,0.0,118,0.9833333333333333,24,0,4,39,63,0,15.0,0.625,7.3754957973062965,0,0.0,0.6715776220234022,1,4.0,0.3030198572179878,2,12.0,0.5833682548296162,1,15.0,0.5177294587539744,4,31.0
155.0,-0.5,124,0,0.0,122,0.9838709677419355,25,0,2,39,64,0,6.0,0.24,9.511923031011817,1,5.0,0.5185680108428676,0,3.0,0.8398613518099429,0,7.0,0.5993806576930272,1,7.0,0.3691885682197684,2,22.0
160.0,-0.75,128,0,0.0,126,0.984375,27,0,3,41,68,0,5.0,0.18518518518518517,9.791961468723574,0,2.0,0.7518653530792165,1,4.0,0.7146473483445871,1,1.0,0.6536737200077484,1,10.0,0.39781186003026237,3,17.0
165.0,-1.0,132,0,0.0,130,0.9848484848484849,24,0,4,47,71,0,18.0,0.75,9.64535456451326,1,2.0,0.618597495845785,2,11.0,0.4780187218095562,0,2.0,0.9392826115861709,1,13.0,0.6522903731805559,4,28.0
170.0,-1.0,136,0,0.0,134,0.9852941176470589,22,0,4,50,72,0,16.0,0.7272727272727273,7.014289136137297,2,8.0,0.024318450138828898,2,10.0,0.4736818438029997,0,2.0,0.7059883550583832,0,2.0,0.4339322081355112,4,22.0
175.0,-1.5,140,0,0.0,138,0.9857142857142858,23,0,6,51,74,0,45.0,1.9565217391304348,7.956866946314929,3,22.0,0.25000640862198587,2,20.0,0.4787318914683369,1,5.0,0.36641702671282017,0,2.0,0.7404811434491964,6,49.0
180.0,-0.25,144,0,0.0,142,0.9861111111111112,20,0,1,54,74,0,1.0,0.05,7.56772119360012,0,17.0,0.44579409166789025,1,10.0,0.14916717062834345,0,2.0,0.29481751659543237,0,2.0,0.9798007800906499,1,31.0
185.0,-1.0,148,0,0.0,146,0.9864864864864865,19,0,4,56,75,0,15.0,0.7894736842105263,9.141712497265921,0,0.0,0.7931404778327151,4,17.0,0.31713752989513244,0,0.0,1.0,0,4.0,0.7011917712826325,4,21.0
190.0,-0.5,152,0,0.0,150,0.9868421052631579,15,0,2,60,75,0,12.0,0.8,8.454030523324306,0,0.0,0.9231848996770916,1,23.0,0.5031757442943534,0,0.0,1.0,1,9.0,0.49786877718951683,2,32.0
195.0,-0.5,156,0,0.0,154,0.9871794871794872,15,0,2,62,77,0,5.0,0.3333333333333333,7.517014744501557,0,0.0,0.49853324846536046,2,14.0,0.3785587019273486,0,0.0,1.0,0,5.0,0.6434730638495677,2,19.0
