step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,0.0,0,0.0,3,0,0,0,3,0,0.0,0.0,13.141582720921392,0,0.0,0.9353932473865034,0,0.0,0.9900063103066844,0,0.0,0.9894071238112162,0,0.0,1.0,0,0.0
10.0,0.0,0,0,0.0,0,0.0,5,0,0,0,5,0,0.0,0.0,12.80192681889569,0,0.0,0.9715045597273679,0,0.0,0.9797752897951607,0,0.0,0.9595145157795081,0,0.0,1.0,0,0.0
15.0,0.0,0,0,0.0,0,0.0,7,0,0,0,7,0,0.0,0.0,10.057145022876787,0,0.0,0.7715500245816653,0,0.0,0.9864366342078315,0,0.0,0.15458317331940052,0,0.0,0.949508148794248,0,0.0
20.0,-0.5,0,0,0.0,0,0.0,8,0,2,0,8,0,9.0,1.125,9.907356391919818,1,4.0,0.7486711674276835,0,0.0,1.0,1,5.0,0.0,0,0.0,0.9523210573340342,2,9.0
25.0,-0.75,0,0,0.0,0,0.0,10,0,3,0,10,0,20.0,2.0,8.00718964915234,2,10.0,0.2630110978718829,0,0.0,0.9737784151162773,1,10.0,0.6442436063826292,0,0.0,0.9130352566111829,3,20.0
30.0,-1.0,0,0,0.0,0,0.0,12,0,4,0,12,0,40.0,3.3333333333333335,8.701437927668914,3,25.0,0.23759621024768862,0,0.0,0.9322583255379442,1,15.0,0.7125024727029132,0,0.0,1.0,4,40.0
35.0,-1.0,0,0,0.0,0,0.0,15,0,4,0,15,0,60.0,4.0,8.636995261588241,3,40.0,0.24406827849759352,0,0.0,0.9860975564826817,1,20.0,0.6490683800955304,0,0.0,0.932002817156527,4,60.0
40.0,-1.75,0,0,0.0,0,0.0,17,0,7,1,18,0,90.0,5.294117647058823,6.727299247133214,4,59.0,0.3266108933773366,0,0.0,0.8981771623939269,3,31.0,0.26204573702977546,0,0.0,0.9821594472314311,7,90.0
45.0,-2.5,0,0,0.0,0,0.0,21,0,10,2,23,0,132.0,6.285714285714286,5.011311758665944,4,79.0,0.3241264905332465,1,1.0,0.670028185230084,5,52.0,0.21257733937695455,0,0.0,0.482898462623352,10,132.0
50.0,-1.75,0,0,0.0,0,0.0,22,0,7,2,24,0,40.0,1.8181818181818181,5.100725282586792,2,42.0,0.38685198419282907,2,8.0,0.46592030284491653,2,25.0,0.2020423422615126,1,3.0,0.38841926448306263,7,78.0
55.0,-2.5,0,0,0.0,0,0.0,23,0,10,2,25,0,82.0,3.5652173913043477,6.309858222963522,3,19.0,0.25066829243548366,4,25.0,0.48771602647906126,2,31.0,0.21597739205485467,1,9.0,0.7189698018458524,10,84.0
60.0,-3.0,0,0,0.0,0,0.0,24,0,12,2,26,0,139.0,5.791666666666667,6.19666078713984,3,34.0,0.23234916469593903,6,52.0,0.3905234397460204,2,41.0,0.0,1,14.0,0.7421653349791543,12,141.0
