method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate
cooperative,701,1800,360,1800.0,-1891.0,322.475,783.0,7.38632772008064,17.923076923076923,21.011111111111113,38.0,3.9602076162165156,12.371075571267028,682.0,641.0,0.0,1282.0,3,500,1440,0.0020833333333333,0.3472222222222222
cooperative,702,1800,360,1800.0,-2249.25,329.18333333333334,1013.0,6.441541434703918,15.348484848484848,24.991666666666667,53.0,3.6724939696778467,13.183867564890146,717.0,690.0,0.0,1380.0,15,613,1440,0.0104166666666666,0.4256944444444444
cooperative,703,1800,360,1800.0,-2517.0,383.2472222222222,1001.0,7.007179964812157,21.545454545454547,27.966666666666665,51.0,3.410856394092107,12.80805660492112,733.0,680.0,0.0,1360.0,19,599,1440,0.0131944444444444,0.4159722222222222
cooperative,704,1800,360,1800.0,-2369.5,384.7027777777778,1005.0,7.518263244321654,19.42,26.32777777777778,55.0,3.5820685881794154,13.141582720921392,723.0,658.0,0.0,1316.0,4,546,1440,0.0027777777777777,0.3791666666666666
cooperative,705,1800,360,1800.0,-2259.75,365.7888888888889,1288.0,7.462014167249914,25.630434782608692,25.108333333333334,48.0,3.6182269082009326,12.514590320810584,698.0,660.0,0.0,1320.0,5,556,1440,0.0034722222222222,0.3861111111111111
fixed,701,1800,360,1800.0,-875.5,202.99166666666667,873.0,8.106927175036217,30.103448275862068,9.727777777777778,25.0,6.511406250993499,12.876589708022353,682.0,658.0,0.0,1316.0,0,0,0,0.0,0.0
fixed,702,1800,360,1800.0,-983.25,223.92777777777778,811.0,8.217092730776459,28.0,10.925,32.0,6.351693539365296,13.183867564890146,717.0,698.0,0.0,1396.0,0,0,0,0.0,0.0
fixed,703,1800,360,1800.0,-1062.75,249.79722222222222,787.0,8.737747373423463,27.964285714285715,11.808333333333334,28.0,6.241369464516764,12.80805660492112,733.0,711.0,0.0,1422.0,0,0,0,0.0,0.0
fixed,704,1800,360,1800.0,-995.25,230.025,742.0,8.377434012313609,28.53846153846154,11.058333333333334,26.0,6.360992732341239,13.141582720921392,723.0,701.0,0.0,1402.0,0,0,0,0.0,0.0
fixed,705,1800,360,1800.0,-940.75,220.125,778.0,8.488116405540366,29.05,10.452777777777778,27.0,6.454850326291757,12.514590320810584,698.0,676.0,0.0,1352.0,0,0,0,0.0,0.0
independent,701,1800,360,1800.0,-1623.5,241.98055555555555,821.0,6.001038359119094,18.307692307692307,18.038888888888888,38.0,4.346116059143445,12.876589708022353,682.0,642.0,0.0,1284.0,8,383,1440,0.0055555555555555,0.2659722222222222
independent,702,1800,360,1800.0,-1786.0,262.06666666666666,949.0,5.946277517189347,16.946428571428573,19.844444444444445,41.0,4.198065052499008,13.183867564890146,717.0,682.0,0.0,1364.0,38,389,1440,0.0263888888888888,0.2701388888888889
independent,703,1800,360,1800.0,-1875.75,253.95555555555555,857.0,5.533567334554713,15.303571428571429,20.841666666666665,42.0,4.133973192125356,12.80805660492112,733.0,684.0,0.0,1368.0,30,425,1440,0.0208333333333333,0.2951388888888889
independent,704,1800,360,1800.0,-1948.0,283.6361111111111,1277.0,6.052738822098054,25.03921568627451,21.644444444444446,48.0,4.05785450609524,13.141582720921392,723.0,683.0,0.0,1366.0,12,418,1440,0.0083333333333333,0.2902777777777778
independent,705,1800,360,1800.0,-1810.0,281.0472222222222,1018.0,6.477294689391741,22.622222222222224,20.11111111111111,38.0,4.130096999567551,12.514590320810584,698.0,661.0,0.0,1322.0,58,389,1440,0.0402777777777777,0.2701388888888889
max_pressure,701,1800,360,1800.0,-349.75,22.43611111111111,129.0,1.0031340275834164,4.3,3.886111111111111,15.0,7.909088796036102,13.117204812670147,682.0,659.0,0.0,1318.0,1440,0,1440,1.0,0.0
max_pressure,702,1800,360,1800.0,-356.75,22.708333333333332,108.0,0.9678621376537252,4.611111111111111,3.963888888888889,14.0,7.981294328045632,13.183867564890146,717.0,701.0,0.0,1402.0,1440,0,1440,1.0,0.0
max_pressure,703,1800,360,1800.0,-378.25,24.758333333333333,113.0,1.0316441145960338,4.095238095238095,4.2027777777777775,13.0,8.00308040947373,12.80805660492112,733.0,714.0,0.0,1428.0,1440,0,1440,1.0,0.0
max_pressure,704,1800,360,1800.0,-402.5,25.883333333333333,141.0,1.0664072551767843,5.36,4.472222222222222,15.0,7.79291832470117,13.141582720921392,723.0,708.0,0.0,1416.0,1440,0,1440,1.0,0.0
max_pressure,705,1800,360,1800.0,-326.25,19.92222222222222,127.0,0.8660715855324507,4.703703703703703,3.625,14.0,8.18420882579059,12.514590320810584,698.0,683.0,0.0,1366.0,1440,0,1440,1.0,0.0
