method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour
cooperative,601,1800,360,1800.0,-16.542500000000004,3323.847222222222,10448.0,38.38571497669179,96.37777777777778,49.96111111111111,115.0,3.7058753742647417,14.10625506351654,686.0,589.0,0.0,1178.0
cooperative,602,1800,360,1800.0,-23.9625,2582.213888888889,10298.0,31.388345850258904,96.8095238095238,40.50277777777778,119.0,4.3604361387353405,13.663461004132731,701.0,601.0,0.0,1202.0
cooperative,603,1800,360,1800.0,-14.067499999999995,1979.7972222222222,6114.0,41.64631616728043,114.86111111111111,27.372222222222224,83.0,4.298701440278523,13.567594659564875,666.0,578.0,0.0,1156.0
cooperative,604,1800,360,1800.0,-8.819999999999997,640.0833333333334,3420.0,16.59492457514783,84.60606060606061,12.572222222222223,69.0,6.950541342339139,13.547515776531563,671.0,619.0,0.0,1238.0
cooperative,605,1800,360,1800.0,-36.357499999999995,3623.3805555555555,11785.0,40.43587862649778,103.17045454545456,50.55833333333333,143.0,3.803179404192541,13.21489970411091,648.0,527.0,0.0,1054.0
fixed,601,1800,360,1800.0,-1.2549999999999932,255.20277777777778,794.0,8.75263324404003,28.357142857142858,12.066666666666666,28.0,6.19148051129908,14.10625506351654,742.0,721.0,0.0,1442.0
fixed,602,1800,360,1800.0,-1.539999999999994,258.2388888888889,904.0,8.720392847573278,26.318181818181817,12.23611111111111,31.0,6.283874099545418,13.69573137256747,759.0,733.0,0.0,1466.0
fixed,603,1800,360,1800.0,-1.1624999999999936,223.7111111111111,715.0,8.277493198111426,26.692307692307693,10.713888888888889,26.0,6.3794419509707145,13.567594659564875,712.0,691.0,0.0,1382.0
fixed,604,1800,360,1800.0,-1.2149999999999952,207.35833333333332,688.0,8.222589933245299,28.666666666666668,10.061111111111112,25.0,6.43949237449799,13.547515776531563,679.0,657.0,0.0,1314.0
fixed,605,1800,360,1800.0,-1.2124999999999941,216.05,677.0,8.193739439295674,32.04761904761905,10.363888888888889,24.0,6.522967266657636,12.311831084279326,713.0,690.0,0.0,1380.0
independent,601,1800,360,1800.0,-27.677500000000002,3957.738888888889,10589.0,43.43471710865953,112.90322580645162,58.083333333333336,122.0,2.9501694641388667,14.10625506351654,693.0,597.0,0.0,1194.0
independent,602,1800,360,1800.0,-17.242499999999996,4316.447222222222,11248.0,46.640628157911245,92.1967213114754,61.666666666666664,117.0,2.7423775134889077,13.663461004132731,705.0,573.0,0.0,1146.0
independent,603,1800,360,1800.0,-37.974999999999994,4706.641666666666,18323.0,47.241843498392626,136.73880597014926,61.291666666666664,136.0,2.9737626495243363,13.567594659564875,622.0,498.0,0.0,996.0
independent,604,1800,360,1800.0,-24.657499999999995,2872.7305555555554,8373.0,39.16444948788062,96.24137931034484,42.06388888888889,99.0,3.883459699282986,13.547515776531563,642.0,538.0,0.0,1076.0
independent,605,1800,360,1800.0,-0.03249999999999863,6.913888888888889,140.0,0.34487258089109224,6.086956521739131,1.586111111111111,12.0,9.959277145085412,13.21489970411091,713.0,698.0,0.0,1396.0
