step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,1,0,0,0,1,0,0.0,0.0,14.287301758666144,0,0.0,1.0,0,0.0,0.9396213011317205,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,1,0,0,0,1,0,0.0,0.0,14.660414041428448,0,0.0,1.0,0,0.0,0.9641594717757814,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,3,0,0,0,3,0,0.0,0.0,10.148827907022145,0,0.0,1.0,0,0.0,0.5885707851212444,0,0.0,0.9617965689426365,0,0.0,1.0,0,0.0
20.0,-0.25,5,0,1,0,5,0,4.0,0.8,11.337541625713769,0,0.0,0.9794661285130812,1,4.0,0.4592959877134476,0,0.0,0.9405365885589194,0,0.0,1.0,1,4.0
25.0,-0.25,6,0,1,0,6,0,9.0,1.5,10.292723520166865,0,0.0,0.8020538712269447,1,9.0,0.4552406564685285,0,0.0,1.0,0,0.0,0.9273574770221823,1,9.0
30.0,-0.75,9,0,3,0,9,0,17.0,1.8888888888888888,7.182337385336258,1,1.0,0.5073256329159344,2,16.0,1.965854085326887e-05,0,0.0,0.9913753204453843,0,0.0,0.9947813024324503,3,17.0
35.0,-1.0,10,0,4,0,10,0,37.0,3.7,6.545890459719004,2,11.0,0.5402076568386938,2,26.0,0.0,0,0.0,0.9381723737976477,0,0.0,0.0590532407983073,4,37.0
40.0,-1.5,11,0,6,0,11,0,61.0,5.545454545454546,5.982655371137463,2,21.0,0.4321246023198832,2,36.0,0.31961189527419925,1,1.0,0.4677274567022573,1,3.0,1.1281051638682814e-05,6,61.0
45.0,-1.25,14,0,5,0,14,0,83.0,5.928571428571429,7.383377119043743,2,31.0,0.32824594643102634,2,46.0,0.5358162255476162,1,6.0,0.6038653047809523,0,0.0,1.0,5,83.0
50.0,-1.5,18,0,6,0,18,0,112.0,6.222222222222222,7.406357286375315,2,41.0,0.42322228987427,2,56.0,0.48944222513921976,2,15.0,0.5386655791847118,0,0.0,1.0,6,112.0
55.0,-2.0,18,0,8,0,18,0,134.0,7.444444444444445,4.118816455059778,2,51.0,0.2319827167877187,4,72.0,0.26536933752671804,2,11.0,0.2154289781863646,0,0.0,1.0,8,134.0
