step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,2,0,0,0,2,0,0.0,0.0,13.261213313598496,0,0.0,0.9339377586721268,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,5,0,0,0,5,0,0.0,0.0,14.695501593598712,0,0.0,0.9616147675693997,0,0.0,0.9947556969394249,0,0.0,0.9430925074505206,0,0.0,1.0,0,0.0
15.0,-0.25,5,0,1,0,5,0,1.0,0.2,10.400292202824984,1,1.0,0.46809865737154605,0,0.0,0.604806703148273,0,0.0,0.9006570804919604,0,0.0,1.0,1,1.0
20.0,-0.5,8,0,2,0,8,0,8.0,1.0,6.658801226929247,1,6.0,0.01559066728899399,1,2.0,0.48171559982036594,0,0.0,0.6640910109266017,0,0.0,1.0,2,8.0
25.0,-1.0,10,0,4,0,10,0,27.0,2.7,8.000715996965635,2,15.0,0.31522463738581175,1,7.0,0.476235310797379,1,5.0,0.6616606776873337,0,0.0,1.0,4,27.0
30.0,-1.0,12,0,4,0,12,0,40.0,3.3333333333333335,7.042288082067903,2,25.0,0.45901985436775106,2,15.0,1.2540179193438061e-05,0,0.0,0.6895417241948417,0,0.0,1.0,4,40.0
35.0,-1.25,13,0,5,0,13,0,61.0,4.6923076923076925,7.470238331071737,3,36.0,0.24490218143178896,2,25.0,0.0,0,0.0,0.7485996255699462,0,2.0,0.843923596867036,5,63.0
40.0,-1.5,12,0,6,1,13,0,87.0,7.25,5.607199198755436,3,51.0,0.08281270643980955,2,35.0,0.0,1,1.0,0.3694877343961578,0,2.0,0.8789367518651716,6,89.0
45.0,-1.75,18,0,7,1,19,0,90.0,5.0,5.587426170246472,2,37.0,0.5779809364330065,2,45.0,0.3230975223164705,2,8.0,0.33339832473434394,1,4.0,0.16822407233922398,7,94.0
50.0,-1.5,21,0,6,1,22,0,118.0,5.619047619047619,7.073467552927704,2,45.0,0.7394578844804707,2,57.0,0.5215142347908883,2,18.0,0.31903969979443053,0,2.0,0.09114714926118499,6,122.0
55.0,-2.0,25,0,8,1,26,0,151.0,6.04,7.29311263777841,3,57.0,0.5105380475516224,3,68.0,0.47440565348783553,2,28.0,0.381202752609503,0,0.0,0.44783412947124185,8,153.0
60.0,-2.25,29,0,9,1,30,0,131.0,4.517241379310345,6.887174352606965,2,37.0,0.43474439898437417,3,81.0,0.46896060337888823,3,42.0,0.15241057241323544,1,1.0,0.0007284141999082184,9,161.0
65.0,-1.75,28,0,7,3,31,0,108.0,3.857142857142857,6.656832928213432,2,14.0,0.30879198947170555,3,96.0,0.482705287433214,1,32.0,0.42432993290388976,1,6.0,0.0,7,148.0
70.0,-2.25,28,0,9,5,33,0,133.0,4.75,5.886818603665253,4,27.0,0.07113677573746635,4,112.0,0.14685225086834944,0,4.0,0.828679052667688,1,13.0,0.6162736101308587,9,156.0
75.0,-3.25,27,0,13,7,34,0,183.0,6.777777777777778,4.847391786664502,4,37.0,0.2445961371025516,6,138.0,0.2824841828857019,2,9.0,0.34697217550111215,1,18.0,0.6090522847777622,13,202.0
80.0,-2.75,28,0,11,7,35,0,83.0,2.9642857142857144,3.1246087487430856,1,35.0,0.24498371552996095,3,103.0,0.3978823413991441,5,31.0,0.0035783091111680036,2,24.0,0.09324982191517188,11,193.0
85.0,-2.25,30,0,9,7,37,0,78.0,2.6,5.457941345527088,2,17.0,0.41019793128679916,0,30.0,0.3444545280443222,3,46.0,0.3708567010658845,4,43.0,0.3748004326217999,9,136.0
90.0,-2.5,32,0,10,7,39,0,125.0,3.90625,5.41239449278611,3,29.0,0.10859560471407441,0,18.0,0.33669326045180037,3,51.0,0.4454377331526934,4,65.0,0.5482395882990972,10,163.0
95.0,-3.75,36,0,15,7,43,0,133.0,3.6944444444444446,4.568805281576385,6,53.0,0.13344212152023718,2,26.0,0.491490167107214,5,70.0,0.17551635608211955,2,48.0,0.33049269682660304,15,197.0
100.0,-3.75,37,0,15,7,44,0,145.0,3.918918918918919,4.885199070246192,3,60.0,0.31447534156254153,1,21.0,0.4705067452357364,7,102.0,0.1165713160256476,4,32.0,0.16506462047054543,15,215.0
105.0,-2.25,39,0,9,8,47,0,88.0,2.2564102564102564,6.5519297241589225,2,47.0,0.5332874766278968,1,11.0,0.505839053122443,4,99.0,0.08868328236274071,2,25.0,0.3787039266024272,9,182.0
110.0,-2.25,36,0,9,12,48,0,91.0,2.5277777777777777,7.619937000172777,3,54.0,0.43885250625485533,1,16.0,0.5613995110757604,2,55.0,0.20838353920634684,3,22.0,0.4472403313688184,9,147.0
115.0,-2.5,36,0,10,14,50,0,65.0,1.8055555555555556,5.353638041451943,1,31.0,0.24757315705397054,4,30.0,0.4067816946524376,3,67.0,0.17551149443204375,2,25.0,0.21238878240552453,10,153.0
120.0,-4.5,34,0,18,18,52,0,141.0,4.147058823529412,4.791192937197567,2,10.0,0.5997202915540203,7,57.0,0.0747535374214789,5,93.0,0.34981460209709214,4,28.0,0.0028495807794234906,18,188.0
125.0,-3.25,35,0,13,20,55,0,132.0,3.7714285714285714,4.7700299071573555,3,24.0,0.4296960545071969,6,65.0,0.029257458115034406,2,88.0,0.49495646365355156,2,31.0,0.0746354726359802,13,208.0
130.0,-2.75,35,0,11,22,57,0,152.0,4.3428571428571425,6.652501068697559,5,44.0,0.3978483903683461,3,64.0,0.17949195574777957,3,65.0,0.29200636604719316,0,13.0,0.46675751148597444,11,186.0
135.0,-2.25,36,0,9,23,59,0,127.0,3.5277777777777777,5.570025044756788,3,55.0,0.22720788083823423,1,53.0,0.23279768645792623,4,79.0,0.011345079123094926,1,16.0,0.00684184267830754,9,203.0
140.0,-4.0,33,0,16,29,62,0,193.0,5.848484848484849,5.783738974015536,5,62.0,0.22755213319242243,3,32.0,0.4760683671967831,6,110.0,0.2895365205728817,2,28.0,0.5548991347568654,16,232.0
145.0,-3.0,31,0,12,33,64,0,210.0,6.774193548387097,5.085531841162216,8,95.0,0.2443742579493203,0,25.0,0.3943557061071286,4,127.0,0.3419154017361744,0,16.0,0.6510511328549847,12,263.0
150.0,-3.75,32,0,15,33,65,0,276.0,8.625,5.4584170815201425,9,136.0,0.22333445830315013,2,5.0,0.01407111776524105,4,138.0,0.2179843798850707,0,0.0,0.5925204383549206,15,279.0
155.0,-4.0,36,0,16,33,69,0,258.0,7.166666666666667,5.448615905929894,7,138.0,0.17853380533822602,3,18.0,0.3974143870391017,4,158.0,0.1974022862649522,2,3.0,0.004872793362586192,16,317.0
160.0,-2.5,33,0,10,37,70,0,111.0,3.3636363636363638,5.603086815743891,4,107.0,0.21981179007124957,3,35.0,0.4498514831219847,1,109.0,0.2868774897911791,2,13.0,1.717343574268651e-05,10,264.0
165.0,-2.5,30,0,10,42,72,0,116.0,3.8666666666666667,5.043396310793243,6,132.0,0.12777558912376852,4,53.0,0.42746824892569163,0,25.0,0.42600700351282306,0,11.0,0.6472592530785434,10,221.0
