step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,7,0,0,0,7,0,0.0,0.0,13.089117604489179,0,0.0,0.8426835442440578,0,0.0,0.9557529723721427,0,0.0,0.9597682280618669,0,0.0,1.0,0,0.0
10.0,0.0,9,0,0,0,9,0,0.0,0.0,13.289268116848364,0,0.0,0.8830578113746282,0,0.0,0.9295676693258681,0,0.0,0.9356359846547133,0,0.0,1.0,0,0.0
15.0,-0.0075,10,0,2,0,10,0,3.0,0.3,5.050313369234391,1,2.0,0.3204880393339188,1,1.0,0.15705226735616148,0,0.0,0.5365938699774153,0,0.0,1.0,2,3.0
20.0,-0.0675,11,0,8,0,11,0,30.0,2.727272727272727,2.773658702887883,4,15.0,0.286339910193216,2,9.0,4.044195063627466e-05,2,6.0,0.0006799973594230729,0,0.0,1.0,8,30.0
25.0,-0.05000000000000001,14,0,5,0,14,0,34.0,2.4285714285714284,5.059409643864614,3,28.0,0.2770338922859178,0,6.0,0.606994350181311,2,16.0,0.31105125887389734,0,0.0,1.0,5,50.0
30.0,-0.020000000000000007,17,0,4,0,17,0,49.0,2.8823529411764706,8.70808305386944,2,28.0,0.47364840036623157,0,0.0,0.9154114833550298,2,28.0,0.5276400321483766,0,2.0,0.8910877655252898,4,58.0
35.0,-0.05249999999999999,18,0,7,0,18,0,75.0,4.166666666666667,7.947425132515431,4,38.0,0.32298766592497685,0,0.0,0.7898543383545001,3,39.0,0.5244204058783396,0,2.0,0.9072864683925546,7,79.0
40.0,-0.019999999999999987,21,0,6,0,21,0,62.0,2.9523809523809526,5.094471124595303,4,58.0,0.2728142866011415,2,4.0,0.32720813726031905,0,25.0,0.3239795003298384,0,0.0,1.0,6,87.0
45.0,-0.022500000000000017,24,0,7,0,24,0,89.0,3.7083333333333335,6.969006789003456,4,79.0,0.3581830087819443,0,4.0,0.5474339869276805,3,11.0,0.24897234872973711,0,2.0,0.9001484151176709,7,96.0
50.0,-0.054999999999999986,25,0,5,2,27,0,99.0,3.96,8.346020511513244,5,99.0,0.08389850369313441,0,0.0,0.9218990050669765,0,15.0,0.6204941792582404,0,4.0,0.9307606424830386,5,118.0
