step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0.0,4,0,0.0,4,1.0,3,0,0,0,3,0,0.0,0.0,10.719968948189816,0,0.0,0.9304403458085196,0,0.0,0.7764796223217532,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0.0,8,0,0.0,8,1.0,4,0,0,0,4,0,0.0,0.0,12.377026644627541,0,0.0,0.9933528056058806,0,0.0,0.8816836621130371,0,0.0,0.9609749404978816,0,0.0,1.0,0,0.0
15.0,-0.25,-0.05000000000000001,12,0,0.0,12,1.0,5,0,1,0,5,0,2.0,0.4,10.707231444196838,1,2.0,0.00042362333125280793,0,0.0,0.9731762937578115,0,0.0,0.9732838431391643,0,0.0,1.0,1,2.0
20.0,0.0,-0.05000000000000001,16,0,0.0,16,1.0,7,0,0,0,7,0,0.0,0.0,10.710178007741716,0,0.0,0.9459986081216382,0,0.0,0.975998525315904,0,0.0,0.6587889730369323,0,0.0,0.8819663232860789,0,0.0
25.0,-0.25,-0.10000000000000002,20,0,0.0,20,1.0,9,0,1,0,9,0,2.0,0.2222222222222222,11.60615937213143,0,0.0,0.9509453613460457,0,2.0,0.9210256648644511,1,2.0,0.64687120104214,0,0.0,0.9314469899229221,1,4.0
30.0,0.0,-0.10000000000000002,24,0,0.0,24,1.0,10,0,0,0,10,0,0.0,0.0,10.317965895999155,0,0.0,0.6535600670054358,0,2.0,0.969825264938241,0,0.0,0.7261401579571903,0,0.0,0.8068217896195922,0,2.0
35.0,-0.75,-0.25,28,0,0.0,28,1.0,15,0,3,0,15,0,7.0,0.4666666666666667,9.959617838447697,2,6.0,0.6304896827721124,1,3.0,0.005724068888776822,0,0.0,0.9316380388468747,0,2.0,0.9595178118323787,3,11.0
40.0,0.0,-0.25,32,0,0.0,32,1.0,19,0,0,0,19,0,0.0,0.0,11.030894371702606,0,4.0,0.7571280854731732,0,0.0,1.0,0,0.0,0.9764323021368183,0,2.0,0.8615080435441324,0,6.0
45.0,-0.5,-0.35,36,0,0.0,36,1.0,20,0,2,2,22,0,3.0,0.15,9.395836763079199,1,2.0,0.5766476521660114,0,0.0,0.8747479915082721,0,2.0,0.911182139187888,1,3.0,0.2596347299487953,2,7.0
50.0,-0.25,-0.39999999999999997,40,0,0.0,40,1.0,24,0,1,3,27,0,2.0,0.08333333333333333,8.376923906523677,1,4.0,0.38788970715725163,0,0.0,0.834669461924245,0,2.0,0.8002864218816234,0,5.0,0.5059812854924381,1,11.0
55.0,-1.0,-0.5999999999999999,44,0,0.0,44,1.0,25,0,4,4,29,0,16.0,0.64,8.28287589412846,1,7.0,0.6072709514766913,1,5.0,0.602252073057125,2,8.0,0.42116675458766445,0,0.0,0.8648395439937357,4,20.0
60.0,-1.0,-0.7999999999999998,48,0,0.0,48,1.0,27,0,4,4,31,0,17.0,0.6296296296296297,7.113507499959703,0,0.0,0.6992138954695172,1,8.0,0.47251198567069563,3,17.0,0.20897107124994166,0,0.0,1.0,4,25.0
