method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,episode,network,experiment_tag,epsilon,coordination,q_states,guided_actions,random_actions,greedy_actions,pressure_overrides
cooperative,501,1800,360,1800.0,-6416.0,214.04722222222222,677.0,4.946579324695384,16.86111111111111,17.822222222222223,52.0,4.8500640738550125,13.960149932202429,762.0,714.0,0.0,1428.0,1,2x2,compact_v2,0.35,0.5,329,415,154,871,105
cooperative,502,1800,360,1800.0,-6050.0,237.39444444444445,953.0,6.345301486564899,20.27659574468085,16.805555555555557,37.0,4.589768823235603,13.289268116848364,675.0,628.0,0.0,1256.0,2,2x2,compact_v2,0.322,0.5,387,316,141,983,137
cooperative,503,1800,360,1800.0,-8000.0,295.2944444444444,738.0,6.2481402734561815,15.61111111111111,22.22222222222222,41.0,3.9743305268975218,14.695501593598712,749.0,685.0,0.0,1370.0,3,2x2,compact_v2,0.29624,0.5,427,303,120,1017,238
cooperative,504,1800,360,1800.0,-7543.0,279.125,710.0,6.275793403224492,15.434782608695652,20.95277777777778,40.0,4.1309550549555185,15.649076697579979,699.0,656.0,0.0,1312.0,4,2x2,compact_v2,0.2725408,0.5,444,285,119,1036,254
cooperative,505,1800,360,1800.0,-10037.0,381.40555555555557,1491.0,6.859187629858168,21.926470588235293,27.880555555555556,50.0,3.405874635133738,12.659540412851452,746.0,680.0,0.0,1360.0,5,2x2,compact_v2,0.25073753600000004,0.5,479,275,109,1056,338
cooperative,506,1800,360,1800.0,-9945.0,381.4138888888889,1065.0,6.726663914772634,16.666666666666668,27.625,51.0,3.593713885915024,13.6842741341352,742.0,677.0,0.0,1354.0,6,2x2,compact_v2,0.23067853312000006,0.5,538,230,96,1114,339
cooperative,507,1800,360,1800.0,-10225.0,421.1333333333333,1098.0,7.5994844330081905,21.115384615384617,28.40277777777778,57.0,3.4370849543014503,14.149368170118683,740.0,673.0,0.0,1346.0,7,2x2,compact_v2,0.21222425047040006,0.5,550,209,107,1124,385
cooperative,508,1800,360,1800.0,-10174.0,413.40555555555557,1177.0,7.626432271215705,18.574468085106382,28.261111111111113,55.0,3.356731203547008,11.548278995632595,707.0,641.0,0.0,1282.0,8,2x2,compact_v2,0.19524631043276805,0.5,566,209,87,1144,400
cooperative,509,1800,360,1800.0,-10100.0,381.4861111111111,1071.0,6.879144099049911,19.833333333333332,28.055555555555557,54.0,3.483803890498586,13.892634780046667,728.0,678.0,0.0,1356.0,9,2x2,compact_v2,0.1796266055981466,0.5,574,181,93,1166,387
cooperative,510,1800,360,1800.0,-10701.0,415.84444444444443,1052.0,7.202913287758018,15.523809523809524,29.725,58.0,3.3300381805045762,13.503437113334224,722.0,653.0,0.0,1306.0,10,2x2,compact_v2,0.1652564771502949,0.5,585,159,84,1197,400
cooperative,511,1800,360,1800.0,-10558.0,458.0833333333333,1177.0,8.164782814217524,20.98148148148148,29.32777777777778,50.0,3.2713193289590623,12.832036115163259,718.0,658.0,0.0,1316.0,11,2x2,compact_v2,0.15203595897827132,0.5,589,156,68,1216,399
cooperative,512,1800,360,1800.0,-10036.0,386.5888888888889,944.0,7.051313922621919,17.26923076923077,27.877777777777776,55.0,3.467614330132163,12.45444062070574,720.0,665.0,0.0,1330.0,12,2x2,compact_v2,0.13987308226000963,0.5,593,144,69,1227,430
cooperative,513,1800,360,1800.0,-8964.0,348.05833333333334,913.0,6.999945419429276,17.352941176470587,24.9,49.0,3.7020150231227054,13.001209803502713,714.0,659.0,0.0,1318.0,13,2x2,compact_v2,0.12868323567920886,0.5,596,131,67,1242,405
cooperative,514,1800,360,1800.0,-10451.0,393.675,1470.0,6.933417225414791,22.272727272727273,29.030555555555555,60.0,3.3729848254014376,12.590097133263942,716.0,666.0,0.0,1332.0,14,2x2,compact_v2,0.11838857682487215,0.5,601,107,43,1290,483
cooperative,515,1800,360,1800.0,-12445.0,473.0444444444444,1708.0,7.339406772792515,27.360655737704917,34.56944444444444,60.0,2.901540487567841,14.275795696234715,733.0,656.0,0.0,1312.0,15,2x2,compact_v2,0.10891749067888239,0.5,618,96,47,1297,448
cooperative,516,1800,360,1800.0,-10774.0,428.19166666666666,1100.0,7.607828423500521,20.71875,29.927777777777777,63.0,3.203704761984914,14.751033862458582,721.0,662.0,0.0,1324.0,16,2x2,compact_v2,0.1002040914245718,0.5,621,94,34,1312,455
cooperative,517,1800,360,1800.0,-10635.0,445.61944444444447,1313.0,8.14591107508579,24.22222222222222,29.541666666666668,52.0,3.122091625696771,13.88735888671017,681.0,611.0,0.0,1222.0,17,2x2,compact_v2,0.09218776411060606,0.5,623,68,37,1335,436
cooperative,518,1800,360,1800.0,-12782.0,473.81944444444446,1229.0,7.12828896337727,18.073529411764707,35.50555555555555,68.0,2.877800695378598,12.470379620892693,753.0,683.0,0.0,1366.0,18,2x2,compact_v2,0.08481274298175757,0.5,627,92,36,1312,491
cooperative,519,1800,360,1800.0,-10480.0,390.9111111111111,956.0,7.066288624990916,17.9,29.11111111111111,53.0,3.343975991820266,14.660414041428448,718.0,659.0,0.0,1318.0,19,2x2,compact_v2,0.07802772354321698,0.5,631,82,30,1328,455
