method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,episode,expert_episode,epsilon,replay_size,gradient_step,mean_loss,mean_td_loss,mean_imitation_loss,shield_rate,expert_agreement_rate,exploratory_actions,device
shared_dqn_expert,801,1800,360,1800.0,-91.50000000000006,30.569444444444443,131.0,1.145146435360946,4.956521739130435,5.083333333333333,15.0,7.5734222617211575,13.68442271253786,775.0,753.0,0.0,1506.0,1,True,0.0,1440,111,0.1501065668490556,0.0059284651043682215,0.9611873068251051,0.5090277777777777,1.0,0,cpu
shared_dqn_expert,802,1800,360,1800.0,-78.59999999999978,25.477777777777778,112.0,1.096301361641643,6.066666666666666,4.366666666666666,11.0,7.6663132912893746,13.118976559055262,705.0,681.0,0.0,1362.0,2,True,0.0,2880,471,0.04304325113900834,0.00753748124698177,0.23670512314678893,0.015277777777777777,1.0,0,cpu
shared_dqn_expert,803,1800,360,1800.0,-78.04999999999984,24.491666666666667,113.0,1.0064248820907156,3.84,4.336111111111111,15.0,7.808412560346154,13.192796391865093,715.0,682.0,0.0,1364.0,3,True,0.0,4320,831,0.0075718850537668915,0.00392137894135279,0.024336706339899036,0.0,1.0,0,cpu
shared_dqn_expert,804,1800,360,1800.0,-72.05000000000004,22.67222222222222,116.0,1.010194219111539,5.043478260869565,4.002777777777778,12.0,7.997666457595031,12.731339368613058,686.0,661.0,0.0,1322.0,4,True,0.0,5760,1191,0.007098187279835758,0.005385067587162161,0.011420797554698462,0.001388888888888889,1.0,0,cpu
shared_dqn_expert,805,1800,360,1800.0,-78.09999999999997,25.038888888888888,95.0,1.05532444423901,4.45,4.338888888888889,13.0,7.810665282035859,13.525494779855029,708.0,684.0,0.0,1368.0,5,True,0.0,7200,1551,0.005976567297087361,0.0051207355537270715,0.005705544699190391,0.0,1.0,0,cpu
shared_dqn,806,1800,360,1800.0,-128.14999999999984,49.861111111111114,218.0,1.68471241056929,6.606060606060606,7.1194444444444445,18.0,6.8973839280285105,13.230409942822321,771.0,741.0,0.0,1482.0,6,False,0.14329866666666666,8640,1911,0.02412452719096715,0.019705412001995784,0.029460766504053028,0.07569444444444444,0.9375,217,cpu
shared_dqn,807,1800,360,1800.0,-94.59999999999998,36.425,237.0,1.4696886780292497,8.172413793103448,5.2555555555555555,17.0,7.429133075482526,13.491395925151618,703.0,676.0,0.0,1352.0,7,False,0.13657866666666665,10080,2271,0.03618213412765828,0.026413081689841217,0.06512701417215996,0.05625,0.9416666666666667,204,cpu
shared_dqn,808,1800,360,1800.0,-97.29999999999988,35.18611111111111,168.0,1.3630953837705857,7.7894736842105265,5.405555555555556,18.0,7.44575125218859,13.45157570121974,750.0,723.0,0.0,1446.0,8,False,0.12985866666666668,11520,2631,0.05152459534195562,0.03220672401237405,0.12878580418311888,0.05694444444444444,0.9395833333333333,190,cpu
shared_dqn,809,1800,360,1800.0,-103.49999999999997,39.43333333333333,183.0,1.4766088192087163,5.928571428571429,5.75,19.0,7.284834839552837,13.510781415901633,724.0,694.0,0.0,1388.0,9,False,0.12313866666666666,12960,2991,0.05597755061462521,0.03370073183905333,0.14851212015168536,0.06111111111111111,0.9388888888888889,222,cpu
shared_dqn,810,1800,360,1800.0,-97.35,35.166666666666664,154.0,1.360982902590943,7.533333333333333,5.408333333333333,19.0,7.420862941864332,13.601213190187417,726.0,704.0,0.0,1408.0,10,False,0.11641866666666667,14400,3351,0.05492017836206489,0.031308935719749166,0.15740827655212747,0.04513888888888889,0.9520833333333333,184,cpu
shared_dqn,811,1800,360,1800.0,-108.60000000000021,42.236111111111114,151.0,1.600923159122485,5.782608695652174,6.033333333333333,15.0,7.1950969671062035,12.339287282036711,762.0,739.0,0.0,1478.0,11,False,0.10969866666666667,15840,3711,0.056272577825519775,0.03141351578912387,0.16572707396828465,0.05138888888888889,0.9423611111111111,170,cpu
