step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,0.0,0,0.0,0.0,0,4,0,0,0,4,0,0.0,0.0,13.186369464917744,0,0.0,0.9419201679488659,0,0.0,1.0,0,0.0,0.9437172529390556,0,0.0,1.0,0,0.0
10.0,0.0,0,0,0.0,0,0.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.66080818065729,0,0.0,0.9690913585761228,0,0.0,1.0,0,0.0,0.9648526583021928,0,0.0,1.0,0,0.0
15.0,0.0,0,0,0.0,0,0.0,0.0,0,8,0,0,0,8,0,0.0,0.0,10.501325226900263,0,0.0,0.6820703250919619,0,0.0,0.9201191878620445,0,0.0,0.6415390483961376,0,0.0,1.0,0,0.0
20.0,-0.75,0,0,0.0,0,0.0,0.0,0,9,0,3,0,9,0,10.0,1.1111111111111112,9.448205845730241,2,5.0,0.48457836236026136,0,0.0,0.9757109541044235,1,5.0,0.7348443862667844,0,0.0,1.0,3,10.0
25.0,-0.75,0,0,0.0,0,0.0,0.0,0,10,0,3,0,10,0,25.0,2.5,7.994835736520381,2,15.0,0.4154864131254833,0,0.0,1.0,1,10.0,0.47445252213367284,0,0.0,0.9602748784362802,3,25.0
30.0,-1.25,0,0,0.0,0,0.0,0.0,0,11,0,5,0,11,0,46.0,4.181818181818182,7.4124026570684824,3,26.0,0.0004186751895347033,0,0.0,1.0,2,20.0,0.5647310674964814,0,0.0,0.9941403039328539,5,46.0
35.0,-1.25,0,0,0.0,0,0.0,0.0,0,12,0,5,1,13,0,71.0,5.916666666666667,6.984151860090775,3,41.0,0.0,0,0.0,1.0,2,30.0,0.5397592367630645,0,0.0,1.0,5,71.0
40.0,-1.75,0,0,0.0,0,0.0,0.0,0,15,0,7,2,17,0,102.0,6.8,6.6188266779793725,3,56.0,0.4897927083015133,0,0.0,1.0,4,46.0,0.34754561557114455,0,0.0,1.0,7,102.0
45.0,-2.25,0,0,0.0,0,0.0,0.0,0,15,0,9,3,18,0,144.0,9.6,4.565588901877382,3,71.0,0.45396780424855804,0,0.0,1.0,6,73.0,0.12915071449696608,0,0.0,1.0,9,144.0
50.0,-0.75,0,0,0.0,0,0.0,0.0,0,16,0,3,3,19,0,16.0,1.0,4.853765973918417,0,18.0,0.20563148218177058,0,0.0,0.7927704945733516,3,41.0,0.22067603552644957,0,0.0,0.6337864427269017,3,59.0
55.0,-0.75,0,0,0.0,0,0.0,0.0,0,19,0,3,3,22,0,23.0,1.2105263157894737,9.261241948806159,2,6.0,0.4866954518655266,0,1.0,0.787772851734398,1,28.0,0.4833584415016248,0,1.0,0.9234669425149158,3,36.0
60.0,-1.0,0,0,0.0,0,0.0,0.0,0,20,0,4,3,23,0,40.0,2.0,10.259922625600261,2,16.0,0.5213642264933236,1,3.0,0.7065013511752615,1,22.0,0.5735699623501166,0,1.0,0.8804553600611136,4,42.0
65.0,-1.25,0,0,0.0,0,0.0,0.0,0,22,0,5,3,25,0,61.0,2.772727272727273,9.466350036024568,3,27.0,0.34738321428052427,1,7.0,0.38724728053270596,1,27.0,0.48066288238064736,0,0.0,0.8378018785922606,5,61.0
70.0,-1.5,0,0,0.0,0,0.0,0.0,0,23,0,6,3,26,0,89.0,3.869565217391304,8.877904266747253,4,45.0,0.16032936118793764,1,12.0,0.0,1,32.0,0.6163929135445779,0,0.0,0.9270085713913119,6,89.0
75.0,-1.75,0,0,0.0,0,0.0,0.0,0,21,0,7,7,28,0,124.0,5.904761904761905,8.734772156763766,5,70.0,0.16666666666666666,1,17.0,0.0,1,37.0,0.6419335232591701,0,0.0,0.9577468384414949,7,124.0
80.0,-1.75,0,0,0.0,0,0.0,0.0,0,16,0,7,12,28,0,159.0,9.9375,7.588539605400625,5,95.0,0.15291061498094025,1,22.0,0.4623113493265654,1,42.0,0.4982725641522671,0,0.0,0.9630048196090879,7,159.0
85.0,-2.0,0,0,0.0,0,0.0,0.0,0,15,0,8,15,30,0,195.0,13.0,4.884041290883649,6,121.0,0.129026127499054,1,27.0,0.45866022650706734,1,47.0,0.326134767584262,0,0.0,0.831703404827735,8,195.0
90.0,-2.5,0,0,0.0,0,0.0,0.0,0,18,0,10,16,34,0,241.0,13.38888888888889,4.702156448353513,6,151.0,0.24568808334783312,1,32.0,0.5308931890932679,2,57.0,0.48666515309057745,1,1.0,0.036566222861917325,10,241.0
95.0,-1.5,0,0,0.0,0,0.0,0.0,0,19,0,6,16,35,0,36.0,1.894736842105263,5.765178201928073,2,90.0,0.34030821653804383,1,5.0,0.6300927263831343,1,10.0,0.4522468756587075,2,9.0,0.1955927234753129,6,114.0
100.0,-1.25,0,0,0.0,0,0.0,0.0,0,19,0,5,16,35,0,48.0,2.526315789473684,6.800595098748724,0,37.0,0.3315310443445893,1,10.0,0.0,2,20.0,0.500947562802534,2,19.0,0.5675665557628997,5,86.0
105.0,-1.75,0,0,0.0,0,0.0,0.0,0,21,0,7,16,37,0,80.0,3.8095238095238093,8.55721104004577,1,5.0,0.647109793950608,1,15.0,0.0,3,32.0,0.5601139764406341,2,29.0,0.48226705119624114,7,81.0
