step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0.0,4,1.0,0.0,0,4,0,0,0,4,0,0.0,0.0,13.186369464917744,0,0.0,0.9419201679488659,0,0.0,1.0,0,0.0,0.9437172529390556,0,0.0,1.0,0,0.0
10.0,0.0,8,0,0.0,8,1.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.66080818065729,0,0.0,0.9690913585761228,0,0.0,1.0,0,0.0,0.9648526583021928,0,0.0,1.0,0,0.0
15.0,0.0,12,0,0.0,8,0.6666666666666666,0.0,0,8,0,0,0,8,0,0.0,0.0,12.153964676832901,0,0.0,0.7901181948442875,0,0.0,0.9176290685756571,0,0.0,0.9356494292090209,0,0.0,0.7681424323711746,0,0.0
20.0,-0.25,16,0,0.0,12,0.75,0.0,0,9,0,1,0,9,0,2.0,0.2222222222222222,12.136323355063247,1,2.0,0.6469475791651416,0,0.0,0.9627111803767759,0,0.0,0.912853027300293,0,0.0,0.9676664798323672,1,2.0
25.0,-0.5,20,0,0.0,16,0.8,0.0,0,10,0,2,0,10,0,3.0,0.3,9.38692070290718,0,0.0,0.7770850314676963,1,1.0,0.6227678731491797,1,2.0,0.49945253094485736,0,0.0,0.9195558559508773,2,3.0
30.0,0.0,24,0,0.0,20,0.8333333333333334,0.0,0,11,0,0,0,11,0,0.0,0.0,9.40177909970706,0,0.0,0.014941976473310518,0,0.0,0.1717480163066405,0,2.0,0.9247723271200136,0,0.0,0.9409814128784771,0,2.0
35.0,-0.25,28,0,0.0,23,0.8214285714285714,0.0,0,13,0,1,0,13,0,4.0,0.3076923076923077,11.048727910152879,0,0.0,1.0,1,4.0,9.748855470243223e-06,0,2.0,0.799919327239763,0,2.0,0.9156650660102328,1,8.0
40.0,-0.25,32,0,0.0,26,0.8125,0.0,0,15,0,1,2,17,0,1.0,0.06666666666666667,10.837150849732517,0,0.0,0.9874142289533904,0,2.0,0.9577821014616444,1,3.0,0.5709359159344316,0,2.0,0.9234563378845297,1,7.0
45.0,-0.75,36,0,0.0,29,0.8055555555555556,0.0,0,15,0,3,3,18,0,11.0,0.7333333333333333,10.665063056494521,0,0.0,0.9402944910651542,0,2.0,0.9720449328985944,2,12.0,0.403537328987166,1,3.0,0.6746475820323363,3,17.0
50.0,0.0,40,0,0.0,32,0.8,0.0,0,15,0,0,4,19,0,0.0,0.0,9.418476269570577,0,0.0,0.1432983660636647,0,0.0,0.943488236397555,0,7.0,0.6247246220285421,0,0.0,0.896392730467021,0,7.0
