step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0.0,4,1.0,0.0,0,4,0,0,0,4,0,0.0,0.0,13.186369464917744,0,0.0,0.9419201679488659,0,0.0,1.0,0,0.0,0.9437172529390556,0,0.0,1.0,0,0.0
10.0,0.0,8,0,0.0,8,1.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.66080818065729,0,0.0,0.9690913585761228,0,0.0,1.0,0,0.0,0.9648526583021928,0,0.0,1.0,0,0.0
15.0,0.0,12,0,0.0,12,1.0,0.0,0,8,0,0,0,8,0,0.0,0.0,10.501325226900263,0,0.0,0.6820703250919619,0,0.0,0.9201191878620445,0,0.0,0.6415390483961376,0,0.0,1.0,0,0.0
20.0,-0.75,16,0,0.0,16,1.0,0.0,0,9,0,3,0,9,0,10.0,1.1111111111111112,9.448205845730241,2,5.0,0.48457836236026136,0,0.0,0.9757109541044235,1,5.0,0.7348443862667844,0,0.0,1.0,3,10.0
25.0,0.0,20,0,0.0,20,1.0,0.0,0,10,0,0,0,10,0,0.0,0.0,8.934805971560829,0,4.0,0.5006421076266643,0,0.0,1.0,0,0.0,0.6743863826131667,0,0.0,0.9602748784362802,0,4.0
30.0,-0.5,24,0,0.0,24,1.0,0.0,0,11,0,2,0,11,0,5.0,0.45454545454545453,10.526421500458042,1,3.0,0.0003244386682557733,0,2.0,0.8360116811407075,1,2.0,0.6349568505867343,0,2.0,0.9149215432256562,2,9.0
35.0,0.0,28,0,0.0,28,1.0,0.0,0,12,0,0,1,13,0,0.0,0.0,11.040197892039913,0,0.0,1.0,0,2.0,0.8291515437846787,0,0.0,0.7746766745225073,0,2.0,0.9166193094511192,0,4.0
40.0,-0.75,32,0,0.0,32,1.0,0.0,0,16,0,3,1,17,0,4.0,0.25,8.601836394229395,0,0.0,0.9502990228978329,1,3.0,0.1153118516704611,1,4.0,0.6713211270245112,1,3.0,0.13015642649448558,3,10.0
45.0,-1.5,36,0,0.0,34,0.9444444444444444,0.0,0,16,0,6,2,18,0,25.0,1.5625,6.791955329204711,0,0.0,0.9711582496319352,3,15.0,0.2501242388805129,3,14.0,0.36079879561958333,0,2.0,0.2045130057682778,6,31.0
50.0,-1.25,40,0,0.0,38,0.95,0.0,0,16,0,5,3,19,0,33.0,2.0625,4.344546104289456,0,0.0,0.13271660834862564,0,14.0,0.3963308087489989,5,35.0,0.13918603503364244,0,0.0,1.0,5,49.0
