step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0.0,4,1.0,0.0,0,4,0,0,0,4,0,0.0,0.0,12.846236457014374,0,0.0,0.9547359259934323,0,0.0,0.9570579520083955,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,8,0,0.0,8,1.0,0.0,0,5,0,0,0,5,0,0.0,0.0,12.48667273843961,0,0.0,0.9047458934400469,0,0.0,0.9577883351509726,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,12,0,0.0,12,1.0,0.0,0,6,0,0,0,6,0,0.0,0.0,11.231021279273465,0,0.0,0.727125649908525,0,0.0,1.0,0,0.0,1.0,0,0.0,0.948592552046394,0,0.0
20.0,-0.25,16,0,0.0,16,1.0,0.0,0,8,0,1,0,8,0,5.0,0.625,11.089066560496422,1,5.0,0.6306402840288607,0,0.0,1.0,0,0.0,0.9515180570212666,0,0.0,0.9657760002325759,1,5.0
25.0,0.0,20,0,0.0,20,1.0,0.0,0,12,0,0,0,12,0,0.0,0.0,11.481377610962943,0,0.0,0.8030970317344759,0,0.0,1.0,0,0.0,0.9145582645746283,0,0.0,0.9923918931967122,0,0.0
30.0,-0.5,24,0,0.0,24,1.0,0.0,0,15,0,2,0,15,0,3.0,0.2,10.581695792330118,1,2.0,0.7051101368848551,0,2.0,0.9504282485895907,1,1.0,0.7251610452869393,0,0.0,1.0,2,5.0
35.0,-0.25,28,0,0.0,28,1.0,0.0,0,19,0,1,1,20,0,3.0,0.15789473684210525,9.255826265075735,1,4.0,0.5967702151889879,0,2.0,0.9636906685797875,0,0.0,0.4584419559891435,0,0.0,1.0,1,6.0
40.0,-0.75,32,0,0.0,32,1.0,0.0,0,23,0,3,2,25,0,15.0,0.6521739130434783,10.457711149152276,2,11.0,0.7034169028346209,0,2.0,0.7289083884457224,1,6.0,0.6085432401659068,0,2.0,0.963848180955698,3,21.0
45.0,-0.5,36,0,0.0,36,1.0,0.0,0,24,0,2,3,27,0,6.0,0.25,9.291498314422833,1,9.0,0.5042507386977191,1,7.0,0.647724883771929,0,2.0,0.8813850609228231,0,2.0,0.9583310111377719,2,20.0
50.0,-0.75,40,0,0.0,40,1.0,0.0,0,29,0,3,3,32,0,5.0,0.1724137931034483,9.077963144210312,2,5.0,0.34795182147263104,0,2.0,0.8965276086530347,0,0.0,0.9570604160564189,1,3.0,0.5616602182334157,3,10.0
55.0,-0.5,44,0,0.0,44,1.0,0.0,0,30,0,2,3,33,0,3.0,0.1,8.450159895775359,1,10.0,0.3101983703984838,1,3.0,0.7594469294851888,0,0.0,0.5581312897217381,0,1.0,0.5068457650338495,2,14.0
60.0,-1.5,48,0,0.0,48,1.0,0.0,0,31,0,6,6,37,0,17.0,0.5483870967741935,7.512699666577134,2,11.0,0.49913582419895974,0,2.0,0.408563473828244,2,7.0,0.5089555981135707,2,4.0,0.0017002317011041105,6,24.0
65.0,-1.25,52,0,0.0,52,1.0,0.0,0,32,0,5,9,41,0,11.0,0.34375,8.032874903239904,1,12.0,0.4775470383751703,4,12.0,0.43276348785901086,0,6.0,0.791322090729887,0,6.0,0.7175655236117175,5,36.0
70.0,-1.25,56,0,0.0,56,1.0,0.0,0,32,0,5,11,43,0,19.0,0.59375,7.83454723583396,2,11.0,0.4606787010830409,2,21.0,0.4534115274768462,1,4.0,0.3431409827042347,0,4.0,0.9306670344452291,5,40.0
