step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,0.0,0,0.0,0.0,0,4,0,0,0,4,0,0.0,0.0,12.846236457014374,0,0.0,0.9547359259934323,0,0.0,0.9570579520083955,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0,0,0.0,0,0.0,0.0,0,5,0,0,0,5,0,0.0,0.0,12.48667273843961,0,0.0,0.9047458934400469,0,0.0,0.9577883351509726,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0.0,0,0,0.0,0,0.0,0.0,0,6,0,0,0,6,0,0.0,0.0,11.231021279273465,0,0.0,0.727125649908525,0,0.0,1.0,0,0.0,1.0,0,0.0,0.948592552046394,0,0.0
20.0,-0.25,0,0,0.0,0,0.0,0.0,0,8,0,1,0,8,0,5.0,0.625,11.089066560496422,1,5.0,0.6306402840288607,0,0.0,1.0,0,0.0,0.9515180570212666,0,0.0,0.9657760002325759,1,5.0
25.0,-0.25,0,0,0.0,0,0.0,0.0,0,12,0,1,0,12,0,10.0,0.8333333333333334,11.785264066666166,1,10.0,0.7115651016176039,0,0.0,1.0,0,0.0,0.9145582645746283,0,0.0,0.9923918931967122,1,10.0
30.0,-0.5,0,0,0.0,0,0.0,0.0,0,15,0,2,0,15,0,16.0,1.0666666666666667,10.929762642565402,1,15.0,0.760162853560516,0,0.0,0.9588915675384531,1,1.0,0.7502835360587755,0,0.0,1.0,2,16.0
35.0,-0.75,0,0,0.0,0,0.0,0.0,0,19,0,3,1,20,0,29.0,1.5263157894736843,8.98809674314072,2,23.0,0.5080487087228135,0,0.0,0.916635856749519,1,6.0,0.5086259841733114,0,0.0,1.0,3,29.0
40.0,-1.5,0,0,0.0,0,0.0,0.0,0,23,0,6,2,25,0,54.0,2.347826086956522,7.297537388090448,3,36.0,0.6004462273010912,0,0.0,0.5774966379509788,3,18.0,0.196568298502721,0,0.0,1.0,6,54.0
45.0,-3.25,0,0,0.0,0,0.0,0.0,0,24,0,13,3,27,0,106.0,4.416666666666667,4.313818066373048,5,58.0,0.38631868663498903,3,9.0,0.21791173142424655,5,39.0,0.1577527575641668,0,0.0,1.0,13,106.0
50.0,-2.5,0,0,0.0,0,0.0,0.0,0,28,0,10,4,32,0,58.0,2.0714285714285716,5.117531998345302,4,35.0,0.2479843915980829,4,28.0,0.4077416673028685,2,26.0,0.4428633365562229,0,0.0,0.7345166431514487,10,89.0
55.0,-2.75,0,0,0.0,0,0.0,0.0,0,29,0,11,4,33,0,103.0,3.5517241379310347,6.417404600368981,4,36.0,0.3086017839803079,5,53.0,0.48587182975371035,2,29.0,0.3180212664474859,0,1.0,0.9398750097121463,11,119.0
60.0,-3.25,0,0,0.0,0,0.0,0.0,0,33,0,13,4,37,0,166.0,5.03030303030303,6.3839807564183,5,47.0,0.38554702669997815,6,81.0,0.36699554749487995,2,39.0,0.0,0,1.0,0.8924151938632754,13,168.0
65.0,-4.0,0,0,0.0,0,0.0,0.0,0,37,0,16,4,41,0,242.0,6.54054054054054,6.379353871535499,6,75.0,0.3981454262738723,8,118.0,0.3508008320274165,2,49.0,0.0,0,0.0,0.8642902811804256,16,242.0
70.0,-4.75,0,0,0.0,0,0.0,0.0,0,39,0,19,4,43,0,332.0,8.512820512820513,5.5754562227898194,7,108.0,0.22744731738406734,10,165.0,0.2678001456344791,2,59.0,0.31457480402012233,0,0.0,1.0,19,332.0
