step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0,0.0,0,0.0,0.0,0,3,0,0,0,3,0,0.0,0.0,12.422999909874077,0,0.0,0.9547359259934323,0,0.0,1.0,0,0.0,0.9312684692184237,0,0.0,1.0,0,0.0
10.0,0.0,0,0,0.0,0,0.0,0.0,0,7,0,0,0,7,0,0.0,0.0,12.721014866359642,0,0.0,0.9138487927176143,0,0.0,1.0,0,0.0,0.9368876156395936,0,0.0,1.0,0,0.0
15.0,-0.25,0,0,0.0,0,0.0,0.0,0,8,0,1,0,8,0,1.0,0.125,9.500829722013084,1,1.0,0.7626008668838914,0,0.0,1.0,0,0.0,0.5562645809532923,0,0.0,1.0,1,1.0
20.0,-1.0,0,0,0.0,0,0.0,0.0,0,10,0,4,0,10,0,14.0,1.4,6.1154117720369054,2,9.0,0.3944039938951899,0,0.0,1.0,2,5.0,0.4821929921544216,0,0.0,1.0,4,14.0
25.0,-1.5,0,0,0.0,0,0.0,0.0,0,13,0,6,0,13,0,40.0,3.076923076923077,6.190407308256552,4,25.0,0.3165060270195174,0,0.0,1.0,2,15.0,0.5424559521860498,0,0.0,1.0,6,40.0
30.0,-1.75,0,0,0.0,0,0.0,0.0,0,17,0,7,0,17,0,72.0,4.235294117647059,6.885761796303959,4,45.0,0.3814673531233316,0,0.0,0.9631617398475764,3,27.0,0.5228466506368702,0,0.0,1.0,7,72.0
35.0,-2.5,0,0,0.0,0,0.0,0.0,0,19,0,10,0,19,0,114.0,6.0,4.891383180439908,6,71.0,0.2591689555561494,0,0.0,0.9412616615031137,4,43.0,0.1474844319055055,0,0.0,1.0,10,114.0
40.0,-3.5,0,0,0.0,0,0.0,0.0,0,22,0,14,0,22,0,174.0,7.909090909090909,3.4957878459610345,8,107.0,0.2868780784562343,1,1.0,0.1375706636734027,5,66.0,2.490476046748714e-05,0,0.0,1.0,14,174.0
45.0,-4.25,0,0,0.0,0,0.0,0.0,0,22,0,17,1,23,0,253.0,11.5,1.8830628488535135,10,153.0,0.10068193115584297,2,9.0,0.000470135856713012,5,91.0,0.15691888990941014,0,0.0,1.0,17,253.0
50.0,-2.25,0,0,0.0,0,0.0,0.0,0,25,0,9,2,27,0,86.0,3.44,4.903915344208427,7,137.0,0.23066602469990904,2,19.0,0.25485722912122993,0,45.0,0.559106258676102,0,0.0,0.7880790228690625,9,201.0
55.0,-1.25,0,0,0.0,0,0.0,0.0,0,27,0,5,2,29,0,50.0,1.8518518518518519,7.330352997410448,3,108.0,0.2615413231036085,2,30.0,0.6323538664889519,0,0.0,0.6887898901343911,0,1.0,0.9301964084188845,5,139.0
60.0,-1.0,0,0,0.0,0,0.0,0.0,0,30,0,4,2,32,0,60.0,2.0,8.962204238919204,2,67.0,0.40239503847961194,2,40.0,0.6472022074194673,0,0.0,0.9752068130306453,0,1.0,0.8638369832940845,4,108.0
65.0,-1.0,0,0,0.0,0,0.0,0.0,0,31,0,4,2,33,0,80.0,2.5806451612903225,9.20586940345894,2,52.0,0.41522148843137235,2,49.0,0.616886258827146,0,0.0,1.0,0,0.0,0.8708781311139597,4,101.0
70.0,-1.25,0,0,0.0,0,0.0,0.0,0,34,0,5,2,36,0,104.0,3.0588235294117645,10.117107572710125,3,45.0,0.5349072158658772,2,59.0,0.5597158143830726,0,0.0,0.9532133415101769,0,0.0,0.8457508053880095,5,104.0
75.0,-1.25,0,0,0.0,0,0.0,0.0,0,30,0,5,7,37,0,129.0,4.3,10.085210159424852,3,60.0,0.5290466705599276,2,69.0,0.5931332243348253,0,0.0,0.9582966900063452,0,0.0,1.0,5,129.0
80.0,-1.25,0,0,0.0,0,0.0,0.0,0,28,0,5,10,38,0,154.0,5.5,9.485656075286588,3,75.0,0.332506904961278,2,79.0,0.5922805516597154,0,0.0,0.9567168671659516,0,0.0,0.9390565904139554,5,154.0
85.0,-2.0,0,0,0.0,0,0.0,0.0,0,28,0,8,15,43,0,185.0,6.607142857142857,7.135890265584166,4,93.0,0.2860924750235907,4,92.0,0.2050492502959525,0,0.0,0.862844486037327,0,0.0,0.9733490402270073,8,185.0
90.0,-3.0,0,0,0.0,0,0.0,0.0,0,25,0,12,19,44,0,238.0,9.52,4.065512357350217,5,118.0,0.24299377924779236,7,120.0,0.11048930840741493,0,0.0,0.6228148248802784,0,0.0,0.15178270578133496,12,238.0
95.0,-3.5,0,0,0.0,0,0.0,0.0,0,24,0,14,21,45,0,91.0,3.7916666666666665,3.242470055281776,3,50.0,0.28394582870413193,7,53.0,0.12335570393016465,2,7.0,0.21636255298583085,2,7.0,0.3042231526178551,14,117.0
100.0,-4.0,0,0,0.0,0,0.0,0.0,0,28,0,16,21,49,0,169.0,6.035714285714286,5.407549313139838,3,39.0,0.4685672625639494,7,88.0,0.12482547547950605,4,26.0,0.5407062182331553,2,18.0,0.47961642293190676,16,171.0
105.0,-4.0,0,0,0.0,0,0.0,0.0,0,31,0,16,21,52,0,249.0,8.03225806451613,5.546255835022335,3,54.0,0.4280603405246071,7,123.0,0.0,4,46.0,0.5253432297718129,2,28.0,0.593684719650742,16,251.0
110.0,-4.75,0,0,0.0,0,0.0,0.0,0,34,0,19,21,55,0,337.0,9.911764705882353,4.364954460645394,4,74.0,0.14165212635381913,7,158.0,1.1623009862777788e-06,6,68.0,0.41983577774629655,2,37.0,0.3056981743350586,19,337.0
115.0,-5.75,0,0,0.0,0,0.0,0.0,0,37,0,23,21,58,0,446.0,12.054054054054054,4.029014784890062,6,102.0,0.13635875884789697,7,193.0,0.18989906970271941,8,104.0,0.20728688936664652,2,47.0,0.0,23,446.0
120.0,-6.0,0,0,0.0,0,0.0,0.0,0,37,0,24,23,60,0,566.0,15.297297297297296,3.229044192966269,6,132.0,0.20793205110268667,7,228.0,0.20678642584743243,9,149.0,0.005130850477902686,2,57.0,0.0,24,566.0
125.0,-6.75,0,0,0.0,0,0.0,0.0,0,37,0,27,26,63,0,700.0,18.91891891891892,2.627390651158674,7,167.0,0.30200823115891634,7,263.0,0.042859672317412285,11,203.0,9.273746783695327e-06,2,67.0,0.3026779011506056,27,700.0
130.0,-7.5,0,0,0.0,0,0.0,0.0,0,35,0,30,29,64,0,843.0,24.085714285714285,1.020115021118973,9,207.0,0.056225975190799776,8,301.0,2.222539097624134e-05,11,258.0,0.08280954125975741,2,77.0,0.3151784907410395,30,843.0
135.0,-8.25,0,0,0.0,0,0.0,0.0,0,35,0,33,29,64,0,1002.0,28.62857142857143,0.16676115734702632,12,261.0,3.5553771053708556e-05,8,341.0,0.0,11,313.0,0.008478915701532695,2,87.0,0.10996451119960286,33,1002.0
140.0,-4.5,0,0,0.0,0,0.0,0.0,0,36,0,18,29,65,0,365.0,10.13888888888889,2.8119846294494057,7,202.0,0.1369754342278671,3,262.0,0.16372164376937476,7,269.0,0.052802114775923184,1,3.0,0.2633877226540091,18,736.0
145.0,-1.75,0,0,0.0,0,0.0,0.0,0,38,0,7,29,67,0,98.0,2.5789473684210527,6.741967152506419,3,147.0,0.28155317279809683,1,167.0,0.5793022575865783,2,206.0,0.16400996569980753,1,9.0,0.7124529587743851,7,529.0
150.0,-0.5,0,0,0.0,0,0.0,0.0,0,38,0,2,31,69,0,36.0,0.9473684210526315,9.291626191424468,0,75.0,0.4316724701656087,1,24.0,0.6495244632005416,0,115.0,0.5364525260267833,1,14.0,0.7603776376204768,2,228.0
155.0,-0.75,0,0,0.0,0,0.0,0.0,0,36,0,3,34,70,0,48.0,1.3333333333333333,10.568304421698228,1,47.0,0.53446759081425,1,28.0,0.7582642784040754,0,58.0,0.8088119217529198,1,18.0,0.7294874735481145,3,151.0
160.0,-0.75,0,0,0.0,0,0.0,0.0,0,37,0,3,37,74,0,63.0,1.7027027027027026,11.505391702970194,1,10.0,0.7226967561900722,1,33.0,0.8131496557960995,0,0.0,0.9079725668438017,1,23.0,0.7286336974476165,3,66.0
165.0,-0.75,0,0,0.0,0,0.0,0.0,0,37,0,3,41,78,0,78.0,2.108108108108108,10.894267915204576,1,12.0,0.6758664885371566,1,38.0,0.6915003006616642,0,0.0,0.9448394698265696,1,28.0,0.7095236315257987,3,78.0
170.0,-1.25,0,0,0.0,0,0.0,0.0,0,34,0,5,45,79,0,97.0,2.8529411764705883,9.402328249909898,1,17.0,0.5920914038906387,3,47.0,0.4695159048860599,0,0.0,0.7810962962680635,1,33.0,0.6089459152229952,5,97.0
175.0,-3.0,0,0,0.0,0,0.0,0.0,0,29,0,12,50,79,0,138.0,4.758620689655173,4.416458352254301,3,26.0,0.1961256051727155,6,71.0,0.08458792143582186,1,2.0,0.15568542158600496,2,39.0,0.047594848669494594,12,138.0
180.0,-4.75,0,0,0.0,0,0.0,0.0,0,27,0,19,56,83,0,223.0,8.25925925925926,3.1976829341975646,4,45.0,0.38966822398946066,9,111.0,0.001318726949778452,2,11.0,0.3209975016501838,4,56.0,0.00014495534600092154,19,223.0
185.0,-3.25,0,0,0.0,0,0.0,0.0,0,28,0,13,58,86,0,125.0,4.464285714285714,4.317502358333802,3,33.0,0.4329693538556003,5,79.0,0.0484297769328025,2,21.0,0.48827808071918044,3,28.0,0.1633154276221173,13,161.0
190.0,-3.75,0,0,0.0,0,0.0,0.0,0,30,0,15,58,88,0,195.0,6.5,5.560095258500857,5,53.0,0.2995391310125169,5,79.0,0.10034171810748806,2,31.0,0.5498462570783506,3,44.0,0.481531930421309,15,207.0
