step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,1,0.25,4,1.0,0.0,0,4,0,0,0,4,0,0.0,0.0,12.846236457014374,0,0.0,0.9547359259934323,0,0.0,0.9570579520083955,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,8,2,0.25,8,1.0,0.0,0,5,0,0,0,5,0,0.0,0.0,12.48667273843961,0,0.0,0.9047458934400469,0,0.0,0.9577883351509726,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,-0.25,12,2,0.16666666666666666,11,0.9166666666666666,0.0,0,6,0,1,0,6,0,1.0,0.16666666666666666,7.677092076130268,0,0.0,0.727125649908525,1,1.0,0.21515435725279658,0,0.0,1.0,0,0.0,1.0,1,1.0
20.0,-0.75,16,3,0.1875,15,0.9375,0.0,0,8,0,3,0,8,0,13.0,1.625,7.673771778852607,1,5.0,0.6306402840288607,2,8.0,0.00043781340859250743,0,0.0,0.9515180570212666,0,0.0,1.0,3,13.0
25.0,-0.25,20,3,0.15,18,0.9,0.0,0,12,0,1,0,12,0,10.0,0.8333333333333334,10.362402136246109,1,10.0,0.7115651016176039,0,5.0,0.6504683494721049,0,0.0,0.9145582645746283,0,0.0,1.0,1,15.0
30.0,-0.5,24,4,0.16666666666666666,21,0.875,0.0,0,15,0,2,0,15,0,16.0,1.0666666666666667,10.848544966302553,1,15.0,0.760162853560516,0,0.0,0.9386566499240022,1,1.0,0.7502835360587755,0,2.0,0.9540853524248696,2,18.0
35.0,-1.0,28,4,0.14285714285714285,22,0.7857142857142857,0.0,0,20,0,4,0,20,0,30.0,1.5,8.508086940176913,2,23.0,0.5080487087228135,0,0.0,0.8970503109660292,2,7.0,0.4051892990866022,0,2.0,0.9537876089407016,4,32.0
40.0,-2.0,32,6,0.1875,25,0.78125,0.0,0,25,0,8,0,25,0,62.0,2.48,7.212085181273133,3,36.0,0.6004462273010912,1,1.0,0.5879376780086906,4,25.0,0.12978474391126116,0,0.0,1.0,8,62.0
45.0,-2.0,36,7,0.19444444444444445,28,0.7777777777777778,0.0,0,26,0,8,1,27,0,88.0,3.3846153846153846,5.412272215954056,5,58.0,0.38631868663498903,0,3.0,0.37225739214557596,3,38.0,0.22210101891012335,0,0.0,1.0,8,99.0
50.0,-3.0,40,10,0.25,32,0.8,0.0,0,29,0,12,3,32,0,139.0,4.793103448275862,6.22058604600759,9,94.0,0.15938075505940827,0,0.0,0.751070100467551,3,45.0,0.3791260969529511,0,2.0,0.8788415837526159,12,141.0
55.0,-2.5,44,12,0.2727272727272727,35,0.7954545454545454,0.0,0,30,0,10,3,33,0,67.0,2.2333333333333334,6.132151830385013,8,103.0,0.15887760376085744,1,1.0,0.7093017100200792,1,32.0,0.19259630556935092,0,2.0,0.938083311051701,10,138.0
60.0,-1.75,48,15,0.3125,39,0.8125,0.0,0,32,0,7,5,37,0,54.0,1.6875,7.319377432592795,5,98.0,0.32492970202734145,2,9.0,0.5216461342031885,0,1.0,0.4693857817519848,0,2.0,0.9018529417015477,7,110.0
65.0,-1.75,52,15,0.28846153846153844,42,0.8076923076923077,0.0,0,35,0,7,6,41,0,34.0,0.9714285714285714,6.5813307692907905,4,93.0,0.32603067970440175,1,10.0,0.6699448727569106,1,5.0,0.005252483609102721,1,3.0,0.5859497174572157,7,111.0
70.0,-2.25,56,18,0.32142857142857145,46,0.8214285714285714,0.0,0,36,0,9,7,43,0,37.0,1.0277777777777777,5.611267727957663,3,77.0,0.27327894646825424,1,4.0,0.4388887944287573,2,17.0,0.5966066496637065,3,15.0,0.4076557965952036,9,113.0
