step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,1,0.25,4,1.0,0.0,0,3,0,0,0,3,0,0.0,0.0,12.422999909874077,0,0.0,0.9547359259934323,0,0.0,1.0,0,0.0,0.9312684692184237,0,0.0,1.0,0,0.0
10.0,0.0,8,2,0.25,8,1.0,0.0,0,7,0,0,0,7,0,0.0,0.0,12.721014866359642,0,0.0,0.9138487927176143,0,0.0,1.0,0,0.0,0.9368876156395936,0,0.0,1.0,0,0.0
15.0,-0.25,12,2,0.16666666666666666,11,0.9166666666666666,0.0,0,8,0,1,0,8,0,1.0,0.125,9.500829722013084,1,1.0,0.7626008668838914,0,0.0,1.0,0,0.0,0.5562645809532923,0,0.0,1.0,1,1.0
20.0,-1.0,16,3,0.1875,14,0.875,0.0,0,10,0,4,0,10,0,14.0,1.4,6.1154117720369054,2,9.0,0.3944039938951899,0,0.0,1.0,2,5.0,0.4821929921544216,0,0.0,1.0,4,14.0
25.0,-1.5,20,3,0.15,16,0.8,0.0,0,13,0,6,0,13,0,40.0,3.076923076923077,6.190407308256552,4,25.0,0.3165060270195174,0,0.0,1.0,2,15.0,0.5424559521860498,0,0.0,1.0,6,40.0
30.0,-1.25,24,5,0.20833333333333334,20,0.8333333333333334,0.0,0,17,0,5,0,17,0,34.0,2.0,7.220228764967684,2,27.0,0.46193709562943147,0,0.0,0.9631617398475764,3,27.0,0.48762332007474934,0,0.0,1.0,5,54.0
35.0,-0.5,28,7,0.25,24,0.8571428571428571,0.0,0,19,0,2,0,19,0,2.0,0.10526315789473684,6.9078981022702655,0,8.0,0.5523737312663916,0,2.0,0.8962687341081962,2,22.0,0.17098535241669643,0,0.0,1.0,2,32.0
40.0,-1.0,32,8,0.25,27,0.84375,0.0,0,22,0,4,0,22,0,13.0,0.5909090909090909,7.861771490902807,1,3.0,0.5570889472193906,1,3.0,0.6734628182406827,2,12.0,0.2474072009366871,0,2.0,0.9121846122235957,4,20.0
45.0,-2.0,36,8,0.2222222222222222,30,0.8333333333333334,0.0,0,23,0,8,0,23,0,42.0,1.826086956521739,5.015882612476192,3,15.0,0.2005902136966022,1,4.0,0.31658647551365215,4,29.0,0.1912802052733517,0,2.0,0.9532475984185927,8,50.0
50.0,-3.75,40,11,0.275,34,0.85,0.0,0,27,0,15,0,27,0,99.0,3.6666666666666665,4.30712750767537,6,38.0,0.25466814455574677,3,14.0,0.0024393503233702428,4,49.0,0.48770953230397274,2,7.0,0.4399105140649766,15,108.0
55.0,-3.75,44,13,0.29545454545454547,36,0.8181818181818182,0.0,0,29,0,15,0,29,0,121.0,4.172413793103448,4.0019512243536255,8,74.0,0.24569736538305245,1,18.0,0.10381993358635878,3,47.0,0.3708213054474426,3,20.0,0.35680940237705683,15,159.0
60.0,-3.0,48,17,0.3541666666666667,40,0.8333333333333334,0.0,0,32,0,12,0,32,0,106.0,3.3125,4.938776785174164,6,90.0,0.3009580465470145,0,5.0,0.5785844679036881,5,50.0,0.08393640778372564,1,19.0,0.13103476317817253,12,164.0
65.0,-2.5,52,20,0.38461538461538464,44,0.8461538461538461,0.0,0,33,0,10,0,33,0,49.0,1.4848484848484849,5.870720748889073,4,79.0,0.20572045152578303,1,10.0,0.651239727628134,3,49.0,0.05310219916991769,2,11.0,0.00036958655093571505,10,149.0
70.0,-0.25,56,22,0.39285714285714285,47,0.8392857142857143,0.0,0,32,0,1,4,36,0,8.0,0.25,7.779016958996603,0,61.0,0.2739703843666318,1,15.0,0.6789896788161653,0,21.0,0.600321589264565,0,8.0,0.7465613707324371,1,105.0
75.0,-1.75,60,22,0.36666666666666664,49,0.8166666666666667,0.0,0,29,0,7,8,37,0,30.0,1.0344827586206897,5.262726409562125,3,68.0,0.20737468776849405,2,21.0,0.10350566527298817,2,28.0,0.41570247291071244,0,2.0,0.8920433617422426,7,119.0
80.0,-4.25,64,25,0.390625,52,0.8125,0.0,0,29,0,17,9,38,0,94.0,3.2413793103448274,2.572330222150918,7,94.0,0.038981702406384745,5,41.0,0.001103259620538177,4,45.0,0.3336628846258492,1,4.0,0.20924423922517466,17,184.0
85.0,-4.0,68,28,0.4117647058823529,55,0.8088235294117647,0.0,0,33,0,16,10,43,0,115.0,3.484848484848485,3.017043209798555,9,134.0,0.12617868325791248,2,35.0,0.105594410205299,2,45.0,0.3694859611128344,3,14.0,0.0003112486354942587,16,228.0
90.0,-2.75,72,32,0.4444444444444444,59,0.8194444444444444,0.0,0,33,0,11,11,44,0,83.0,2.515151515151515,4.771661775593704,9,153.0,0.10707151305577046,0,16.0,0.6047445074029447,2,23.0,0.29518205366311856,0,14.0,0.49322895755742024,11,206.0
95.0,-2.0,76,34,0.4473684210526316,61,0.8026315789473685,0.0,0,34,0,8,11,45,0,58.0,1.7058823529411764,6.50248763827945,4,124.0,0.26115732884563614,1,10.0,0.711978609767844,3,35.0,0.11306528326674219,0,2.0,0.9402297315295783,8,171.0
100.0,-2.75,80,37,0.4625,63,0.7875,0.0,0,37,0,11,12,49,0,58.0,1.5675675675675675,5.509428248302961,3,136.0,0.24490058113451413,1,15.0,0.6526382518096445,7,63.0,0.2013178094942397,0,2.0,0.20574991790237396,11,216.0
105.0,-4.0,84,39,0.4642857142857143,66,0.7857142857142857,0.0,0,35,0,16,17,52,0,108.0,3.085714285714286,2.731747921693032,6,160.0,0.15040290860496316,2,22.0,0.03253123557938324,5,80.0,0.2998869802866277,3,13.0,0.0005991557765905389,16,275.0
110.0,-3.75,88,42,0.4772727272727273,69,0.7840909090909091,0.0,0,37,0,15,18,55,0,142.0,3.8378378378378377,3.072360429372694,9,198.0,0.08691283596281299,4,37.0,0.00010579834103626012,2,72.0,0.3141475346420079,0,15.0,0.5108497603401029,15,322.0
115.0,-4.75,92,45,0.4891304347826087,72,0.782608695652174,0.0,0,40,0,19,18,58,0,231.0,5.775,3.5740359091562013,12,255.0,0.0026731216802488066,4,57.0,0.279518786566823,3,84.0,0.19382261409671575,0,4.0,0.9428376417128659,19,400.0
120.0,-5.0,96,48,0.5,75,0.78125,0.0,0,42,0,20,18,60,0,231.0,5.5,3.3307594105482785,12,282.0,0.12750043643528233,1,41.0,0.43118046237403335,6,108.0,0.07372355354732629,1,5.0,0.32041865760901556,20,436.0
125.0,-5.0,100,51,0.51,78,0.78,0.0,0,43,0,20,20,63,0,162.0,3.7674418604651163,3.3036635259832017,8,255.0,0.11499132490767197,1,16.0,0.541853570192808,8,107.0,0.025288201137917833,3,13.0,0.001243532084847632,20,391.0
