step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0.0,4,1.0,0.0,0,3,0,0,0,3,0,0.0,0.0,12.422999909874077,0,0.0,0.9547359259934323,0,0.0,1.0,0,0.0,0.9312684692184237,0,0.0,1.0,0,0.0
10.0,0.0,8,0,0.0,8,1.0,0.0,0,7,0,0,0,7,0,0.0,0.0,12.721014866359642,0,0.0,0.9138487927176143,0,0.0,1.0,0,0.0,0.9368876156395936,0,0.0,1.0,0,0.0
15.0,-0.25,12,0,0.0,12,1.0,0.0,0,8,0,1,0,8,0,1.0,0.125,9.500829722013084,1,1.0,0.7626008668838914,0,0.0,1.0,0,0.0,0.5562645809532923,0,0.0,1.0,1,1.0
20.0,-0.5,16,0,0.0,16,1.0,0.0,0,10,0,2,0,10,0,5.0,0.5,5.013011911851165,0,1.0,0.39261383736072086,0,0.0,1.0,2,5.0,0.3323673672808759,0,0.0,1.0,2,6.0
25.0,-0.5,20,0,0.0,20,1.0,0.0,0,13,0,2,0,13,0,8.0,0.6153846153846154,8.711958233277645,2,8.0,0.5328982300538907,0,2.0,0.9098010573769646,0,4.0,0.5711263293916675,0,0.0,1.0,2,14.0
30.0,0.0,24,0,0.0,24,1.0,0.0,0,17,0,0,0,17,0,0.0,0.0,11.899316506560544,0,6.0,0.7902084430030888,0,2.0,0.9497426987451917,0,0.0,0.9709934234696367,0,2.0,0.8977766564155059,0,10.0
35.0,-0.5,28,0,0.0,28,1.0,0.0,0,19,0,2,0,19,0,3.0,0.15789473684210525,9.57553427932145,1,2.0,0.6109234576490497,1,3.0,0.5394894553568561,0,2.0,0.9230716025593665,0,2.0,0.9085175997445788,2,9.0
40.0,-1.25,32,0,0.0,32,1.0,0.0,0,22,0,5,0,22,0,14.0,0.6363636363636364,5.660246724580471,3,12.0,0.4874315670579344,1,4.0,0.12134502696528364,0,2.0,0.8512901559675012,1,3.0,0.4414962404803194,5,21.0
45.0,-1.75,36,0,0.0,36,1.0,0.0,0,23,0,7,0,23,0,41.0,1.7826086956521738,4.929633169942354,5,32.0,0.19849154528050186,2,9.0,0.2342948119501086,0,2.0,0.4173909833319615,0,6.0,0.3922972930131215,7,49.0
50.0,-1.75,40,0,0.0,40,1.0,0.0,0,27,0,7,0,27,0,32.0,1.1851851851851851,6.8320107603458275,5,47.0,0.26763304335592253,0,6.0,0.34105183332112965,2,9.0,0.5664050103513034,0,0.0,0.387613535337787,7,62.0
55.0,-0.5,44,0,0.0,44,1.0,0.0,0,27,0,2,2,29,0,11.0,0.4074074074074074,9.250706217681488,2,39.0,0.41627343096390274,0,2.0,0.9320862454822946,0,6.0,0.608036237618079,0,2.0,0.9790053225298427,2,49.0
