step,reward,scaled_training_reward,shield_rate,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0.0,0.0,16.173516000000003,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,0.0,0.0,1.0,3,0,0,0,3,0,0.0,0.0,14.87601986666985,0,0.0,0.9418733087577351,0,0.0,1.0,0,0.0,0.9821189072423276,0,0.0,1.0,0,0.0
15.0,0.0,0.0,0.0,1.0,6,0,0,0,6,0,0.0,0.0,11.907792795422308,0,0.0,0.790129751119409,0,0.0,1.0,0,0.0,0.8169707812344179,0,0.0,1.0,0,0.0
20.0,-0.5,-0.1,0.0,1.0,8,0,2,0,8,0,4.0,0.5,8.234499825098062,1,2.0,0.6264683640886871,0,0.0,1.0,1,2.0,0.4663619585097081,0,0.0,1.0,2,4.0
25.0,0.0,-0.1,0.0,1.0,10,0,0,0,10,0,0.0,0.0,7.938814587713085,0,1.0,0.5703570404510463,0,0.0,1.0,0,0.0,0.8523107434017118,0,0.0,1.0,0,1.0
30.0,-0.25,-0.14999999999999997,0.041666666666666664,0.9583333333333334,12,0,1,0,12,0,3.0,0.25,10.786739288284314,1,3.0,0.537894873036827,0,2.0,0.7937126709591079,0,0.0,0.9637937638985025,0,2.0,0.8825328339749372,1,7.0
35.0,-0.25,-0.19999999999999993,0.03571428571428571,0.9642857142857143,16,0,1,0,16,0,1.0,0.0625,10.78337526417903,1,1.0,0.555682007881622,0,2.0,0.8888736807331961,0,0.0,0.9569181670182266,0,2.0,0.8909922795500407,1,5.0
40.0,-0.75,-0.35,0.03125,0.96875,20,0,3,0,20,0,9.0,0.45,8.481154340178373,1,6.0,0.7111338467819617,1,4.0,0.2931378374878257,0,2.0,0.8938783619678343,1,3.0,0.5339082626464585,3,15.0
45.0,-1.25,-0.5999999999999999,0.05555555555555555,0.9444444444444444,23,0,5,0,23,0,26.0,1.1304347826086956,5.960270450998154,1,11.0,0.5058884329792307,1,5.0,0.08474431266822044,1,3.0,0.6275349766821585,2,12.0,0.22292066427336008,5,31.0
50.0,-2.25,-1.0499999999999998,0.05,0.95,27,0,9,0,27,0,46.0,1.7037037037037037,5.370281546265399,4,24.0,0.32190495359074806,1,9.0,0.30711441627311364,3,13.0,0.41323383424193355,1,12.0,0.1227444012675411,9,58.0
55.0,-1.75,-1.3999999999999997,0.045454545454545456,0.9545454545454546,29,0,7,0,29,0,24.0,0.8275862068965517,5.6909069922982445,3,23.0,0.21014850059157772,1,4.0,0.4758672708238402,3,25.0,0.20898921083613603,0,2.0,0.5089034186669197,7,54.0
60.0,-1.0,-1.5999999999999996,0.041666666666666664,0.9583333333333334,28,0,4,2,30,0,29.0,1.0357142857142858,8.057065252263365,1,16.0,0.18132577158727328,1,11.0,0.7941284422718765,2,23.0,0.3419146303096831,0,4.0,0.8830604399576725,4,54.0
65.0,-0.75,-1.7499999999999996,0.038461538461538464,0.9615384615384616,32,0,3,4,36,0,5.0,0.15625,8.496690795198685,2,20.0,0.3571028349927904,0,2.0,0.8338398919817579,1,13.0,0.34924760426860507,0,4.0,0.9225370551799683,3,39.0
70.0,-2.25,-2.1999999999999993,0.03571428571428571,0.9642857142857143,31,0,9,7,38,0,34.0,1.096774193548387,7.436693952733842,5,38.0,0.2645459689587246,0,0.0,0.831074340848874,3,10.0,0.2826772408229357,1,4.0,0.5984637379422882,9,52.0
75.0,-2.5,-2.6999999999999993,0.03333333333333333,0.9666666666666667,33,0,10,7,40,0,36.0,1.0909090909090908,5.456712704542085,4,47.0,0.34040372622795767,3,8.0,0.26683433094187137,2,18.0,0.2551074045477591,1,2.0,0.06137609644570673,10,75.0
80.0,-2.0,-3.099999999999999,0.03125,0.96875,34,0,8,9,43,0,43.0,1.2647058823529411,7.236373322329947,1,32.0,0.3665679245283688,5,31.0,0.30933200833667435,0,8.0,0.6234703056659943,2,13.0,0.44879697413788894,8,84.0
85.0,-2.25,-3.549999999999999,0.04411764705882353,0.9558823529411765,31,0,9,14,45,0,52.0,1.6774193548387097,5.828526398859244,2,33.0,0.2856249989678672,3,42.0,0.3743500665293833,2,13.0,0.3493748425790985,2,23.0,0.5750242052299985,9,111.0
90.0,-2.5,-4.049999999999999,0.041666666666666664,0.9583333333333334,31,0,10,16,47,0,59.0,1.903225806451613,4.126355625801116,4,49.0,0.31378725367057764,2,31.0,0.18578625538347623,4,30.0,0.2808400168402653,0,17.0,0.34132004935093424,10,127.0
95.0,-2.25,-4.499999999999999,0.039473684210526314,0.9605263157894737,33,0,9,16,49,0,34.0,1.0303030303030303,5.734557056099932,4,53.0,0.3000427727148415,2,25.0,0.04825355280155851,3,35.0,0.3932621925703341,0,2.0,0.7697884530585105,9,115.0
100.0,-0.5,-4.599999999999998,0.0375,0.9625,37,0,2,16,53,0,12.0,0.32432432432432434,7.9543219454575675,0,29.0,0.4218693264208754,2,27.0,0.4356318919264723,0,18.0,0.49239254809782884,0,4.0,0.5030838543355971,2,78.0
105.0,-1.75,-4.949999999999998,0.03571428571428571,0.9642857142857143,35,0,7,18,53,0,25.0,0.7142857142857143,8.227726186390678,1,11.0,0.3647525978073034,1,19.0,0.6396694401657461,2,8.0,0.37317554235094974,3,15.0,0.5402278999950256,7,53.0
110.0,-1.75,-5.299999999999999,0.03409090909090909,0.9659090909090909,35,0,7,22,57,0,26.0,0.7428571428571429,6.299117985583031,3,20.0,0.22744903348539994,2,15.0,0.4985572827020891,1,6.0,0.39280977247498045,1,18.0,0.5169602635647789,7,59.0
115.0,-3.5,-5.999999999999998,0.03260869565217391,0.967391304347826,34,0,14,24,58,0,65.0,1.911764705882353,4.591849446199137,6,43.0,0.20487315480315285,1,12.0,0.2198391191193825,3,13.0,0.2885427531061817,4,17.0,0.2595963051688388,14,85.0
120.0,-3.0,-6.599999999999998,0.03125,0.96875,34,0,12,24,58,0,86.0,2.5294117647058822,4.718159519557622,4,57.0,0.16003298576410852,0,2.0,0.40085259733267664,4,32.0,0.015399098633038502,4,28.0,0.050910143393953465,12,119.0
125.0,-3.0,-7.1999999999999975,0.03,0.97,33,0,12,27,60,0,114.0,3.4545454545454546,6.0201613573824755,2,52.0,0.4169370557162226,3,10.0,0.2911290371989731,5,55.0,0.0,2,27.0,0.20166840798750824,12,144.0
130.0,-2.5,-7.6999999999999975,0.028846153846153848,0.9711538461538461,32,0,10,31,63,0,57.0,1.78125,5.604072451084203,2,34.0,0.4958902422655169,5,33.0,0.2609945832990162,2,56.0,0.23573869135142397,1,24.0,0.07798783655472424,10,147.0
135.0,-2.75,-8.249999999999998,0.027777777777777776,0.9722222222222222,32,0,11,34,66,0,59.0,1.84375,6.556697599845931,4,28.0,0.505566244758879,4,44.0,0.06439493993390624,0,25.0,0.810688053655758,3,33.0,0.3515875573753732,11,130.0
140.0,-1.0,-8.45,0.026785714285714284,0.9732142857142857,33,0,4,35,68,0,25.0,0.7575757575757576,7.46583814569032,2,27.0,0.3294192031571455,1,37.0,0.21804535853823878,1,12.0,0.7465851502335142,0,27.0,0.5770095483470901,4,103.0
145.0,-1.25,-8.7,0.02586206896551724,0.9741379310344828,36,0,5,37,73,0,19.0,0.5277777777777778,7.485443538242418,1,13.0,0.530178266306391,1,25.0,0.3959673282869205,3,21.0,0.487774252285605,0,2.0,0.3127133424226256,5,61.0
150.0,-3.0,-9.299999999999999,0.03333333333333333,0.9666666666666667,35,0,12,39,74,0,51.0,1.457142857142857,4.781739321032974,4,25.0,0.30934735741424363,4,41.0,0.22280354922522758,3,21.0,0.2671641922198158,1,7.0,0.2511500054045429,12,94.0
155.0,-4.5,-10.199999999999998,0.03225806451612903,0.967741935483871,36,0,18,42,78,0,106.0,2.9444444444444446,3.8207052567660713,8,54.0,0.20085918937737846,3,45.0,0.06753657152520497,3,28.0,0.3268874022029879,4,24.0,0.40152163761623655,18,151.0
160.0,-3.25,-10.849999999999998,0.03125,0.9609375,39,0,13,43,82,0,113.0,2.8974358974358974,4.681324566838295,7,80.0,0.23652909198508368,0,24.0,0.2713681878023209,5,47.0,0.2897586742973599,1,26.0,0.37351934064362347,13,177.0
165.0,-3.0,-11.449999999999998,0.030303030303030304,0.9621212121212122,41,0,12,43,84,0,143.0,3.4878048780487805,6.690242688619121,4,84.0,0.2687069320129639,0,3.0,0.8710652561227704,7,78.0,0.2692928186445167,1,15.0,0.29204347402390735,12,180.0
170.0,-2.25,-11.899999999999997,0.03676470588235294,0.9411764705882353,40,0,9,45,85,0,70.0,1.75,6.216691051245812,3,67.0,0.17632420713154176,0,0.0,0.9642354741390959,5,83.0,0.2123664388508973,1,13.0,0.11422996468051583,9,163.0
175.0,-4.0,-12.699999999999996,0.03571428571428571,0.9428571428571428,35,0,16,50,85,0,108.0,3.085714285714286,5.094947882494374,4,46.0,0.13636348014181604,1,1.0,0.5698017301917369,7,73.0,0.18738029696316105,4,26.0,0.001425962458361342,16,146.0
180.0,-4.0,-13.499999999999996,0.034722222222222224,0.9375,33,0,16,53,86,0,93.0,2.8181818181818183,4.13793566239513,5,53.0,0.13873112057241627,3,9.0,0.0013818544390030154,5,86.0,0.2956058631848285,3,25.0,0.0,16,173.0
185.0,-1.5,-13.799999999999997,0.033783783783783786,0.9391891891891891,34,0,6,56,90,0,54.0,1.588235294117647,6.337379246219397,2,49.0,0.3784583680692317,0,12.0,0.6116234969154092,1,60.0,0.31778605571195573,3,42.0,0.3504079845560124,6,163.0
190.0,-1.25,-14.049999999999997,0.03289473684210526,0.9407894736842105,35,0,5,58,93,0,18.0,0.5142857142857142,6.751115262103309,1,25.0,0.5002507227084041,0,2.0,0.9334687770149251,4,75.0,0.11971452950156461,0,32.0,0.48105183300636944,5,134.0
195.0,-2.75,-14.599999999999998,0.03205128205128205,0.9423076923076923,34,0,11,59,93,0,59.0,1.7352941176470589,6.22108730147238,3,23.0,0.381345510556677,0,0.0,0.626379214938876,8,107.0,0.21374031143090733,0,2.0,0.3858957902815689,11,132.0
200.0,-2.5,-15.099999999999996,0.03125,0.9375,36,0,10,60,96,0,73.0,2.0277777777777777,6.985420588092008,2,25.0,0.2232795727341705,1,4.0,0.0,7,122.0,0.35596906508156323,0,0.0,0.871726990053062,10,151.0
205.0,-1.25,-15.349999999999996,0.03048780487804878,0.9390243902439024,32,0,5,64,96,0,66.0,2.0625,6.794177690678721,0,6.0,0.33819979598534194,0,2.0,0.9084096437579713,5,111.0,0.13987005521840615,0,2.0,0.8018913526845295,5,121.0
210.0,-1.5,-15.649999999999999,0.03571428571428571,0.9345238095238095,26,0,6,70,96,0,27.0,1.0384615384615385,5.626033067683939,0,6.0,0.08732525537617919,0,2.0,0.93259830552832,6,116.0,0.10779721193566033,0,4.0,0.9054169351596886,6,128.0
215.0,-2.25,-16.099999999999998,0.03488372093023256,0.936046511627907,28,0,9,72,100,0,32.0,1.1428571428571428,5.10963970755442,4,18.0,0.32075144600176236,1,3.0,0.4461077867443342,4,92.0,0.2142528855545016,0,4.0,0.337368706943453,9,117.0
220.0,-2.0,-16.499999999999996,0.03409090909090909,0.9318181818181818,30,0,8,72,102,0,30.0,1.0,6.096550901500359,1,21.0,0.4346617071603876,0,2.0,0.5376417847244088,4,81.0,0.26674462072617816,3,10.0,0.0017437873301004998,8,114.0
