step,reward,scaled_training_reward,shield_rate,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0.0,0.75,1.0,3,0,0,0,3,0,0.0,0.0,11.75625063700098,0,0.0,0.9558470711457251,0,0.0,1.0,0,0.0,0.9706318910323297,0,0.0,1.0,0,0.0
10.0,0.0,0.0,0.75,1.0,4,0,0,0,4,0,0.0,0.0,12.304483917718407,0,0.0,0.9920952493584364,0,0.0,1.0,0,0.0,0.9639114134797966,0,0.0,1.0,0,0.0
15.0,0.0,0.0,0.5,0.75,6,0,0,0,6,0,0.0,0.0,9.997608928071267,0,0.0,0.9085229066898597,0,0.0,1.0,0,0.0,0.6399845550792959,0,0.0,1.0,0,0.0
20.0,-0.5,-0.1,0.375,0.8125,8,0,2,0,8,0,7.0,0.875,5.605455228776167,1,3.0,0.5227092948327979,0,0.0,1.0,1,4.0,0.3505604174692476,0,0.0,1.0,2,7.0
25.0,-1.25,-0.35,0.3,0.75,8,0,5,0,8,0,27.0,3.375,2.955891370108551,2,12.0,0.237740095669931,0,0.0,1.0,3,15.0,0.22981283433474173,0,0.0,1.0,5,27.0
30.0,-1.0,-0.5499999999999999,0.3333333333333333,0.7083333333333334,9,0,4,0,9,0,27.0,3.0,2.657552462283111,3,26.0,0.22364817402527062,0,0.0,1.0,1,14.0,0.09117219746168494,0,0.0,1.0,4,40.0
35.0,-1.0,-0.7499999999999998,0.35714285714285715,0.7142857142857143,10,0,4,0,10,0,46.0,4.6,6.570769027330189,4,46.0,0.1958998656295065,0,0.0,0.927956901853477,0,1.0,0.46919102054167805,0,2.0,0.8896980007846959,4,49.0
40.0,-1.0,-0.9499999999999997,0.375,0.65625,12,0,4,0,12,0,45.0,3.75,7.401522930294178,3,43.0,0.22224883735295461,0,0.0,0.9666453114632357,1,3.0,0.48717458088577476,0,2.0,0.9292278548945768,4,48.0
45.0,-1.75,-1.2999999999999996,0.3888888888888889,0.6944444444444444,13,0,7,0,13,0,73.0,5.615384615384615,4.403294026264621,4,63.0,0.31907465188425493,1,2.0,6.110821719486975e-05,1,10.0,0.6298813493211978,1,3.0,0.10084574147221387,7,78.0
50.0,-1.5,-1.5999999999999994,0.375,0.65,16,0,6,0,16,0,42.0,2.625,4.472677550620131,1,51.0,0.15313422083853162,1,7.0,0.0,1,15.0,0.6386670403632405,3,15.0,0.0004753002529685245,6,88.0
55.0,-1.5,-1.8999999999999995,0.36363636363636365,0.6590909090909091,17,0,6,0,17,0,60.0,3.5294117647058822,5.2881547027917035,0,10.0,0.4130335493751054,1,14.0,0.6266982443980528,2,23.0,0.4244874157206048,3,30.0,0.0,6,77.0
60.0,-1.5,-2.1999999999999993,0.3541666666666667,0.6458333333333334,21,0,6,0,21,0,55.0,2.619047619047619,4.883714535260994,1,1.0,0.5484348835801631,1,19.0,0.6636994368606667,4,40.0,0.15855799407363622,0,24.0,0.19943445775539537,6,84.0
65.0,-2.25,-2.649999999999999,0.38461538461538464,0.6346153846153846,23,0,9,0,23,0,89.0,3.869565217391304,5.735209877432858,2,9.0,0.6256256809732688,1,24.0,0.594196734704905,6,60.0,0.005123996360570772,0,0.0,1.0,9,93.0
