step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,sensor_corruption_rate,incident_active,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0.0,4,1.0,0.0,0,3,0,0,0,3,0,0.0,0.0,14.134332104096663,0,0.0,0.9547477417436281,0,0.0,0.9841674662364271,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0.0,8,0,0.0,8,1.0,0.0,0,5,0,0,0,5,0,0.0,0.0,13.361694214166027,0,0.0,0.9456218754377805,0,0.0,0.9331167257370254,0,0.0,0.9693569426080505,0,0.0,1.0,0,0.0
15.0,0.0,12,0,0.0,12,1.0,0.0,0,5,0,0,0,5,0,0.0,0.0,11.120723103645009,0,0.0,0.09119497479404752,0,0.0,0.94194388809256,0,0.0,0.9652919406576996,0,0.0,0.9449047719190454,0,0.0
20.0,-0.25,16,0,0.0,16,1.0,0.0,0,7,0,1,0,7,0,3.0,0.42857142857142855,10.32358449268735,1,3.0,0.4641827045627946,0,0.0,0.9419390626589418,0,0.0,0.5337717451240857,0,0.0,0.9277708408642602,1,3.0
25.0,-0.25,20,0,0.0,20,1.0,0.0,0,9,0,1,0,9,0,4.0,0.4444444444444444,10.420494466413269,0,0.0,0.735931622234892,0,0.0,0.9434697782165216,1,4.0,0.00011549918201223548,0,0.0,0.9348040121125993,1,4.0
30.0,0.0,24,0,0.0,24,1.0,0.0,0,12,0,0,0,12,0,0.0,0.0,12.071895890790062,0,0.0,0.9253036621345917,0,2.0,0.8948447794588974,0,0.0,0.9457378782697434,0,0.0,0.934098556968632,0,2.0
35.0,0.0,28,0,0.0,28,1.0,0.0,0,14,0,0,2,16,0,0.0,0.0,12.194708877110449,0,0.0,0.7780309815173702,0,2.0,0.9103747921852531,0,0.0,0.9256469721469408,0,2.0,0.9554207234029823,0,4.0
40.0,-0.25,32,0,0.0,32,1.0,0.0,0,14,0,1,2,16,0,3.0,0.21428571428571427,9.777911275046602,1,3.0,0.6103539548921674,0,2.0,0.4592832136455468,0,0.0,0.8806563329126118,0,2.0,0.982489844218038,1,7.0
45.0,-0.5,36,0,0.0,36,1.0,0.0,0,16,0,2,3,19,0,10.0,0.625,8.683230400847146,0,0.0,0.6490299048306679,2,12.0,2.1575633556076294e-05,0,0.0,0.9876431696164613,0,2.0,0.7635297974123337,2,14.0
50.0,-0.5,40,0,0.0,40,1.0,0.0,0,19,0,2,4,23,0,9.0,0.47368421052631576,10.034863185562799,1,4.0,0.7720626998612977,0,8.0,0.22957538755102394,0,2.0,0.9538050339762991,1,7.0,0.572887877520475,2,21.0
